method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,3.0,20,30,cold,1,0.9018169045448303,0.9018169045448303
independent_direct_generalized_native,3.0,20,44,median,3,0.906768798828125,0.9236557483673096
independent_direct_generalized_native,3.0,20,45,median,1,0.9067944288253784,0.9067944288253784
independent_direct_generalized_native,3.0,20,72,hot,4,0.8900166898965836,0.8795444071292877
independent_direct_generalized_native,3.0,20,142,median,3,0.9309985637664795,0.9370393753051758
independent_direct_generalized_native,3.0,20,148,hot,4,0.9315564185380936,0.9390971958637238
independent_direct_generalized_native,3.0,20,232,hot,4,0.9230653494596481,0.9228739440441132
independent_direct_generalized_native,3.0,20,240,hot,4,0.9036891162395477,0.9221776127815247
independent_direct_generalized_native,3.0,39,22,hot,4,0.9060131758451462,0.9144464731216431
independent_direct_generalized_native,3.0,39,37,median,4,0.9301471710205078,0.9280538856983185
independent_direct_generalized_native,3.0,39,43,cold,2,0.8776224255561829,0.8776224255561829
independent_direct_generalized_native,3.0,39,55,median,4,0.8879258930683136,0.8921210169792175
independent_direct_generalized_native,3.0,39,70,hot,4,0.9196851998567581,0.9127738177776337
independent_direct_generalized_native,3.0,39,147,median,4,0.9144907891750336,0.9186823964118958
independent_direct_generalized_native,3.0,39,189,hot,4,0.8640633374452591,0.8819216787815094
independent_direct_generalized_native,3.0,39,193,median,4,0.9172950088977814,0.9122499227523804
independent_direct_generalized_native,3.0,39,235,hot,4,0.8789822161197662,0.8742067217826843
independent_direct_generalized_native,4.0,0,1,median,4,0.9298430681228638,0.9373998939990997
independent_direct_generalized_native,4.0,0,8,cold,1,0.9172670841217041,0.9172670841217041
independent_direct_generalized_native,4.0,0,17,cold,4,0.9331167340278625,0.9463256895542145
independent_direct_generalized_native,4.0,0,22,median,4,0.9666943401098251,0.9683066606521606
independent_direct_generalized_native,4.0,0,114,median,1,0.9196666479110718,0.9196666479110718
independent_direct_generalized_native,4.0,0,158,median,4,0.9754039198160172,0.9755443036556244
independent_direct_generalized_native,4.0,0,164,cold,3,0.9488181670506796,0.9586148262023926
independent_direct_generalized_native,4.0,0,181,hot,4,0.9552784264087677,0.9522954821586609
independent_direct_generalized_native,4.0,0,206,hot,4,0.9739642143249512,0.9715879559516907
independent_direct_generalized_native,4.0,0,238,hot,4,0.9633965045213699,0.9577733278274536
independent_direct_generalized_native,4.0,0,248,cold,4,0.9351452440023422,0.9571769833564758
independent_direct_generalized_native,4.0,0,252,hot,4,0.973009780049324,0.9761746227741241
independent_direct_generalized_native,4.0,4,28,hot,4,0.956851452589035,0.9641618430614471
independent_direct_generalized_native,4.0,4,36,median,4,0.9291267991065979,0.9248721599578857
independent_direct_generalized_native,4.0,4,82,median,4,0.9433680176734924,0.9462545216083527
independent_direct_generalized_native,4.0,4,111,cold,1,0.8740444779396057,0.8740444779396057
independent_direct_generalized_native,4.0,4,129,hot,4,0.9551726281642914,0.9612389802932739
independent_direct_generalized_native,4.0,4,134,hot,4,0.9611348658800125,0.9656037390232086
independent_direct_generalized_native,4.0,4,143,cold,1,0.9502706527709961,0.9502706527709961
independent_direct_generalized_native,4.0,4,154,hot,4,0.9678279757499695,0.9689268469810486
independent_direct_generalized_native,4.0,4,190,median,4,0.9744171351194382,0.9730702936649323
independent_direct_generalized_native,4.0,4,193,median,4,0.9467865824699402,0.9462011754512787
independent_direct_generalized_native,4.0,20,30,cold,1,0.9520827531814575,0.9520827531814575
independent_direct_generalized_native,4.0,20,44,median,3,0.9413724342981974,0.9503127336502075
independent_direct_generalized_native,4.0,20,45,median,1,0.9296990036964417,0.9296990036964417
independent_direct_generalized_native,4.0,20,72,hot,4,0.9392563104629517,0.943682849407196
independent_direct_generalized_native,4.0,20,142,median,3,0.9565453926722208,0.9530932307243347
independent_direct_generalized_native,4.0,20,148,hot,4,0.9554944634437561,0.9583815336227417
independent_direct_generalized_native,4.0,20,232,hot,4,0.9519084393978119,0.9558229446411133
independent_direct_generalized_native,4.0,20,240,hot,4,0.9452954083681107,0.9551723301410675
independent_direct_generalized_native,4.0,39,22,hot,4,0.9341965317726135,0.9421716630458832
independent_direct_generalized_native,4.0,39,37,median,4,0.9599258601665497,0.9613917768001556
independent_direct_generalized_native,4.0,39,43,cold,2,0.9328771233558655,0.9328771233558655
independent_direct_generalized_native,4.0,39,55,median,4,0.9341416358947754,0.9367862641811371
independent_direct_generalized_native,4.0,39,70,hot,4,0.9638372212648392,0.9619678854942322
independent_direct_generalized_native,4.0,39,147,median,4,0.9589739143848419,0.958722323179245
independent_direct_generalized_native,4.0,39,189,hot,4,0.9254089295864105,0.9337648451328278
independent_direct_generalized_native,4.0,39,193,median,4,0.9443071335554123,0.9380647242069244
independent_direct_generalized_native,4.0,39,235,hot,4,0.9412778913974762,0.9467011392116547
nested_int16_prefix_generalized_native,0.75,0,1,median,4,0.2127971649169922,0.2677573263645172
nested_int16_prefix_generalized_native,0.75,0,8,cold,1,0.23924237489700317,0.23924237489700317
nested_int16_prefix_generalized_native,0.75,0,17,cold,4,0.1402750015258789,0.12484988570213318
nested_int16_prefix_generalized_native,0.75,0,22,median,4,0.4091001898050308,0.389611154794693
nested_int16_prefix_generalized_native,0.75,0,114,median,1,0.555914044380188,0.555914044380188
nested_int16_prefix_generalized_native,0.75,0,158,median,4,0.2826661318540573,0.25703752040863037
nested_int16_prefix_generalized_native,0.75,0,164,cold,3,0.24979905287424722,0.29540419578552246
nested_int16_prefix_generalized_native,0.75,0,181,hot,4,0.27724073827266693,0.2736545503139496
nested_int16_prefix_generalized_native,0.75,0,206,hot,4,0.38996678590774536,0.32155632972717285
nested_int16_prefix_generalized_native,0.75,0,238,hot,4,0.4164794981479645,0.4541444182395935
nested_int16_prefix_generalized_native,0.75,0,248,cold,4,0.14001017808914185,0.14195731282234192
nested_int16_prefix_generalized_native,0.75,0,252,hot,4,0.5017635077238083,0.4690106511116028
