method,threshold,layer,count,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
rrq_generalized_heterogeneous,0.99,0,36,5.697916666666667,5.5,6.291666666666667,6.6875,7.083333333333333,7.083333333333333
rrq_generalized_heterogeneous,0.99,4,32,6.440104166666667,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333
rrq_generalized_heterogeneous,0.99,20,23,6.429347826086956,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333
rrq_generalized_heterogeneous,0.99,39,32,6.390625,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous,0.8,0,41,2.3373983739837403,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous,0.8,4,34,2.3566176470588234,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.610416666666665,3.125
rrq_raw_heterogeneous,0.8,20,24,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.942916666666666
rrq_raw_heterogeneous,0.8,39,34,2.4754901960784315,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous,0.9,0,41,3.0884146341463414,3.125,3.125,3.9166666666666665,3.9166666666666665,4.3916666666666675
rrq_raw_heterogeneous,0.9,4,34,3.008578431372549,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous,0.9,20,24,2.861111111111111,2.729166666666667,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous,0.9,39,34,3.1948529411764706,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous,0.95,0,41,3.916666666666666,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,5.1833333333333345
rrq_raw_heterogeneous,0.95,4,34,4.0098039215686265,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,5.238750000000001
rrq_raw_heterogeneous,0.95,20,24,3.685763888888889,3.9166666666666665,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous,0.95,39,34,4.102941176470588,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous,0.975,0,41,4.901422764227642,4.708333333333333,5.5,5.5,6.291666666666667,6.291666666666667
rrq_raw_heterogeneous,0.975,4,34,4.8713235294117645,4.708333333333333,5.5,5.5,5.5,6.030416666666668
rrq_raw_heterogeneous,0.975,20,24,4.774305555555555,4.708333333333333,4.708333333333333,5.5,5.5,5.5
rrq_raw_heterogeneous,0.975,39,34,4.964460784313725,4.708333333333333,5.5,5.5,5.5,6.030416666666668
rrq_raw_heterogeneous,0.99,0,35,5.703571428571428,5.5,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous,0.99,4,33,6.027777777777778,6.291666666666667,6.291666666666667,6.925000000000001,7.083333333333333,7.083333333333333
