layer,expert_id,method,reference_fallback_bytes,correction_capacity_bytes,external_storage_multiplier
0,252,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,28,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,28,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,28,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,28,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,28,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,28,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,36,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,36,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,36,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,36,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,36,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,36,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,82,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,82,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,82,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,82,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,82,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,82,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,111,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,111,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,111,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,111,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,111,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,111,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,129,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,129,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,129,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,129,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,129,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,129,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,134,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,134,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,134,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,134,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,134,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,134,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,143,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,143,rrq_raw_homogeneous,1835008,2802240,2.527099609375
