method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
independent_direct_generalized_native,0.75,layer0,41,12,0.463883844817557,0.31001847982406616,0.3816591501235962,0.42915523052215576,0.5228368043899536,0.639799177646637,0.7237640023231506,0.38003191133824793,0.024390243902439025,0.0,0.0,0.0,0.6692708333333334,1.0,0.4106831930577755,0.46709126234054565
independent_direct_generalized_native,0.75,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.3872065618634224,0.44048696756362915
independent_direct_generalized_native,0.75,all_0_4_20_39,133,16,0.42501168457189,0.2933548092842102,0.34822148084640503,0.41096264123916626,0.4914643168449402,0.5659196853637695,0.7324885129928589,0.4291662605185258,0.007518796992481203,0.0,0.0,0.0,0.6692708333333334,1.0,0.4008103013038635,0.43448203802108765
independent_direct_generalized_native,1.0,layer0,41,12,0.463883844817557,0.31001847982406616,0.3816591501235962,0.42915523052215576,0.5228368043899536,0.639799177646637,0.7237640023231506,0.38003191133824793,0.024390243902439025,0.0,0.0,0.0,0.6692708333333334,1.0,0.406715452671051,0.46709126234054565
independent_direct_generalized_native,1.0,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.3780141040682793,0.4374845027923584
independent_direct_generalized_native,1.0,all_0_4_20_39,133,16,0.42501168457189,0.2933548092842102,0.34822148084640503,0.41096264123916626,0.4914643168449402,0.5659196853637695,0.7324885129928589,0.4291662605185258,0.007518796992481203,0.0,0.0,0.0,0.6692708333333334,1.0,0.40077375769615176,0.43448203802108765
independent_direct_generalized_native,1.25,layer0,41,12,0.463883844817557,0.31001847982406616,0.3816591501235962,0.42915523052215576,0.5228368043899536,0.639799177646637,0.7237640023231506,0.38003191133824793,0.024390243902439025,0.0,0.0,0.0,0.6692708333333334,1.0,0.4067052282392979,0.46709126234054565
independent_direct_generalized_native,1.25,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.38550740480422974,0.4374845027923584
independent_direct_generalized_native,1.25,all_0_4_20_39,133,16,0.42501168457189,0.2933548092842102,0.34822148084640503,0.41096264123916626,0.4914643168449402,0.5659196853637695,0.7324885129928589,0.4291662605185258,0.007518796992481203,0.0,0.0,0.0,0.6692708333333334,1.0,0.39934855699539185,0.43393510580062866
independent_direct_generalized_native,1.5,layer0,41,12,0.7038485495055594,0.5676057934761047,0.6145690679550171,0.7047467231750488,0.7694895267486572,0.8472147583961487,0.4403282403945923,0.289283977412596,0.1951219512195122,0.07317073170731707,0.0,0.0,1.3463541666666667,1.0,0.6539930932223796,0.7172104120254517
