method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
independent_direct_generalized_native,0.75,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.3872065618634224,0.44048696756362915
independent_direct_generalized_native,1.0,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.3780141040682793,0.4374845027923584
independent_direct_generalized_native,1.25,difficult_4_20_39,92,15,0.40768822185371234,0.28912253975868224,0.3442862331867218,0.40400999784469604,0.4768281430006027,0.5264371633529663,0.7325239330530167,0.45106309004451917,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.38550740480422974,0.4374845027923584
independent_direct_generalized_native,1.5,difficult_4_20_39,92,15,0.6525896930176279,0.5461951911449432,0.5861507207155228,0.651555597782135,0.7219335585832596,0.7670546770095825,0.4932772934436798,0.3528531919354978,0.03260869565217391,0.0,0.0,0.0,1.3463541666666667,1.0,0.6261862218379974,0.6813400983810425
independent_direct_generalized_native,2.0,difficult_4_20_39,92,15,0.6525896930176279,0.5461951911449432,0.5861507207155228,0.651555597782135,0.7219335585832596,0.7670546770095825,0.4932772934436798,0.3528531919354978,0.03260869565217391,0.0,0.0,0.0,1.3463541666666667,1.0,0.6280845828354359,0.6813400983810425
independent_direct_generalized_native,2.25,difficult_4_20_39,92,15,0.8283757943174114,0.738999319076538,0.7842532843351364,0.8364661335945129,0.8812716156244278,0.9019773304462433,0.2725390285253525,0.23064642480534056,0.6521739130434783,0.13043478260869565,0.0,0.0,2.0234375,1.0,0.8142145872116089,0.8601433038711548
independent_direct_generalized_native,3.0,difficult_4_20_39,92,15,0.9080644308224969,0.8620237171649933,0.8903759717941284,0.9122560620307922,0.9308945536613464,0.9485248744487762,0.15212264358997346,0.18052672432816547,0.9891304347826086,0.6847826086956522,0.07608695652173914,0.0,2.6901041666666665,1.0,0.9045205414295197,0.9236557483673096
independent_direct_generalized_native,4.0,difficult_4_20_39,92,15,0.9480482760978781,0.9215675711631774,0.9348258227109909,0.9526321589946747,0.9655008763074875,0.9718453168869019,0.10205644965171815,0.13481018400710562,1.0,0.9347826086956522,0.5760869565217391,0.0,3.3567708333333335,1.0,0.9503127336502075,0.9554758235812187
nested_int16_prefix_generalized_native,0.75,difficult_4_20_39,92,15,0.16664822010890298,0.0,0.0,0.10818740725517273,0.26010702550411224,0.4370621621608737,1.0,0.534235629050628,0.0,0.0,0.0,0.0,0.6692708333333334,1.0,0.03954744338989258,0.1734694242477417
nested_int16_prefix_generalized_native,1.0,difficult_4_20_39,92,15,0.16664822010890298,0.0,0.0,0.10818740725517273,0.26010702550411224,0.4370621621608737,1.0,0.534235629050628,0.0,0.0,0.0,0.0,0.6692708333333334,1.0,0.03954744338989258,0.1734694242477417
nested_int16_prefix_generalized_native,1.25,difficult_4_20_39,92,15,0.16664822010890298,0.0,0.0,0.10818740725517273,0.26010702550411224,0.4370621621608737,1.0,0.534235629050628,0.0,0.0,0.0,0.0,0.6692708333333334,1.0,0.043164610862731934,0.1734694242477417
nested_int16_prefix_generalized_native,1.5,difficult_4_20_39,92,15,0.4378141981104146,0.2922131597995758,0.37053820490837097,0.435276597738266,0.5042726397514343,0.5990613281726838,0.7470127880573273,0.446650859778342,0.0,0.0,0.0,0.0,1.34375,1.0,0.41263043582439424,0.44678372144699097
nested_int16_prefix_generalized_native,2.0,difficult_4_20_39,92,15,0.4378141981104146,0.2922131597995758,0.37053820490837097,0.435276597738266,0.5042726397514343,0.5990613281726838,0.7470127880573273,0.446650859778342,0.0,0.0,0.0,0.0,1.34375,1.0,0.3940948247909546,0.44678372144699097
nested_int16_prefix_generalized_native,2.25,difficult_4_20_39,92,15,0.4873248040676117,0.29811075925827024,0.39030152559280396,0.4797605872154236,0.5880240797996521,0.6581283867359162,0.7285651057958603,0.4332329394376796,0.0,0.0,0.0,0.0,1.34375,1.0,0.4550884962081909,0.5114208459854126
