projection,rows,pearson_log_pmr_vs_functional_contraction,pearson_zero_fraction_vs_functional_contraction,median_functional_contraction
down,117,0.21850183477132376,0.07807466230129358,0.17392794787883759
gate,117,0.5761915030383454,0.3466146482442873,0.14968463778495789
up,78,0.44018449198866944,0.4927651439019126,0.16772334277629852
