method,budget_bpw,layer,gate_physical_bpw,up_physical_bpw,down_physical_bpw,physical_bpw,recovery
nested_int16_prefix_generalized_native,4.0,20,4.03125,4.03125,4.0078125,2.68359375,0.6527743339538574
nested_int16_prefix_generalized_native,4.0,39,2.03125,2.03125,4.0078125,3.3463541666666665,0.7465246319770813
rrq_generalized_heterogeneous,0.75,0,0.0,2.25,0.0,0.75,0.23326164484024048
rrq_generalized_heterogeneous,0.75,4,0.0,2.25,0.0,0.75,0.2892332077026367
rrq_generalized_heterogeneous,0.75,20,0.0,2.25,0.0,0.75,0.3017638325691223
rrq_generalized_heterogeneous,0.75,39,0.0,2.25,0.0,0.75,0.2435113787651062
rrq_generalized_heterogeneous,1.0,0,0.0,0.0,2.375,0.7916666666666666,0.41428083181381226
rrq_generalized_heterogeneous,1.0,4,0.0,0.0,0.0,0.7916666666666666,0.379498690366745
rrq_generalized_heterogeneous,1.0,20,0.0,0.0,0.0,0.7916666666666666,0.3887994885444641
rrq_generalized_heterogeneous,1.0,39,0.0,0.0,2.375,0.7916666666666666,0.4537767767906189
rrq_generalized_heterogeneous,1.25,0,0.0,0.0,2.375,0.7916666666666666,0.41428083181381226
rrq_generalized_heterogeneous,1.25,4,0.0,0.0,0.0,0.7916666666666666,0.379498690366745
rrq_generalized_heterogeneous,1.25,20,0.0,0.0,0.0,0.7916666666666666,0.3887994885444641
rrq_generalized_heterogeneous,1.25,39,0.0,0.0,2.375,0.7916666666666666,0.4537767767906189
rrq_generalized_heterogeneous,1.5,0,0.0,0.0,2.375,0.7916666666666666,0.41428083181381226
rrq_generalized_heterogeneous,1.5,4,0.0,0.0,0.0,0.7916666666666666,0.379498690366745
rrq_generalized_heterogeneous,1.5,20,0.0,0.0,0.0,0.7916666666666666,0.3887994885444641
rrq_generalized_heterogeneous,1.5,39,0.0,0.0,2.375,0.7916666666666666,0.4537767767906189
rrq_generalized_heterogeneous,2.0,0,0.0,0.0,2.375,1.5833333333333333,0.6917154788970947
rrq_generalized_heterogeneous,2.0,4,1.1875,2.25,2.375,1.5416666666666667,0.651446670293808
rrq_generalized_heterogeneous,2.0,20,0.0,2.25,2.375,1.5416666666666667,0.6688418090343475
rrq_generalized_heterogeneous,2.0,39,2.375,0.0,2.375,1.5833333333333333,0.693558931350708
rrq_generalized_heterogeneous,2.25,0,0.0,0.0,2.375,1.5833333333333333,0.6917154788970947
rrq_generalized_heterogeneous,2.25,4,1.1875,2.25,2.375,1.5416666666666667,0.651446670293808
rrq_generalized_heterogeneous,2.25,20,0.0,2.25,2.375,1.5416666666666667,0.6688418090343475
rrq_generalized_heterogeneous,2.25,39,2.375,0.0,2.375,1.5833333333333333,0.693558931350708
rrq_generalized_heterogeneous,3.0,0,2.375,2.25,2.375,2.3333333333333335,0.8654365539550781
rrq_generalized_heterogeneous,3.0,4,2.375,2.25,2.375,2.3333333333333335,0.8522341847419739
rrq_generalized_heterogeneous,3.0,20,2.375,2.25,2.375,2.3333333333333335,0.8560719788074493
rrq_generalized_heterogeneous,3.0,39,2.375,2.25,2.375,2.3333333333333335,0.8522275686264038
rrq_generalized_heterogeneous,4.0,0,2.375,4.625,4.75,3.9166666666666665,0.9580137133598328
rrq_generalized_heterogeneous,4.0,4,2.375,4.625,4.75,3.9166666666666665,0.9504885077476501
rrq_generalized_heterogeneous,4.0,20,4.75,4.625,2.375,3.9166666666666665,0.9534369111061096
rrq_generalized_heterogeneous,4.0,39,2.375,4.625,4.75,3.9166666666666665,0.9512175023555756
rrq_raw_heterogeneous,0.75,0,0.0,2.25,0.0,0.75,0.20902365446090698
rrq_raw_heterogeneous,0.75,4,0.0,2.25,0.0,0.75,0.2956556975841522
rrq_raw_heterogeneous,0.75,20,0.0,2.25,0.0,0.75,0.34248507022857666
rrq_raw_heterogeneous,0.75,39,0.0,2.25,0.0,0.75,0.22020459175109863
rrq_raw_heterogeneous,1.0,0,0.0,0.0,2.375,0.7916666666666666,0.40668952465057373
rrq_raw_heterogeneous,1.0,4,0.0,0.0,0.0,0.7916666666666666,0.4095506966114044
rrq_raw_heterogeneous,1.0,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous,1.0,39,0.0,0.0,2.375,0.7916666666666666,0.4559682309627533
rrq_raw_heterogeneous,1.25,0,0.0,0.0,2.375,0.7916666666666666,0.40668952465057373
rrq_raw_heterogeneous,1.25,4,0.0,0.0,0.0,0.7916666666666666,0.4095506966114044
rrq_raw_heterogeneous,1.25,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous,1.25,39,0.0,0.0,2.375,0.7916666666666666,0.4559682309627533
rrq_raw_heterogeneous,1.5,0,0.0,0.0,2.375,0.7916666666666666,0.40668952465057373
rrq_raw_heterogeneous,1.5,4,0.0,0.0,0.0,0.7916666666666666,0.4095506966114044
rrq_raw_heterogeneous,1.5,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous,1.5,39,0.0,0.0,2.375,0.7916666666666666,0.4559682309627533
rrq_raw_heterogeneous,2.0,0,0.0,0.0,2.375,1.5833333333333333,0.6816985607147217
rrq_raw_heterogeneous,2.0,4,0.0,2.25,2.375,1.5416666666666667,0.6720243096351624
rrq_raw_heterogeneous,2.0,20,2.375,2.25,2.375,1.5416666666666667,0.6925655007362366
rrq_raw_heterogeneous,2.0,39,2.375,0.0,2.375,1.5833333333333333,0.6788826584815979
rrq_raw_heterogeneous,2.25,0,0.0,0.0,2.375,1.5833333333333333,0.6816985607147217
rrq_raw_heterogeneous,2.25,4,0.0,2.25,2.375,1.5416666666666667,0.6720243096351624
rrq_raw_heterogeneous,2.25,20,2.375,2.25,2.375,1.5416666666666667,0.6925655007362366
rrq_raw_heterogeneous,2.25,39,2.375,0.0,2.375,1.5833333333333333,0.6788826584815979
rrq_raw_heterogeneous,3.0,0,2.375,2.25,2.375,2.3333333333333335,0.8539429903030396
rrq_raw_heterogeneous,3.0,4,2.375,2.25,2.375,2.3333333333333335,0.8735833764076233
rrq_raw_heterogeneous,3.0,20,2.375,2.25,2.375,2.3333333333333335,0.9032850563526154
rrq_raw_heterogeneous,3.0,39,2.375,2.25,2.375,2.3333333333333335,0.8444966971874237
rrq_raw_heterogeneous,4.0,0,2.375,4.625,4.75,3.9166666666666665,0.9656414985656738
rrq_raw_heterogeneous,4.0,4,2.375,4.625,4.75,3.9166666666666665,0.9570825695991516
rrq_raw_heterogeneous,4.0,20,2.375,4.625,4.75,3.9166666666666665,0.9639078676700592
rrq_raw_heterogeneous,4.0,39,2.375,4.625,4.75,3.9166666666666665,0.9550670981407166
rrq_raw_heterogeneous_bf16_scales,0.75,0,0.0,2.25,0.0,0.75,0.20907795429229736
rrq_raw_heterogeneous_bf16_scales,0.75,4,0.0,2.25,0.0,0.75,0.29575294256210327
rrq_raw_heterogeneous_bf16_scales,0.75,20,0.0,2.25,0.0,0.75,0.3420426845550537
rrq_raw_heterogeneous_bf16_scales,0.75,39,0.0,2.25,0.0,0.75,0.21990647912025452
rrq_raw_heterogeneous_bf16_scales,1.0,0,0.0,0.0,2.375,0.7916666666666666,0.40672314167022705
rrq_raw_heterogeneous_bf16_scales,1.0,4,0.0,0.0,0.0,0.7916666666666666,0.40946266055107117
rrq_raw_heterogeneous_bf16_scales,1.0,20,0.0,1.125,0.0,0.7708333333333333,0.39830419421195984
rrq_raw_heterogeneous_bf16_scales,1.0,39,0.0,0.0,2.375,0.7916666666666666,0.45594093203544617
