method,layer,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
A6_corrected_screened_greedy,39,1.0,9,0.7202511730911284,0.6062296612311411,0.8086987622719269
A6_corrected_screened_greedy,39,1.5,9,0.7648540108581099,0.6945393694453744,0.8307915745624952
A6_corrected_screened_greedy,39,2.0,9,0.7863459411324942,0.7454279472169055,0.8358151466370256
A6_corrected_screened_greedy,39,2.5,9,0.8069284457407537,0.7581897405529457,0.8394306952990915
A6_corrected_screened_greedy,39,3.0,9,0.8249327064834455,0.7589343995519358,0.8406324224090503
A6_corrected_screened_greedy,39,4.0,9,0.8251155564738283,0.7589461631807978,0.840656811052921
B_validation_selected_deployable,0,0.5,41,0.707125882376269,0.19032308397554654,0.9691179903116484
B_validation_selected_deployable,0,0.75,41,0.7644113856281726,0.26967212999570156,0.9805109315031153
B_validation_selected_deployable,0,1.0,41,0.8079529490204632,0.2860992586262352,0.983679717364151
B_validation_selected_deployable,0,1.5,41,0.8268870950263786,0.33932633532154566,0.989962402734861
B_validation_selected_deployable,0,2.0,41,0.8481747949926468,0.3679613317957652,0.9940749010083385
B_validation_selected_deployable,0,2.5,41,0.8497524389276649,0.39122133452031627,0.9952325974890527
B_validation_selected_deployable,0,3.0,41,0.8497524389276649,0.42213271737090363,0.9964697048091229
B_validation_selected_deployable,0,4.0,41,0.8497524389276649,0.42213271737090363,0.9964697048091229
B_validation_selected_deployable,4,0.5,34,0.47690736508817533,0.1208711693101277,0.7841377646333294
B_validation_selected_deployable,4,0.75,34,0.49743177544876926,0.20963182298956995,0.7857761678951506
B_validation_selected_deployable,4,1.0,34,0.5609716234147255,0.2427601414767343,0.8123324880837032
B_validation_selected_deployable,4,1.5,34,0.6195041941299595,0.3206288619174992,0.857164164648447
B_validation_selected_deployable,4,2.0,34,0.660254627277294,0.45832983504770425,0.8643418336928586
B_validation_selected_deployable,4,2.5,34,0.6923243851507974,0.5186998857740396,0.8702228222028451
B_validation_selected_deployable,4,3.0,34,0.7254338473396744,0.53613571574673,0.8841661148003567
B_validation_selected_deployable,4,4.0,34,0.7362624490556504,0.5285974045340165,0.8856428569239259
B_validation_selected_deployable,20,0.5,24,0.4025507394240386,0.21020582285990685,0.5914827563909749
B_validation_selected_deployable,20,0.75,24,0.49963626264193245,0.24165005066423514,0.6657981281204892
B_validation_selected_deployable,20,1.0,24,0.520407062411838,0.20330066551651976,0.6977766695094886
B_validation_selected_deployable,20,1.5,24,0.6257174649227742,0.3239844497948561,0.727284531821688
B_validation_selected_deployable,20,2.0,24,0.6728900720974567,0.4721581744249634,0.790866255979098
B_validation_selected_deployable,20,2.5,24,0.7025685230881887,0.525717905904851,0.7859700623638775
B_validation_selected_deployable,20,3.0,24,0.7195254102142361,0.5453328337591906,0.8138922655608304
B_validation_selected_deployable,20,4.0,24,0.7319678840861314,0.5992712313129588,0.8189104797823682
B_validation_selected_deployable,39,0.5,34,0.5674354965475181,0.17603886607670835,0.8127170866493253
B_validation_selected_deployable,39,0.75,34,0.5892315194384713,0.2323780520140652,0.8280274464948179
B_validation_selected_deployable,39,1.0,34,0.6077515779081898,0.2405421586093019,0.8522829490695988
B_validation_selected_deployable,39,1.5,34,0.672023255276177,0.36910763365195903,0.8632806570050827
B_validation_selected_deployable,39,2.0,34,0.7022219549870709,0.4760467242862778,0.8744588658875797
B_validation_selected_deployable,39,2.5,34,0.7137487537785995,0.48329074875159816,0.8889980364420546
B_validation_selected_deployable,39,3.0,34,0.7343638557044418,0.5023775920237253,0.8926212473586831
B_validation_selected_deployable,39,4.0,34,0.738680554345268,0.5735501327014594,0.8966359724586419
