method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,0,238,0.75,4,0.8724389348145414
A0_current_Q2_whole_projection,0,238,1.0,4,0.9138991058254365
A0_current_Q2_whole_projection,0,238,1.5,4,0.9653839805152962
A0_current_Q2_whole_projection,0,238,2.0,4,0.9763176786085759
A0_current_Q2_whole_projection,0,238,2.5,4,0.9840959523888569
A0_current_Q2_whole_projection,0,238,3.0,4,0.9895508343825488
A0_current_Q2_whole_projection,0,238,4.0,4,0.9908995842321897
A0_current_Q2_whole_projection,0,248,0.0,4,0.0
A0_current_Q2_whole_projection,0,248,0.5,4,0.5471723072577322
A0_current_Q2_whole_projection,0,248,0.75,4,0.6474785838435266
A0_current_Q2_whole_projection,0,248,1.0,4,0.6816095207468317
A0_current_Q2_whole_projection,0,248,1.5,4,0.7635055939070904
A0_current_Q2_whole_projection,0,248,2.0,4,0.8346307882041843
A0_current_Q2_whole_projection,0,248,2.5,4,0.8558659285671586
A0_current_Q2_whole_projection,0,248,3.0,4,0.8884806481273222
A0_current_Q2_whole_projection,0,248,4.0,4,0.9331640590088761
A0_current_Q2_whole_projection,0,252,0.0,4,0.0
A0_current_Q2_whole_projection,0,252,0.5,4,0.9417433969746882
A0_current_Q2_whole_projection,0,252,0.75,4,0.9622904282860528
A0_current_Q2_whole_projection,0,252,1.0,4,0.9754698122679526
A0_current_Q2_whole_projection,0,252,1.5,4,0.9866209184992991
A0_current_Q2_whole_projection,0,252,2.0,4,0.9916107390530362
A0_current_Q2_whole_projection,0,252,2.5,4,0.9959709086652513
A0_current_Q2_whole_projection,0,252,3.0,4,0.99775259407591
A0_current_Q2_whole_projection,0,252,4.0,4,0.9991256244652854
A0_current_Q2_whole_projection,4,28,0.0,4,0.0
A0_current_Q2_whole_projection,4,28,0.5,4,0.7586309518136853
A0_current_Q2_whole_projection,4,28,0.75,4,0.7923019705456695
A0_current_Q2_whole_projection,4,28,1.0,4,0.8086199665548535
A0_current_Q2_whole_projection,4,28,1.5,4,0.8401784922592549
A0_current_Q2_whole_projection,4,28,2.0,4,0.8620142836158041
A0_current_Q2_whole_projection,4,28,2.5,4,0.8797148849414625
A0_current_Q2_whole_projection,4,28,3.0,4,0.8997500096624048
A0_current_Q2_whole_projection,4,28,4.0,4,0.912994149892616
A0_current_Q2_whole_projection,4,36,0.0,4,0.0
A0_current_Q2_whole_projection,4,36,0.5,4,0.34219463529809746
A0_current_Q2_whole_projection,4,36,0.75,4,0.36657224388146503
A0_current_Q2_whole_projection,4,36,1.0,4,0.43591748030684174
A0_current_Q2_whole_projection,4,36,1.5,4,0.5672815712359796
A0_current_Q2_whole_projection,4,36,2.0,4,0.6193391644711614
A0_current_Q2_whole_projection,4,36,2.5,4,0.6791980657568539
A0_current_Q2_whole_projection,4,36,3.0,4,0.7005737747998286
A0_current_Q2_whole_projection,4,36,4.0,4,0.7817054983721239
A0_current_Q2_whole_projection,4,82,0.0,4,0.0
A0_current_Q2_whole_projection,4,82,0.5,4,0.5308075218857481
A0_current_Q2_whole_projection,4,82,0.75,4,0.6228177191585553
A0_current_Q2_whole_projection,4,82,1.0,4,0.6959324682869101
A0_current_Q2_whole_projection,4,82,1.5,4,0.7753604587784246
A0_current_Q2_whole_projection,4,82,2.0,4,0.8472231873246423
A0_current_Q2_whole_projection,4,82,2.5,4,0.8820862144297272
A0_current_Q2_whole_projection,4,82,3.0,4,0.8989361480372552
A0_current_Q2_whole_projection,4,82,4.0,4,0.9204684808364305
A0_current_Q2_whole_projection,4,111,0.0,1,0.0
A0_current_Q2_whole_projection,4,111,0.5,1,0.4070093516967147
A0_current_Q2_whole_projection,4,111,0.75,1,0.47919278204954885
A0_current_Q2_whole_projection,4,111,1.0,1,0.5032564004877602
A0_current_Q2_whole_projection,4,111,1.5,1,0.6123159462917522
A0_current_Q2_whole_projection,4,111,2.0,1,0.6705925085378526
A0_current_Q2_whole_projection,4,111,2.5,1,0.7345942924062612
A0_current_Q2_whole_projection,4,111,3.0,1,0.783051235991572
