group,method,budget_bpw,invocations,requests,mean_recovery,median_recovery,p10_recovery,p25_recovery,p75_recovery,p90_recovery,p95_remaining_damage,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_relative_output_error,median_logical_bpw,median_physical_bpw,median_page_amplification,median_external_storage_multiplier,median_extra_flops,median_ci_low,median_ci_high
all_four,A0_current_Q2_whole_projection,0.0,133,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5355765223503113,0.0,0.0,0.0,,,0.0,0.0
all_four,A0_current_Q2_whole_projection,0.5,133,16,0.5988268726568542,0.5903350777555227,0.3739585074111035,0.4468881499430386,0.7462768023909331,0.82903785136761,0.6688765922906984,0.13533834586466165,0.06015037593984962,0.007518796992481203,0.0,0.39778468012809753,0.124755859375,0.4791666666666667,3.727024567788899,,,0.5231960613796169,0.6677625259725366
all_four,A0_current_Q2_whole_projection,0.75,133,16,0.6551462958837045,0.6399481274778274,0.4409264809988477,0.5218295121025718,0.7972261274446775,0.8936858250573687,0.6095339258795914,0.24812030075187969,0.07518796992481203,0.045112781954887216,0.0,0.37511691451072693,0.182281494140625,0.7291666666666666,3.981337480559876,,,0.5867230540818977,0.7207438555180342
all_four,A0_current_Q2_whole_projection,1.0,133,16,0.6966537155108,0.6873115891761548,0.4823593929794372,0.5579196920707323,0.8235163145207447,0.9226333118289546,0.5425950422212484,0.2932330827067669,0.13533834586466165,0.06766917293233082,0.0,0.35916098952293396,0.2527669270833333,0.9895833333333334,3.769686511360368,,,0.6320143718868897,0.7692742394848283
all_four,A0_current_Q2_whole_projection,1.5,133,16,0.7627000778249204,0.7636100529570067,0.5749726965250744,0.6435190499793226,0.8741660808993975,0.9580410732685897,0.44959930520565383,0.40601503759398494,0.21804511278195488,0.15037593984962405,0.007518796992481203,0.3162260353565216,0.4190470377604167,1.4895833333333333,3.3991034906363127,,,0.723355669837264,0.82183246181406
all_four,A0_current_Q2_whole_projection,2.0,133,16,0.803187587077188,0.7965992942976802,0.6427191683179545,0.7055852452072994,0.9160284866168503,0.9771780282602496,0.39957678253294066,0.48872180451127817,0.2706766917293233,0.19548872180451127,0.045112781954887216,0.2912462055683136,0.590057373046875,1.9895833333333333,3.148569814017651,,,0.7613254459658183,0.8620693163215235
all_four,A0_current_Q2_whole_projection,2.5,133,16,0.8356511794005561,0.8359035868094049,0.6985221602574603,0.7510184253360752,0.9247082123772776,0.9840320311004397,0.3353537065610959,0.6090225563909775,0.3082706766917293,0.23308270676691728,0.07518796992481203,0.2673014998435974,0.7884368896484375,2.4895833333333335,3.0503047077660144,,,0.7936735063415024,0.8945937309278749
all_four,A0_current_Q2_whole_projection,3.0,133,16,0.8594447152141356,0.8647047849022277,0.7448749398101517,0.7871124166416901,0.9409525875212609,0.9881203364537293,0.309786472982456,0.706766917293233,0.39849624060150374,0.24812030075187969,0.09022556390977443,0.24144375324249268,0.9879353841145834,2.9895833333333335,2.810423228446137,,,0.8207227037263953,0.9153459831123258
all_four,A0_current_Q2_whole_projection,4.0,133,16,0.8829592955833182,0.8983862753074088,0.7814568570984282,0.8262527953814982,0.9556087867657463,0.9914967158670734,0.267181321147728,0.8421052631578947,0.48120300751879697,0.2706766917293233,0.11278195488721804,0.20495650172233582,1.3662770589192708,3.9791666666666665,2.7608868742443327,,,0.8571163804708397,0.928995157692842
all_four,A6_corrected_screened_greedy,0.0,39,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
all_four,A6_corrected_screened_greedy,0.5,39,10,0.7310312089929574,0.7642547143150215,0.5690579777156696,0.6607440867640768,0.8096071180299949,0.8545009379351877,0.4701358547594009,0.28205128205128205,0.02564102564102564,0.0,0.0,,0.09064229329427083,0.5,5.401268166769541,,,0.6724587978268913,0.7749442801591304
all_four,A6_corrected_screened_greedy,0.75,39,10,0.7641771960923578,0.7855404095444417,0.6191473113773767,0.6954272954120012,0.842201448374168,0.8843272254609525,0.42252656910046993,0.46153846153846156,0.07692307692307693,0.0,0.0,,0.15802001953125,0.75,4.746234067207416,,,0.7048884751606792,0.8155204707932349
all_four,A6_corrected_screened_greedy,1.0,39,10,0.7880394621252631,0.8024218340751889,0.6581322389501101,0.7217682598363973,0.8523389425282673,0.9033842366574687,0.36445473387648647,0.5641025641025641,0.1282051282051282,0.0,0.0,,0.23153177897135416,1.0,4.319061532040157,,,0.7232853465816662,0.8346246604418961
all_four,A6_corrected_screened_greedy,1.5,39,10,0.8165671153581159,0.8307598264923621,0.7185742491273353,0.7653337314628131,0.8767228045967124,0.9186470606001054,0.30083782611779014,0.6153846153846154,0.1282051282051282,0.0,0.0,,0.4832509358723958,1.5,3.083627846671825,,,0.7660616967337124,0.8533018037482876
all_four,A6_corrected_screened_greedy,2.0,39,10,0.8299921745808521,0.8450924199169203,0.746434430093925,0.7810876483539597,0.8815138659489605,0.9190390068657547,0.2836400408936548,0.6410256410256411,0.1282051282051282,0.0,0.0,,0.7516530354817709,2.0,2.6457621730572822,,,0.7826275617221026,0.8634145693497725
all_four,A6_corrected_screened_greedy,2.5,39,10,0.8351029627219078,0.846244791718159,0.7563738626940498,0.7882586251238622,0.8870060644307269,0.9190390068657547,0.28111709796364065,0.6666666666666666,0.15384615384615385,0.0,0.0,,0.9676767985026041,2.5,2.5099449009084456,,,0.7871830825850346,0.8591715126213761
all_four,A6_corrected_screened_greedy,3.0,39,10,0.8359852112168695,0.846244791718159,0.7584854589584098,0.7894926217646488,0.8888150537845567,0.9190390068657547,0.2808463307930292,0.6666666666666666,0.15384615384615385,0.0,0.0,,1.1309254964192708,3.0,2.5056366337498908,,,0.7912367539619058,0.8649232298291702
all_four,A6_corrected_screened_greedy,4.0,39,10,0.8360589390893052,0.846244791718159,0.758504423946494,0.7896175579251958,0.8888878937070286,0.9190390068657547,0.2808437332459112,0.6923076923076923,0.15384615384615385,0.0,0.0,,1.1821543375651042,3.1041666666666665,2.505047535553234,,,0.7928460467607242,0.864927475500464
all_four,B_validation_selected_deployable,0.5,133,16,0.5170661468508526,0.5058250149544583,0.17544243633922313,0.28721498132557277,0.7549238290931778,0.9207048446906912,0.8934976864066017,0.18796992481203006,0.12781954887218044,0.05263157894736842,0.0,0.4102070927619934,0.14511617024739584,0.4479166666666667,2.9093726794304717,3.40045166015625,343040.0,0.3357222694600036,0.578747083465192
all_four,B_validation_selected_deployable,0.75,133,16,0.5659450489920349,0.5722844463109291,0.2275054656259793,0.3805807562906043,0.7644113856281726,0.9470759979168722,0.838151105828948,0.20300751879699247,0.15037593984962405,0.09022556390977443,0.007518796992481203,0.38178470730781555,0.3123016357421875,0.6770833333333334,2.1627918140070723,3.4038609095982144,655360.0,0.4334725866327195,0.6494805990045796
all_four,B_validation_selected_deployable,1.0,133,16,0.596134291783757,0.6088133452759126,0.25062364871708465,0.4035837221999997,0.791797732766329,0.9551209579967904,0.810711333815627,0.23308270676691728,0.15789473684210525,0.11278195488721804,0.0,0.36367788910865784,0.4402414957682292,0.9270833333333334,2.046515713877847,3.4508492606026784,2483200.0,0.49077418650629695,0.6821722372990406
all_four,B_validation_selected_deployable,1.5,133,16,0.6497832509994929,0.6731550534970023,0.3234367315489071,0.474519611358573,0.821580237376005,0.964934315358939,0.7067684034203767,0.2781954887218045,0.16541353383458646,0.13533834586466165,0.03007518796992481,0.35141727328300476,0.5220947265625,1.3645833333333333,2.4689711118121593,3.4508492606026784,2483200.0,0.5322854433706234,0.733152998013351
all_four,B_validation_selected_deployable,2.0,133,16,0.6991501180363786,0.7143211870119444,0.41167418075131096,0.5614439994274278,0.8413713317282849,0.973556442048157,0.6395083769529257,0.3383458646616541,0.16541353383458646,0.14285714285714285,0.06766917293233082,0.3183075189590454,0.7306315104166666,1.8645833333333333,2.5284822567851846,3.4508492606026784,2483200.0,0.586074697698378,0.7732214660129217
all_four,B_validation_selected_deployable,2.5,133,16,0.7183189132786487,0.7374382968531297,0.45578554150426537,0.5977521492235953,0.8509572002820586,0.9756970797046439,0.6124849507070005,0.3458646616541353,0.17293233082706766,0.14285714285714285,0.06766917293233082,0.30918237566947937,0.7867787679036459,2.1979166666666665,2.641348971734675,3.4508492606026784,2483200.0,0.6208501844182139,0.7841670513037159
all_four,B_validation_selected_deployable,3.0,133,16,0.7274269249447621,0.7459820641457341,0.48956173946309584,0.5987039167050775,0.8518342564044455,0.9762235076189131,0.590231835769331,0.37593984962406013,0.17293233082706766,0.14285714285714285,0.07518796992481203,0.3015877902507782,1.0935465494791667,2.65625,2.2393663954877634,3.4508492606026784,2483200.0,0.6462692184244215,0.7991260913286747
