group,method,budget_bpw,invocations,requests,mean_recovery,median_recovery,p10_recovery,p25_recovery,p75_recovery,p90_recovery,p95_remaining_damage,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_relative_output_error,median_logical_bpw,median_physical_bpw,median_page_amplification,median_external_storage_multiplier,median_extra_flops,median_ci_low,median_ci_high
all_four,A3_pages_1024,0.0,39,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
all_four,A3_pages_1024,0.5,39,10,0.7803673364633402,0.8010490066752218,0.6520619053232632,0.7219086824395743,0.8424822547789449,0.8916390880569656,0.3644642430196682,0.5128205128205128,0.10256410256410256,0.0,0.0,,0.20089213053385416,0.5,2.4759348811302124,,,0.7210634094526529,0.8280975150551899
all_four,A3_pages_1024,0.75,39,10,0.8038360764307516,0.81923285594459,0.6920613991073105,0.7487903133967793,0.8619666965772763,0.9069600232670652,0.31263537702822125,0.5897435897435898,0.1282051282051282,0.0,0.0,,0.3352101643880208,0.75,2.2374023215234047,,,0.7507351979134178,0.8434091195562635
all_four,A3_pages_1024,1.0,39,10,0.8189556662652734,0.8316157572415563,0.7313861895364675,0.7659902030000464,0.8765845001311217,0.9133725134716386,0.2942096861553941,0.6153846153846154,0.1282051282051282,0.0,0.0,,0.4798024495442708,0.9973958333333334,2.069299702698985,,,0.7659902030000464,0.8556708003467994
all_four,A3_pages_1024,1.5,39,10,0.832568001412227,0.84585158267761,0.7549551184622207,0.7839021031886089,0.8845667611251157,0.9190390068657547,0.2814207695739516,0.6410256410256411,0.15384615384615385,0.0,0.0,,0.8182830810546875,1.4973958333333333,1.8062125367347064,,,0.7838891636291747,0.8640244317585873
all_four,A3_pages_1024,2.0,39,10,0.835511411445782,0.846244791718159,0.7584284042013079,0.7894999296780585,0.8888017660996279,0.9190390068657547,0.28084531388286116,0.6666666666666666,0.15384615384615385,0.0,0.0,,1.124359130859375,1.9947916666666667,1.696593144869007,,,0.7896420769899065,0.8648960690335802
all_four,A3_pages_1024,2.5,39,10,0.8360570882571272,0.846244791718159,0.758504423946494,0.7896175579251958,0.8888878937070286,0.9190390068657547,0.2808437332459112,0.6923076923076923,0.15384615384615385,0.0,0.0,,1.1821543375651042,2.0651041666666665,1.6777246274198283,,,0.7928460467607242,0.864927475500464
all_four,A3_pages_1024,3.0,39,10,0.8360589390893052,0.846244791718159,0.758504423946494,0.7896175579251958,0.8888878937070286,0.9190390068657547,0.2808437332459112,0.6923076923076923,0.15384615384615385,0.0,0.0,,1.1821543375651042,2.0651041666666665,1.6777246274198283,,,0.791324581206496,0.864927475500464
all_four,A3_pages_1024,4.0,39,10,0.8360589390893052,0.846244791718159,0.758504423946494,0.7896175579251958,0.8888878937070286,0.9190390068657547,0.2808437332459112,0.6923076923076923,0.15384615384615385,0.0,0.0,,1.1821543375651042,2.0651041666666665,1.6777246274198283,,,0.7898773334841813,0.864927475500464
all_four,A3_pages_2048,0.0,39,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
