method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B3_action_cluster_4,256,activation_ls,4,0.5,31,0.6863045865489591,0.8812383413314819,0.027545392513275146,0.9925017952919006
B3_action_cluster_4,256,activation_ls,4,0.5625,35,0.35579405682427545,0.3205018639564514,0.04686700105667116,0.7109586715698243
B3_action_cluster_4,256,activation_ls,8,0.03125,6,0.08893190821011861,0.021284401416778564,-0.007020115852355957,0.2525314390659332
B3_action_cluster_4,256,activation_ls,8,0.09375,13,0.20231928733678964,0.10286450386047363,-0.04342215061187743,0.6866538286209108
B3_action_cluster_4,256,activation_ls,8,0.125,4,0.3226717412471771,0.31601253151893616,0.12292268872261047,0.5277481615543366
B3_action_cluster_4,256,activation_ls,8,0.5,10,0.7135037422180176,0.8188124895095825,0.3828899025917053,0.9810545206069946
B3_action_cluster_4,256,activation_ls,8,0.53125,22,0.39598841016942804,0.39410868287086487,0.10171577334403992,0.6890545904636385
B3_action_cluster_4,256,activation_ls,8,0.84375,12,0.4040014495452245,0.4104968309402466,0.049120634794235236,0.7348904013633728
B3_action_cluster_4,256,activation_ls,8,0.9375,8,0.8297140151262283,0.8775614500045776,0.6934347331523896,0.9312937974929809
B3_action_cluster_4,256,activation_ls,8,0.96875,23,0.6406063644782357,0.8948677778244019,-0.004764831066131588,0.9986594557762146
B3_action_cluster_4,256,activation_ls,8,1.0625,35,0.35614220074244907,0.3176240921020508,0.0506728768348694,0.7114185333251953
B3_action_cluster_4,256,activation_ls,16,0.03125,2,0.25264275074005127,0.25264275074005127,0.19073288440704345,0.3145526170730591
B3_action_cluster_4,256,activation_ls,16,0.0625,4,0.007070466876029968,0.012591451406478882,-0.013613551855087279,0.023337697982788088
B3_action_cluster_4,256,activation_ls,16,0.15625,5,0.07657389640808106,0.10269761085510254,0.01618492603302002,0.11835982799530029
B3_action_cluster_4,256,activation_ls,16,0.1875,8,0.2802990674972534,0.15978282690048218,-0.097573983669281,0.7671315729618072
B3_action_cluster_4,256,activation_ls,16,0.21875,4,0.3226226717233658,0.31592223048210144,0.12374011874198913,0.5268655776977539
B3_action_cluster_4,256,activation_ls,16,0.96875,10,0.7135668635368347,0.8193370997905731,0.38240712881088257,0.9811255097389221
B3_action_cluster_4,256,activation_ls,16,1.0,14,0.4278597320829119,0.49675729870796204,0.1038784146308899,0.6768443703651429
