group,method,budget_bpw,invocations,requests,mean_recovery,median_recovery,p10_recovery,p25_recovery,p75_recovery,p90_recovery,p95_remaining_damage,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_relative_output_error,median_logical_bpw,median_physical_bpw,median_page_amplification,median_external_storage_multiplier,median_extra_flops,median_ci_low,median_ci_high
all_four,B_validation_selected_deployable,0.5,133,16,0.5170661468508526,0.5058250149544583,0.17544243633922313,0.28721498132557277,0.7549238290931778,0.9207048446906912,0.8934976864066017,0.18796992481203006,0.12781954887218044,0.05263157894736842,0.0,0.4102070927619934,0.14511617024739584,0.4479166666666667,2.9093726794304717,3.40045166015625,343040.0,0.33862539241177037,0.5759550947374366
all_four,B_validation_selected_deployable,0.75,133,16,0.5659450489920349,0.5722844463109291,0.2275054656259793,0.3805807562906043,0.7644113856281726,0.9470759979168722,0.838151105828948,0.20300751879699247,0.15037593984962405,0.09022556390977443,0.007518796992481203,0.38178470730781555,0.3123016357421875,0.6770833333333334,2.1627918140070723,3.4038609095982144,655360.0,0.42659943247721255,0.6510639026274531
all_four,B_validation_selected_deployable,1.0,133,16,0.596134291783757,0.6088133452759126,0.25062364871708465,0.4035837221999997,0.791797732766329,0.9551209579967904,0.810711333815627,0.23308270676691728,0.15789473684210525,0.11278195488721804,0.0,0.36367788910865784,0.4402414957682292,0.9270833333333334,2.046515713877847,3.4508492606026784,2483200.0,0.46575219885028907,0.6821722372990406
all_four,B_validation_selected_deployable,1.5,133,16,0.6497832509994929,0.6731550534970023,0.3234367315489071,0.474519611358573,0.821580237376005,0.964934315358939,0.7067684034203767,0.2781954887218045,0.16541353383458646,0.13533834586466165,0.03007518796992481,0.35141727328300476,0.5220947265625,1.3645833333333333,2.4689711118121593,3.4508492606026784,2483200.0,0.5320535098261708,0.7159456787458385
all_four,B_validation_selected_deployable,2.0,133,16,0.6991501180363786,0.7143211870119444,0.41167418075131096,0.5614439994274278,0.8413713317282849,0.973556442048157,0.6395083769529257,0.3383458646616541,0.16541353383458646,0.14285714285714285,0.06766917293233082,0.3183075189590454,0.7306315104166666,1.8645833333333333,2.5284822567851846,3.4508492606026784,2483200.0,0.619405690205612,0.7747683436462088
all_four,B_validation_selected_deployable,2.5,133,16,0.7183189132786487,0.7374382968531297,0.45578554150426537,0.5977521492235953,0.8509572002820586,0.9756970797046439,0.6124849507070005,0.3458646616541353,0.17293233082706766,0.14285714285714285,0.06766917293233082,0.30918237566947937,0.7867787679036459,2.1979166666666665,2.641348971734675,3.4508492606026784,2483200.0,0.6316354466477965,0.7825862749921805
all_four,B_validation_selected_deployable,3.0,133,16,0.7274269249447621,0.7459820641457341,0.48956173946309584,0.5987039167050775,0.8518342564044455,0.9762235076189131,0.590231835769331,0.37593984962406013,0.17293233082706766,0.14285714285714285,0.07518796992481203,0.3015877902507782,1.0935465494791667,2.65625,2.2393663954877634,3.4508492606026784,2483200.0,0.6409586461891368,0.7994389331446664
all_four,B_validation_selected_deployable,4.0,133,16,0.7390914219491211,0.7626457101778528,0.5168052496038887,0.6333785243843173,0.8562378162396842,0.9776833475319763,0.590231835769331,0.37593984962406013,0.18045112781954886,0.14285714285714285,0.06766917293233082,0.28902244567871094,1.1659291585286458,2.9375,2.3894381332514585,3.4508492606026784,2483200.0,0.6749404902402402,0.7991180697436493
difficult,B_validation_selected_deployable,0.5,92,15,0.46457645524628743,0.4739592821455234,0.16554885713327974,0.2844918009819014,0.6195794581834527,0.784941488855054,0.9133180984838966,0.07608695652173914,0.03260869565217391,0.0,0.0,0.43094344437122345,0.12244669596354166,0.4583333333333333,3.461407499532043,3.399562290736607,327680.0,0.3097644412905548,0.5431412963304286
difficult,B_validation_selected_deployable,0.75,92,15,0.5090242565081446,0.5085262616684113,0.2172880546394834,0.3768326830472809,0.6565178083697396,0.7865474611487605,0.8523396863323328,0.08695652173913043,0.03260869565217391,0.0,0.0,0.41524726152420044,0.36879984537760413,0.6770833333333334,1.7936955519457194,3.4308384486607144,1725440.0,0.4087094682930378,0.587914952504063
difficult,B_validation_selected_deployable,1.0,92,15,0.5458593073757847,0.5748833118932118,0.22378962490709367,0.4161948393895971,0.6966813426637299,0.8002203171196123,0.8179041996009092,0.10869565217391304,0.03260869565217391,0.010869565217391304,0.0,0.3913334757089615,0.4332707722981771,0.9270833333333334,2.082264161096646,3.46478271484375,2621440.0,0.4655526008021533,0.6151526702922594
