source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.25,142,0.6985635921454811,0.8351202656523171,0.9458828517937795,192.0,115.0,1.107246376811594,586.9287042878568,20971520.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.5,142,0.8065445989522697,0.8991187422394908,0.9673490762888126,384.0,234.0,1.0940170940170941,586.9287042878568,20971520.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.75,142,0.8527296575951923,0.9228082408454334,0.9761826730177379,576.0,356.5,1.0762046391590343,586.9287042878568,20971520.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.0,142,0.8731272684234398,0.9333065405120327,0.9780332090357302,768.0,480.0,1.0652777777777778,586.9287042878568,20971520.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.25,142,0.8803920589817505,0.9394348750885617,0.9786170271087457,960.0,614.0,1.0423452768729642,586.9287042878568,20971520.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.5,142,0.8893057683499997,0.9450469380366988,0.9802040049238766,1152.0,750.0,1.024,586.9287042878568,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.0625,85,0.4961095784468553,0.6827069042704794,0.869084021295174,48.0,16.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.125,85,0.590657677995748,0.7734566352011512,0.9191598990987626,96.0,32.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.25,85,0.6863505668646788,0.8452550830360824,0.9444672028255343,192.0,64.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.375,85,0.743894129370286,0.8665160030163249,0.960269142082941,288.0,96.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.5,85,0.7860386152492701,0.8882844581428164,0.9700333417669484,384.0,128.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.75,85,0.8339306392648664,0.9167276297171743,0.9778108301702897,576.0,192.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.0,85,0.8593007884313499,0.9339332355627653,0.9797331815652943,768.0,256.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.25,85,0.8668336704114489,0.9421263596402986,0.9797331815652943,960.0,320.0,1.0,97.13897481560707,5242880.0
