source_run_mode,capture_source,evaluation_split,layer,top_k,n,p10_top_k_energy_fraction,median_top_k_energy_fraction,p90_top_k_energy_fraction,median_exact_zero_fraction,p10_coordinates_for_90pct_energy,median_coordinates_for_90pct_energy,p90_coordinates_for_90pct_energy
full,exact_checkpoint,test,4,384,30,0.6820090298305623,0.7074594057132749,0.7640740372637737,0.000732421875,744.0,820.0,856.0
full,exact_checkpoint,test,4,512,30,0.7623108601451891,0.7827006115588093,0.8245929417163385,0.000732421875,744.0,820.0,856.0
full,exact_checkpoint,test,4,768,30,0.8732045695538196,0.8850926999214874,0.9059752650109264,0.000732421875,744.0,820.0,856.0
full,exact_checkpoint,test,4,1024,30,0.9397665206111838,0.9455001688410994,0.9533378403250489,0.000732421875,744.0,820.0,856.0
full,exact_checkpoint,test,4,2048,30,1.0,1.0,1.0,0.000732421875,744.0,820.0,856.0
full,exact_checkpoint,test,20,64,19,0.2794573110539021,0.2941284036436491,0.3243294976277729,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,128,19,0.3998663617655901,0.4102925522239093,0.43990447532089705,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,256,19,0.556918600809266,0.5713537902154734,0.5954422484994555,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,384,19,0.6696641630565722,0.6840945209418364,0.7026853594256741,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,512,19,0.7560314326836167,0.7650410442136542,0.7810382017468964,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,768,19,0.869757532809332,0.8752173987317463,0.8833324398821683,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,1024,19,0.9363269027182672,0.9403415844371507,0.9441826346542944,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,20,2048,19,1.0,1.0,1.0,0.00048828125,827.4,850.0,868.8
full,exact_checkpoint,test,39,64,23,0.32659834781557756,0.3762078894456829,0.4144067272352857,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,128,23,0.4400957814104774,0.4839136482039851,0.5172128739704694,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,256,23,0.593779958356622,0.6280197536645764,0.65616730030833,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,384,23,0.7002624423387094,0.7268820739773425,0.747959124301572,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,512,23,0.7772832610126024,0.7993090017777326,0.8144184744841995,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,768,23,0.881600031395268,0.8920958623435477,0.9037096181000553,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,1024,23,0.9414975418393657,0.9476671801680578,0.9538176075945625,0.00048828125,754.2,797.0,832.4
full,exact_checkpoint,test,39,2048,23,1.0,1.0,1.0,0.00048828125,754.2,797.0,832.4
pilot,exact_checkpoint,validation,0,64,7,0.4618699450050147,0.4838109828396712,0.5241133313391705,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,128,7,0.5571783633505233,0.5793314315423885,0.6069927922936681,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,256,7,0.6829022895126808,0.6979885510816857,0.7156381547242335,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,384,7,0.7666162319291113,0.7789702636771024,0.7903043755910538,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,512,7,0.8273423187269819,0.8385194939829871,0.8438238822645273,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,768,7,0.9079109576265647,0.9138530746695509,0.9166727088968272,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,1024,7,0.954972922876229,0.957011713358335,0.9601481161093255,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,0,2048,7,1.0,1.0,1.0,0.0009765625,697.8,710.0,735.8
pilot,exact_checkpoint,validation,4,64,16,0.2916771945642903,0.38911270119150415,0.4365219361999639,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,128,16,0.4078162406591035,0.49527079937482565,0.5359878919018832,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,256,16,0.5710254061744408,0.6360051249897667,0.6684650009601005,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,384,16,0.685415205499895,0.7286466655543223,0.7562731423258872,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,512,16,0.768744787959095,0.7993585440862551,0.8206071713679322,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,768,16,0.877339214142139,0.8938309109412652,0.9059962302644733,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,1024,16,0.9405495300968921,0.9488206460460024,0.9547476025123977,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,4,2048,16,1.0,1.0,1.0,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,20,64,16,0.2754391702619314,0.3225446346673937,0.3712824357043437,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,128,16,0.39221002171154484,0.43651964204124183,0.47715411124990936,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,256,16,0.5573745432335822,0.5910144582966722,0.6206708375548247,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,384,16,0.6750739304706126,0.6963902506466082,0.7200558099665313,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,512,16,0.7604309177127555,0.7736347154677234,0.793009354473805,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,768,16,0.8717815184928167,0.87937758263793,0.8918520674495423,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,1024,16,0.9368844757409056,0.942648577392415,0.9482181133441415,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,2048,16,1.0,1.0,1.0,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,39,64,16,0.3437848553111602,0.41693234039247307,0.48761976688909126,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,128,16,0.45640941961210385,0.5177843789894727,0.5796292106879328,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,256,16,0.6066825449574924,0.6509761841078999,0.6972078967214816,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,384,16,0.7104372114396291,0.7416730902312034,0.7767204789634043,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,512,16,0.7873804466903778,0.8088173139219963,0.8346705355895042,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,768,16,0.886804767205114,0.8990449068636659,0.9129093706657718,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,1024,16,0.9446549239132445,0.9517394261832695,0.958492575194679,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,2048,16,1.0,1.0,1.0,0.0009765625,715.5,772.0,816.5
