budget_regime,factor_config_id,solver,physical_budget_pages,layer,rows,recovery_p10,recovery_median,recovery_gain_p10,recovery_gain_median
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,768,20,20,0.9904747525231135,0.992979451832553,0.010883198318744092,0.014914278020337124
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,768,39,19,0.9936863838715437,0.996769131771389,0.0010625173540655287,0.004125863272670505
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,0,11,0.9740052242973478,0.9981743581208617,0.0011170517165702831,0.002760036851348513
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,4,19,0.9219303057927989,0.9470482575425062,0.015223337518221292,0.03240901167002497
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,20,20,0.9148255119743287,0.9362304547019145,0.02566347508632363,0.03610108947617191
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,39,19,0.9531885468878054,0.9739557630682822,0.004139429734702271,0.0125721934880626
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,0,11,0.9932816507851185,0.9999864834119975,1.469567653122894e-05,4.659240134374798e-05
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,4,19,0.9692277175101499,0.9816734973058885,0.00899559628726152,0.01992464852292708
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,20,20,0.9684299028417768,0.9763165794217037,0.016439140205745308,0.02643587159724875
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,39,19,0.9814046935046975,0.990803887296962,0.0023068179058665763,0.007698649731314289
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,0,11,0.9985511472859074,1.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,4,19,0.9900294365600256,0.9933344285298,0.004335776061236296,0.009551978231797542
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,20,20,0.9899518210619962,0.9926749772072794,0.010809373835422298,0.01476250959634623
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,39,19,0.9936511853088716,0.9971434418534004,0.0010822418385228794,0.003650463581721053
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,384,0,11,0.9753963288190729,0.9981671245043747,0.0013886285567247247,0.0023470136960528354
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,384,4,19,0.9265888700716828,0.9494795352000883,0.015403023900026657,0.03485579727348875
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,384,20,20,0.9162597506033902,0.9366201027058294,0.02328903771848864,0.03578740223276633
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,384,39,19,0.9519434643933816,0.9740365745706625,0.00441629813130271,0.01178839535456555
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,576,0,11,0.99301812622679,0.99998729770428,1.597591512492169e-05,4.676208115539371e-05
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,576,4,19,0.9695287963421334,0.9819641916338347,0.008606626551000996,0.020141394556998482
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,576,20,20,0.9696017152712173,0.9767039282140675,0.018135406383631425,0.026591366509567116
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,576,39,19,0.9803754995653354,0.9907564099561418,0.0023609762861015906,0.007190802451792155
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,768,0,11,0.9985858682633257,1.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,768,4,19,0.990396366288389,0.9936644352212185,0.004024880227101036,0.009417105758191657
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,768,20,20,0.9904146795700587,0.9926025137765497,0.010821189760513095,0.014912823026210553
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,768,39,19,0.9935789115410252,0.9968031848072905,0.0011116117591071673,0.004442301035917806
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,729,0,11,0.9979087958523241,1.0,0.0,0.0
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,729,4,19,0.9876368591478203,0.9917765092751969,0.004872750437256146,0.01063511339231138
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,729,20,20,0.9879231564758574,0.9901952936443703,0.011926815203529183,0.017086317534975692
