capture_source,request_id,position,layer,expert_id,projection,backward_elimination,diagonal,exact_marginal_fixed_greedy,diagonal_over_exact
cross_reference,tfprod-req000106-bd8b34bc,80,0,238,up,2767.0,805.0,251.0,3.2071713147410357
cross_reference,tfprod-req000106-bd8b34bc,80,20,72,gate,3411.0,1583.0,619.0,2.5573505654281097
cross_reference,tfprod-req000106-bd8b34bc,80,20,72,up,3464.0,1602.0,486.0,3.2962962962962963
cross_reference,tfprod-req000106-bd8b34bc,96,0,238,gate,2694.0,1092.0,480.0,2.275
cross_reference,tfprod-req000106-bd8b34bc,96,0,238,up,2260.0,1151.0,355.0,3.2422535211267607
cross_reference,tfprod-req000106-bd8b34bc,128,20,72,gate,3395.0,1629.0,669.0,2.4349775784753365
cross_reference,tfprod-req000106-bd8b34bc,128,20,72,up,3308.0,1681.0,493.0,3.40973630831643
cross_reference,tfprod-req000106-bd8b34bc,144,20,72,gate,3297.0,1719.0,612.0,2.8088235294117645
cross_reference,tfprod-req000106-bd8b34bc,144,20,72,up,3422.0,1531.0,492.0,3.111788617886179
cross_reference,tfprod-req000106-bd8b34bc,160,0,207,gate,3065.0,1595.0,418.0,3.8157894736842106
cross_reference,tfprod-req000106-bd8b34bc,160,0,207,up,3163.0,1539.0,403.0,3.8188585607940446
cross_reference,tfprod-req000106-bd8b34bc,160,4,134,gate,3088.0,1584.0,650.0,2.436923076923077
cross_reference,tfprod-req000106-bd8b34bc,160,4,134,up,3131.0,1604.0,491.0,3.2668024439918533
cross_reference,tfprod-req000106-bd8b34bc,160,20,72,gate,3304.0,1580.0,615.0,2.569105691056911
cross_reference,tfprod-req000106-bd8b34bc,160,20,72,up,3349.0,1645.0,520.0,3.1634615384615383
cross_reference,tfprod-req000106-bd8b34bc,160,39,235,gate,3496.0,1713.0,587.0,2.918228279386712
cross_reference,tfprod-req000106-bd8b34bc,160,39,235,up,3507.0,1740.0,499.0,3.4869739478957915
cross_reference,tfprod-req000106-bd8b34bc,192,4,134,gate,2815.0,1469.0,666.0,2.205705705705706
cross_reference,tfprod-req000106-bd8b34bc,192,4,134,up,2849.0,1352.0,482.0,2.804979253112033
cross_reference,tfprod-req000106-bd8b34bc,192,20,72,gate,3428.0,1665.0,633.0,2.6303317535545023
cross_reference,tfprod-req000106-bd8b34bc,192,20,72,up,3431.0,1638.0,483.0,3.391304347826087
cross_reference,tfprod-req000106-bd8b34bc,208,4,134,gate,2829.0,1451.0,666.0,2.1786786786786787
cross_reference,tfprod-req000106-bd8b34bc,208,4,134,up,2654.0,1466.0,478.0,3.066945606694561
cross_reference,tfprod-req000106-bd8b34bc,208,20,72,gate,3341.0,1637.0,622.0,2.6318327974276525
cross_reference,tfprod-req000106-bd8b34bc,208,20,72,up,3370.0,1669.0,492.0,3.3922764227642275
cross_reference,tfprod-req000106-bd8b34bc,208,39,235,gate,3471.0,1565.0,491.0,3.1873727087576373
cross_reference,tfprod-req000106-bd8b34bc,208,39,235,up,3437.0,1465.0,472.0,3.1038135593220337
cross_reference,tfprod-req000106-bd8b34bc,224,20,72,gate,3484.0,1695.0,628.0,2.699044585987261
cross_reference,tfprod-req000106-bd8b34bc,224,20,72,up,3440.0,1546.0,511.0,3.025440313111546
cross_reference,tfprod-req000106-bd8b34bc,240,4,134,gate,3137.0,1649.0,596.0,2.7667785234899327
cross_reference,tfprod-req000106-bd8b34bc,240,4,134,up,3191.0,1613.0,477.0,3.3815513626834384
cross_reference,tfprod-req000106-bd8b34bc,240,20,72,gate,3417.0,1683.0,570.0,2.9526315789473685
cross_reference,tfprod-req000106-bd8b34bc,240,20,72,up,3297.0,1657.0,491.0,3.374745417515275
cross_reference,tfprod-req000106-bd8b34bc,256,4,134,gate,3146.0,1533.0,648.0,2.365740740740741
cross_reference,tfprod-req000106-bd8b34bc,256,4,134,up,3126.0,1481.0,505.0,2.9326732673267326
cross_reference,tfprod-req000106-bd8b34bc,272,4,134,gate,3203.0,1672.0,654.0,2.5565749235474007
cross_reference,tfprod-req000106-bd8b34bc,272,4,134,up,3256.0,1578.0,496.0,3.181451612903226
cross_reference,tfprod-req000106-bd8b34bc,272,39,235,gate,3489.0,1536.0,580.0,2.6482758620689655
cross_reference,tfprod-req000106-bd8b34bc,272,39,235,up,3516.0,1605.0,522.0,3.074712643678161
cross_reference,tfprod-req000106-bd8b34bc,288,20,72,gate,3246.0,1588.0,623.0,2.548956661316212
cross_reference,tfprod-req000106-bd8b34bc,288,20,72,up,3368.0,1609.0,521.0,3.0882917466410746
cross_reference,tfprod-req000106-bd8b34bc,304,4,134,gate,2938.0,1503.0,646.0,2.3266253869969042
