aggregate,budget_bpw,count,mean,p10,median,p90
all_four,0.25,0,,,,
all_four,0.5,142,2.2874720888927405,1.606196108024221,2.1417177316180966,3.254863481193616
all_four,0.75,142,1.5337701750215622,1.2345638787052375,1.4859381499554998,1.942851604206222
all_four,1.0,142,1.29293384794863,1.1305143404089568,1.2693933038528116,1.5077508464509815
all_four,1.25,142,1.3618872836629876,1.1649550185460902,1.3380419142327598,1.613844267510976
all_four,1.5,142,1.1941656087450494,1.1007791657638824,1.1763796184678081,1.317459173465421
all_four,2.0,142,0.9999999964900926,0.999999654695354,0.9999999999993079,1.0000003731298377
all_four,2.5,142,0.9999999964900926,0.999999654695354,0.9999999999993079,1.0000003731298377
all_four,3.0,142,0.9999999964900926,0.999999654695354,0.9999999999993079,1.0000003731298377
difficult_4_20_39,0.25,0,,,,
difficult_4_20_39,0.5,103,2.2617627300152043,1.5699588438346395,2.120920384958546,3.2199762940834122
difficult_4_20_39,0.75,103,1.5283701487370063,1.2549501724692838,1.4849688456029957,1.8821475250420203
difficult_4_20_39,1.0,103,1.29686975569913,1.1451270242572658,1.2697726044930635,1.482831856594958
difficult_4_20_39,1.25,103,1.3805657708436376,1.214295345362524,1.3444282038530688,1.619032825038556
difficult_4_20_39,1.5,103,1.2038385970404417,1.1136567067452738,1.1827594068503697,1.321387641254619
difficult_4_20_39,2.0,103,1.0000000094630082,0.9999996562820321,0.9999999999992958,1.000000337986709
difficult_4_20_39,2.5,103,1.0000000094630082,0.9999996562820321,0.9999999999992958,1.000000337986709
difficult_4_20_39,3.0,103,1.0000000094630082,0.9999996562820321,0.9999999999992958,1.000000337986709
