budget_bpw,ratio_count,ratio_mean,ratio_p10,ratio_median,ratio_p90,median_independent_bpw,median_bundled_bpw
0.25,142,3.0879364730046945,2.6255208333333333,3.122395833333333,3.7067708333333336,0.25,0.7799479166666666
0.5,142,2.422876320422535,2.2140625,2.424479166666667,2.6325520833333336,0.5,1.2109375
0.75,142,1.9380746283255086,1.8543402777777778,1.9279513888888888,2.0190972222222223,0.75,1.4453125
1.0,142,1.5761281943555272,1.4908854166666667,1.576171875,1.6623697916666669,1.0,1.5755208333333333
1.25,142,1.3152173457411132,1.2597916666666666,1.3302083333333334,1.3977083333333333,1.25,1.6627604166666667
1.5,142,1.138460974178404,1.1111111111111112,1.1111111111111112,1.215104166666667,1.5,1.6666666666666667
2.0,142,1.0,1.0,1.0,1.0,2.0,2.0
