method,aggregate,budget_bpw,count,mean,p10,p25,median,p75,p90,fraction_ge_80,fraction_ge_90,fraction_ge_95,fraction_ge_99,median_ci_low,median_ci_high
selective,difficult_4_20_39,0.75,103,0.7994530445205081,0.6888252322120725,0.743246404637632,0.8109346439989975,0.8562652773496542,0.8835293776409663,0.5631067961165048,0.07766990291262135,0.0,0.0,0.7996081246946007,0.8296984023046601
selective,difficult_4_20_39,1.0,103,0.8735371441307404,0.8044842990271585,0.8436235842740547,0.8817870572148445,0.9156084624053638,0.9318551019004878,0.9223300970873787,0.36893203883495146,0.05825242718446602,0.0,0.87601226342083,0.8948869070649736
selective,difficult_4_20_39,1.25,103,0.9277556850876395,0.8771016211069107,0.9146049466084707,0.9313870231699175,0.95178864084394,0.9645871503959887,1.0,0.7961165048543689,0.2621359223300971,0.0,0.9270337553674469,0.9425206519757934
selective,difficult_4_20_39,1.5,103,0.9652233285567132,0.9431317632910103,0.9568406423973841,0.966723807495377,0.976791183682908,0.9845790455138319,1.0,1.0,0.8058252427184466,0.02912621359223301,0.9639164118721357,0.9725115105194015
selective,difficult_4_20_39,2.0,103,0.9999999999992575,0.9999999999987675,0.9999999999990148,0.9999999999993605,0.9999999999995903,0.9999999999996646,1.0,1.0,1.0,1.0,0.9999999999992932,0.9999999999994361
selective,layer0,0.25,39,0.7755640715127223,0.5673654662154888,0.6626835316799298,0.826918729944287,0.8850167265414166,0.9189372924583816,0.5641025641025641,0.23076923076923078,0.0,0.0,0.7461864122878039,0.8549789357919447
selective,layer0,0.5,39,0.8818058457323118,0.7289187294660706,0.8486378365679126,0.9234685530829926,0.9458929787806993,0.9535223473167022,0.7948717948717948,0.5384615384615384,0.1794871794871795,0.0,0.8726213021319554,0.9404866966225001
selective,layer0,0.75,39,0.9286833173005692,0.83016309038599,0.9037697825282345,0.953662074302942,0.9741333400837642,0.9790256770400282,1.0,0.7692307692307693,0.5128205128205128,0.02564102564102564,0.9185560208613196,0.9706166107892994
selective,layer0,1.0,39,0.9597427203554417,0.9016039720016912,0.9513442664867581,0.9783409413000939,0.9862639637605553,0.9914437000185518,1.0,0.8974358974358975,0.7435897435897436,0.1282051282051282,0.9584691900592266,0.9828340916415641
selective,layer0,1.25,39,0.9801174506477247,0.9544806769765037,0.9733574769885698,0.990583978130701,0.9944450005200188,0.996721001193381,1.0,1.0,0.9230769230769231,0.5128205128205128,0.9829500769760545,0.9915415806339781
selective,layer0,1.5,39,0.9923767866907783,0.9809801172512224,0.9893750467929887,0.9966735118392348,0.9980879098353997,0.9989417034074304,1.0,1.0,1.0,0.717948717948718,0.9932178767994194,0.9970929208786693
selective,layer0,2.0,39,0.9999999999993261,0.9999999999989752,0.9999999999992245,0.9999999999994257,0.9999999999995968,0.999999999999682,1.0,1.0,1.0,1.0,0.9999999999993912,0.9999999999995489
