layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
coselection_1rep,512,False,0.25,12,0.5791205014826492,0.436833055015932,0.4911843024156304,0.5616378667396468,0.6276773496361697,0.7737288692714361,0.25,0.25,1.0
coselection_1rep,512,False,0.5,12,0.7444991667257396,0.6607927399143676,0.6960756106392474,0.7237938093767968,0.7599336585185373,0.8744863096705917,0.5,0.5,1.0
coselection_1rep,512,False,0.75,12,0.8451318228024173,0.7937903419725545,0.8041648653533785,0.8344328287750656,0.8601392749314787,0.9198206524910836,0.75,0.75,1.0
coselection_1rep,512,False,1.0,12,0.9009088881723253,0.8571599100204216,0.8760321100273318,0.8949848193256714,0.921475232141333,0.9441339437612912,1.0,1.0,1.0
coselection_1rep,512,False,1.25,12,0.9436293778887866,0.9156131321800237,0.9244750886754409,0.942329991767063,0.9557156491809989,0.9782961040087215,1.25,1.25,1.0
coselection_1rep,512,False,1.5,12,0.9742688808683698,0.9626928812582959,0.9677561457502761,0.9730871620138669,0.9829131874416122,0.9904943893901411,1.5,1.5,1.0
coselection_1rep,512,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
coselection_1rep,512,True,0.25,12,0.66354689423102,0.5480372143473112,0.6221792279246603,0.6764636134571311,0.7230540375697584,0.7897777223874571,0.25,0.25,1.0
coselection_1rep,512,True,0.5,12,0.8143690796527276,0.7065859633746286,0.7803287587553844,0.8156904305227825,0.8706310704716159,0.9223423687276451,0.5,0.5,1.0
coselection_1rep,512,True,0.75,12,0.8818584330894396,0.8178508896446725,0.8398797073331457,0.8827372410222989,0.916263075463212,0.9404087861610725,0.75,0.75,1.0
coselection_1rep,512,True,1.0,12,0.9335760979060184,0.8944412564987474,0.9083807998113229,0.9366608678545179,0.9596247612250369,0.9623862997741179,1.0,1.0,1.0
coselection_1rep,512,True,1.25,12,0.9652155762066315,0.9449971545172461,0.9538640393645543,0.9665125070095018,0.9806371230399589,0.9831731869060117,1.25,1.25,1.0
coselection_1rep,512,True,1.5,12,0.9873394546603039,0.9792019384608821,0.9809438632100024,0.9880454260655698,0.9924668439732832,0.9954371190390497,1.5,1.5,1.0
coselection_1rep,512,True,2.0,12,0.9999999999995062,0.9999999999990782,0.9999999999994305,0.9999999999996,0.999999999999684,0.9999999999997218,2.0,2.0,1.0
coselection_1rep,1024,False,0.25,12,0.5206205773577922,0.35859663593530905,0.42034170155879347,0.5256863001467839,0.5749781214406219,0.7532114777625831,0.25,0.25,1.0
coselection_1rep,1024,False,0.5,12,0.6951396202561045,0.5871322215664833,0.6252510182941218,0.6782094190716714,0.7356944006548212,0.8752007553125045,0.5,0.5,1.0
coselection_1rep,1024,False,0.75,12,0.7922917164895061,0.7035714187852475,0.7442671889520172,0.7759318009986469,0.8243201161999785,0.905119094398898,0.75,0.75,1.0
coselection_1rep,1024,False,1.0,12,0.8649001818738046,0.8180217373632377,0.8258719117794004,0.8554371560703677,0.8794840595770019,0.940319321637103,1.0,1.0,1.0
coselection_1rep,1024,False,1.25,12,0.9222707251329991,0.8923240449847114,0.9014776912146212,0.9091484423260817,0.9390021699643163,0.9727836711877502,1.25,1.25,1.0
coselection_1rep,1024,False,1.5,12,0.9572047744219491,0.934121162548284,0.9368519049973838,0.9577443946812578,0.9731549091701384,0.9862120018124604,1.5,1.5,1.0
coselection_1rep,1024,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
coselection_1rep,1024,True,0.25,12,0.5710383284186542,0.388616291069347,0.4682008430632497,0.5698113613642513,0.6585329367726043,0.7733696030057704,0.25,0.25,1.0
coselection_1rep,1024,True,0.5,12,0.7368512118265512,0.6098981271565425,0.6640054836323084,0.7301410713577072,0.7872419230196811,0.8995768079441698,0.5,0.5,1.0
coselection_1rep,1024,True,0.75,12,0.8397964443786178,0.7666303568054462,0.7794331936233985,0.839724871646646,0.8736426172046982,0.9388835175687227,0.75,0.75,1.0
coselection_1rep,1024,True,1.0,12,0.8887213130465307,0.8230418228044561,0.8496723670562689,0.8772005754736409,0.9223530381173652,0.958228468237146,1.0,1.0,1.0
coselection_1rep,1024,True,1.25,12,0.9378018129770095,0.9045067644671827,0.9171157482730495,0.936671423842672,0.9492617158684644,0.9771599418232381,1.25,1.25,1.0
coselection_1rep,1024,True,1.5,12,0.9715055663922527,0.9526266798667866,0.9571194198640258,0.9732779979933898,0.9822151000185719,0.9912324992467477,1.5,1.5,1.0
coselection_1rep,1024,True,2.0,12,0.9999999999995062,0.9999999999990782,0.9999999999994305,0.9999999999996,0.999999999999684,0.9999999999997218,2.0,2.0,1.0
coselection_1rep,4096,False,0.25,12,0.4502892904062798,0.2543910803530123,0.2915527228519497,0.4346002039044871,0.5075843021861535,0.7176210073456112,0.25,0.25,1.0
coselection_1rep,4096,False,0.5,12,0.6174517868756645,0.40178924575741043,0.5609187955235201,0.6186588796806574,0.6533413858113359,0.8559496948099928,0.5,0.5,1.0
coselection_1rep,4096,False,0.75,12,0.7454489909415288,0.5974077291742015,0.7166025676290231,0.7544643697000726,0.7707099508283921,0.8967225940983093,0.75,0.75,1.0
coselection_1rep,4096,False,1.0,12,0.8154671004512374,0.6953379997774998,0.7616458269509165,0.8265749496822326,0.8646366740863323,0.9265787812528217,1.0,1.0,1.0
coselection_1rep,4096,False,1.25,12,0.8907563205829896,0.8191873345600894,0.8656177868040946,0.890280482053346,0.9140986457611463,0.964920587986053,1.25,1.25,1.0
coselection_1rep,4096,False,1.5,12,0.9367887435086796,0.8930959746257713,0.9129213942615179,0.9355028194948969,0.9566710580277542,0.9802556128968078,1.5,1.5,1.0
coselection_1rep,4096,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
coselection_1rep,4096,True,0.25,12,0.45983994229196906,0.2624921638155934,0.3593374984729723,0.41848976882555816,0.4945659009227774,0.7410678495106036,0.25,0.25,1.0
coselection_1rep,4096,True,0.5,12,0.6349379627335218,0.427879458373742,0.550397683271949,0.600315454947318,0.7210265440254109,0.8866490261860057,0.5,0.5,1.0
coselection_1rep,4096,True,0.75,12,0.7384963816790636,0.6142530739801582,0.6873786366187465,0.7068598653653189,0.7921597719594359,0.9166911465305221,0.75,0.75,1.0
coselection_1rep,4096,True,1.0,12,0.8323185737450128,0.7623481586378233,0.7853813380223132,0.8133176834978508,0.8675000223072582,0.9397794538566563,1.0,1.0,1.0
coselection_1rep,4096,True,1.25,12,0.8897020867265596,0.8247208798345483,0.8474313529127557,0.8867262031003207,0.9195559391412804,0.9552735286913601,1.25,1.25,1.0
coselection_1rep,4096,True,1.5,12,0.9329138935878981,0.894610288052601,0.9032887441368435,0.9369071758564561,0.9476815108791018,0.9767607584760414,1.5,1.5,1.0
coselection_1rep,4096,True,2.0,12,0.9999999999995062,0.9999999999990782,0.9999999999994305,0.9999999999996,0.999999999999684,0.9999999999997218,2.0,2.0,1.0
coselection_h0_2rep,512,False,0.25,12,0.5935855944577119,0.47481862486902565,0.5272562197631274,0.5808150448222685,0.6146539622947399,0.7938865706253819,0.25,0.25,1.0
coselection_h0_2rep,512,False,0.5,12,0.7596604463015605,0.6650878414855872,0.7019297806918356,0.7484759547315283,0.7809627173542464,0.89227257951693,0.5,0.5,1.0
coselection_h0_2rep,512,False,0.75,12,0.8445496260758496,0.7636092239132436,0.8091843183320363,0.8495244538591842,0.8668683398071201,0.9183384435792832,0.75,0.75,1.0
coselection_h0_2rep,512,False,1.0,12,0.9038962232016728,0.8540194303835104,0.8785373745469955,0.9082835751022328,0.9222853465259635,0.9557619346348752,1.0,1.0,1.0
coselection_h0_2rep,512,False,1.25,12,0.946108748147644,0.9185979885805079,0.933937303739448,0.9454982128654732,0.9558801894085438,0.9765651829046407,1.25,1.25,1.0
coselection_h0_2rep,512,False,1.5,12,0.9759102437839874,0.9598191867479583,0.9696745306385945,0.9764020765059325,0.9840366929525486,0.9900381735414061,1.5,1.5,1.0
coselection_h0_2rep,512,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
coselection_h0_2rep,1024,False,0.25,12,0.5385206033373188,0.4014580198998459,0.4886130705716537,0.5358572113033059,0.551640169721653,0.7361609115181824,0.25,0.25,1.0
coselection_h0_2rep,1024,False,0.5,12,0.701287945631905,0.542766830561827,0.6462955882102517,0.7067053347298378,0.7402617949274474,0.8693283194468583,0.5,0.5,1.0
