layer,expert_id,expert_stratum,budget_bpw,count,mean_recovery,p10_recovery,median_recovery,p90_recovery,fraction_ge_90,median_logical_bpw,median_physical_bpw,median_page_amplification
0,71,cold,0.25,3,0.7666158680364276,0.5960055131260045,0.8415173676452347,0.9072656231033278,0.3333333333333333,0.25,0.25,1.0
0,71,cold,0.5,3,0.8635843364135667,0.7581605114411633,0.9234685530829926,0.9450544747181998,0.6666666666666666,0.5,0.5,1.0
0,71,cold,0.75,3,0.9077246850367362,0.8403539847064552,0.9447647089081525,0.9602793758184508,0.6666666666666666,0.75,0.75,1.0
0,71,cold,1.0,3,0.9377331885590142,0.8804515621091284,0.9783409413000939,0.9787717139124679,0.6666666666666666,1.0,1.0,1.0
0,71,cold,1.25,3,0.9649174386907576,0.9265733061217958,0.9878451808439643,0.9940904743984368,1.0,1.25,1.25,1.0
0,71,cold,1.5,3,0.9880844275140701,0.974467067835034,0.996572669697605,0.9983064903196923,1.0,1.5,1.5,1.0
0,71,cold,2.0,3,0.9999999999995265,0.9999999999992915,0.9999999999995621,0.9999999999997473,1.0,1.8333333333333333,1.8333333333333333,1.0
0,207,median,0.25,12,0.6245054388658559,0.5590994502301978,0.5892325793609101,0.7259766176651496,0.0,0.25,0.25,1.0
0,207,median,0.5,12,0.7942604595417877,0.7173699841302004,0.7795255320373833,0.8715147456710763,0.0,0.5,0.5,1.0
0,207,median,0.75,12,0.8679765291500129,0.8143087839610161,0.8559907087435715,0.9179292544090331,0.4166666666666667,0.75,0.75,1.0
0,207,median,1.0,12,0.9226568311336893,0.8900417790303028,0.9166542057657627,0.9583389159431515,0.75,1.0,1.0,1.0
0,207,median,1.25,12,0.9615336015628037,0.9338694076086397,0.9615792244955848,0.9782570970883337,1.0,1.25,1.25,1.0
0,207,median,1.5,12,0.9841740164998182,0.9783084128932252,0.9858584385391973,0.9905548372395693,1.0,1.5,1.5,1.0
0,207,median,2.0,12,0.999999999998996,0.9999999999981678,0.9999999999992097,0.9999999999995676,1.0,1.8333333333333333,1.8333333333333333,1.0
0,238,hot,0.25,24,0.8522119132706928,0.7655780462232804,0.8678686218410838,0.9222134428412092,0.3333333333333333,0.25,0.25,1.0
0,238,hot,0.5,24,0.9278562274924171,0.8654589851833916,0.943011831940572,0.9556927854718517,0.7916666666666666,0.5,0.5,1.0
0,238,hot,0.75,24,0.9616565404088265,0.9208268112594975,0.9726365541458838,0.9807667731702585,0.9583333333333334,0.75,0.75,1.0
0,238,hot,1.0,24,0.981036856440871,0.9592339859122448,0.9854654252857484,0.9924943030013536,1.0,1.0,1.0,1.0
0,238,hot,1.25,24,0.9913093766848059,0.9838988432905231,0.9931683353221692,0.9971955678325097,1.0,1.25,1.25,1.0
0,238,hot,1.5,24,0.9970147166833466,0.9936120772958188,0.9975908083853349,0.9990668415087128,1.0,1.5,1.5,1.0
0,238,hot,2.0,24,0.9999999999994661,0.9999999999991317,0.9999999999995185,0.9999999999996804,1.0,1.8333333333333333,1.8333333333333333,1.0
4,134,hot,0.25,24,0.5606667052323182,0.4255679614885537,0.5379702679875948,0.6882171844625317,0.0,0.25,0.25,1.0
4,134,hot,0.5,24,0.7411746732272704,0.6466663967028966,0.7338457638136565,0.8527630877625653,0.0,0.5,0.5,1.0
4,134,hot,0.75,24,0.8384825930749381,0.7312972357423985,0.8375589238883956,0.920238846090975,0.20833333333333334,0.75,0.75,1.0
4,134,hot,1.0,24,0.9015342585585109,0.8409790194016251,0.907787514485739,0.9536942339285429,0.5416666666666666,1.0,1.0,1.0
4,134,hot,1.25,24,0.9450468070186497,0.9248970589260532,0.9491363205856695,0.974274701117295,0.9166666666666666,1.25,1.25,1.0
4,134,hot,1.5,24,0.9758258104462619,0.963599657634816,0.9779195451649643,0.9883341396664855,1.0,1.5,1.5,1.0
4,134,hot,2.0,24,0.9999999999993131,0.9999999999989003,0.9999999999995122,0.9999999999996716,1.0,2.0,2.0,1.0
4,156,cold,0.25,4,0.5976718296543507,0.39152348846934204,0.6729110301931122,0.7436288104083503,0.0,0.25,0.25,1.0
4,156,cold,0.5,4,0.7307882897628226,0.5930944111818941,0.7883805939280218,0.822408325011592,0.0,0.5,0.5,1.0
4,156,cold,0.75,4,0.8138750879940805,0.7399972368952763,0.8386114808306253,0.8679638248236488,0.0,0.75,0.75,1.0
4,156,cold,1.0,4,0.8783804337405334,0.8324841591605727,0.8963774186881697,0.9098791203623849,0.5,1.0,1.0,1.0
4,156,cold,1.25,4,0.9295681146363777,0.8990485766291805,0.9399231306675764,0.951803639818616,0.75,1.25,1.25,1.0
4,156,cold,1.5,4,0.9591856696354523,0.9384064102504921,0.9658908243581337,0.9746008052422672,1.0,1.5,1.5,1.0
4,156,cold,2.0,4,0.9999999999993696,0.9999999999991108,0.9999999999994365,0.9999999999995752,1.0,2.0,2.0,1.0
4,176,median,0.25,7,0.542622275323247,0.38623458071225114,0.5202638036871498,0.6791167622349401,0.0,0.25,0.25,1.0
4,176,median,0.5,7,0.723507973533016,0.6053694240252729,0.7688664260702114,0.8131331015797492,0.0,0.5,0.5,1.0
4,176,median,0.75,7,0.8218923683971463,0.7352027279948059,0.8565248525816506,0.8848805603730302,0.14285714285714285,0.75,0.75,1.0
4,176,median,1.0,7,0.8931700485258156,0.8377594434837702,0.9026971528918798,0.9353166291653905,0.5714285714285714,1.0,1.0,1.0
4,176,median,1.25,7,0.9379493865336751,0.9167555896478956,0.9400766218541801,0.9607816592100472,1.0,1.25,1.25,1.0
4,176,median,1.5,7,0.9685643003307606,0.9533472786344526,0.972840520120559,0.9829950470192664,1.0,1.5,1.5,1.0
4,176,median,2.0,7,0.9999999999992689,0.9999999999987236,0.9999999999994356,0.9999999999996517,1.0,2.0,2.0,1.0
20,72,hot,0.25,24,0.4587042845320668,0.3673188440676941,0.46449829486695965,0.5629117703413777,0.0,0.25,0.25,1.0
20,72,hot,0.5,24,0.6504025822773308,0.5064459057680009,0.6619950092778754,0.7287586762000703,0.0,0.5,0.5,1.0
20,72,hot,0.75,24,0.7590983554007688,0.6198625343253824,0.7647319138804924,0.8687155312284022,0.0,0.75,0.75,1.0
20,72,hot,1.0,24,0.8471806397716479,0.7626874396199366,0.8586315756546794,0.9109925623261783,0.20833333333333334,1.0,1.0,1.0
20,72,hot,1.25,24,0.9109208337956399,0.8674118825860757,0.9204921151586698,0.9555863514371901,0.6666666666666666,1.25,1.25,1.0
20,72,hot,1.5,24,0.957826045655772,0.9363984253877312,0.9611020816500708,0.9786450455057965,1.0,1.5,1.5,1.0
20,72,hot,2.0,24,0.9999999999992006,0.9999999999986721,0.999999999999249,0.9999999999996432,1.0,2.0,2.0,1.0
20,129,cold,0.25,4,0.4805158835049892,0.34431847088052253,0.4831328604225352,0.6146197145954191,0.0,0.25,0.25,1.0
20,129,cold,0.5,4,0.6410942813554201,0.5344539097868831,0.6371928516695687,0.7508557966726382,0.0,0.5,0.5,1.0
20,129,cold,0.75,4,0.768709462039261,0.7039251970226262,0.7668735698361152,0.8349624408184126,0.0,0.75,0.75,1.0
20,129,cold,1.0,4,0.8638266440122968,0.830679452071478,0.8720997188326924,0.8903553760967992,0.0,1.0,1.0,1.0
20,129,cold,1.25,4,0.9263050834115321,0.8984655126131982,0.9360406903240832,0.946356168679825,0.75,1.25,1.25,1.0
20,129,cold,1.5,4,0.9659859858422892,0.9588832560686842,0.9687015172331215,0.9709162905032285,1.0,1.5,1.5,1.0
20,129,cold,2.0,4,0.999999999999525,0.9999999999994718,0.9999999999995127,0.999999999999588,1.0,2.0,2.0,1.0
20,225,median,0.25,8,0.47046648790923884,0.3675499809974816,0.44865422243547637,0.5910857598330903,0.0,0.25,0.25,1.0
20,225,median,0.5,8,0.6655370148161763,0.5789210468138517,0.7017432924966622,0.7345576929908317,0.0,0.5,0.5,1.0
20,225,median,0.75,8,0.7966682667104655,0.7263450588098315,0.8006937978877509,0.848739812873584,0.0,0.75,0.75,1.0
20,225,median,1.0,8,0.8712060081818048,0.8446264265885153,0.8789684246630818,0.893139798084027,0.125,1.0,1.0,1.0
20,225,median,1.25,8,0.9261629458523601,0.9048432358847571,0.9288553058277298,0.9488371515753323,0.875,1.25,1.25,1.0
20,225,median,1.5,8,0.9607312172211984,0.9464594736716456,0.9652040454820887,0.9697533542910487,1.0,1.5,1.5,1.0
20,225,median,2.0,8,0.9999999999989635,0.9999999999986076,0.9999999999989059,0.9999999999994345,1.0,2.0,2.0,1.0
39,155,median,0.25,5,0.6749253309738105,0.5359759032846996,0.6862230205626025,0.7884710809099355,0.0,0.25,0.25,1.0
39,155,median,0.5,5,0.7851339632334887,0.660976801397831,0.786160831325726,0.8917940166882092,0.0,0.5,0.5,1.0
39,155,median,0.75,5,0.8593884183948332,0.7779592206493431,0.8703917554518117,0.926871859889764,0.4,0.75,0.75,1.0
39,155,median,1.0,5,0.9230949052093296,0.8856405580181281,0.934131724053437,0.9526826106413451,0.8,1.0,1.0,1.0
39,155,median,1.25,5,0.9633670817350396,0.9465839726994483,0.9654810863654748,0.9779679651701343,1.0,1.25,1.25,1.0
39,155,median,1.5,5,0.9831609630914306,0.9746075687352577,0.9850455040709352,0.9903313569984749,1.0,1.5,1.5,1.0
39,155,median,2.0,5,0.9999999999993572,0.9999999999991186,0.9999999999994394,0.9999999999995535,1.0,2.0,2.0,1.0
39,180,cold,0.25,3,0.5315586693712505,0.4302940865370024,0.49494841448978066,0.6474673541580865,0.0,0.25,0.25,1.0
39,180,cold,0.5,3,0.6990023877354116,0.6069462276662002,0.7178506672613558,0.7835192359942453,0.0,0.5,0.5,1.0
39,180,cold,0.75,3,0.8247148694668107,0.7635671906270479,0.866031683809046,0.8693358225696796,0.0,0.75,0.75,1.0
39,180,cold,1.0,3,0.8831840123551281,0.8254843691105291,0.9242544394389148,0.9244554847662128,0.6666666666666666,1.0,1.0,1.0
39,180,cold,1.25,3,0.9450607613740877,0.9290527066106984,0.9561546017638268,0.9566312799815815,1.0,1.25,1.25,1.0
39,180,cold,1.5,3,0.9765186648254188,0.9709572455775817,0.9778301731516568,0.9815554807427611,1.0,1.5,1.5,1.0
39,180,cold,2.0,3,0.9999999999993919,0.9999999999990135,0.9999999999995879,0.999999999999692,1.0,2.0,2.0,1.0
39,235,hot,0.25,24,0.5186939412586834,0.3565836741466055,0.5412653325010598,0.6246267693727581,0.0,0.25,0.25,1.0
39,235,hot,0.5,24,0.6678709110172845,0.5557661065568418,0.6837264819010839,0.7567849412599897,0.0,0.5,0.5,1.0
39,235,hot,0.75,24,0.7822376337176516,0.6763439434278311,0.79678012027921,0.8502312034571922,0.0,0.75,0.75,1.0
39,235,hot,1.0,24,0.8562281252618309,0.7707687345986088,0.8813359308041933,0.9233499174082745,0.2916666666666667,1.0,1.0,1.0
39,235,hot,1.25,24,0.9152146844558423,0.8705154778676721,0.9215396362255024,0.9517895749238773,0.6666666666666666,1.25,1.25,1.0
39,235,hot,1.5,24,0.9582712926234729,0.9406181539885982,0.9620956223457409,0.9723081558092893,1.0,1.5,1.5,1.0
39,235,hot,2.0,24,0.9999999999992527,0.9999999999987775,0.999999999999319,0.9999999999996493,1.0,2.0,2.0,1.0
