layer,expert_id,projection,request_id,ranking,threshold,actions_required,logical_bpw_projection
4,176,down,tfprod-req000110-5e571aa8,exact_marginal_omp,0.95,353,0.689453125
4,176,down,tfprod-req000110-5e571aa8,exact_marginal_omp,0.99,569,1.111328125
4,176,down,tfprod-req000110-5e571aa8,backward_elimination,0.8,156,0.3046875
4,176,down,tfprod-req000110-5e571aa8,backward_elimination,0.9,249,0.486328125
4,176,down,tfprod-req000110-5e571aa8,backward_elimination,0.95,352,0.6875
4,176,down,tfprod-req000110-5e571aa8,backward_elimination,0.99,566,1.10546875
20,225,gate,tfprod-req000232-1bbbc2b3,diagonal,0.8,1007,0.49169921875
20,225,gate,tfprod-req000232-1bbbc2b3,diagonal,0.9,1553,0.75830078125
20,225,gate,tfprod-req000232-1bbbc2b3,diagonal,0.95,2060,1.005859375
20,225,gate,tfprod-req000232-1bbbc2b3,diagonal,0.99,2893,1.41259765625
20,225,gate,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.8,362,0.1767578125
20,225,gate,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.9,576,0.28125
20,225,gate,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.95,838,0.4091796875
20,225,gate,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.99,4032,1.96875
20,225,gate,tfprod-req000232-1bbbc2b3,backward_elimination,0.8,367,0.17919921875
20,225,gate,tfprod-req000232-1bbbc2b3,backward_elimination,0.9,585,0.28564453125
20,225,gate,tfprod-req000232-1bbbc2b3,backward_elimination,0.95,823,0.40185546875
20,225,gate,tfprod-req000232-1bbbc2b3,backward_elimination,0.99,1588,0.775390625
20,225,up,tfprod-req000232-1bbbc2b3,diagonal,0.8,1046,0.5107421875
20,225,up,tfprod-req000232-1bbbc2b3,diagonal,0.9,1557,0.76025390625
20,225,up,tfprod-req000232-1bbbc2b3,diagonal,0.95,1992,0.97265625
20,225,up,tfprod-req000232-1bbbc2b3,diagonal,0.99,2841,1.38720703125
20,225,up,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.8,313,0.15283203125
20,225,up,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.9,503,0.24560546875
20,225,up,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.95,729,0.35595703125
20,225,up,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.99,4016,1.9609375
20,225,up,tfprod-req000232-1bbbc2b3,backward_elimination,0.8,350,0.1708984375
20,225,up,tfprod-req000232-1bbbc2b3,backward_elimination,0.9,585,0.28564453125
20,225,up,tfprod-req000232-1bbbc2b3,backward_elimination,0.95,842,0.4111328125
20,225,up,tfprod-req000232-1bbbc2b3,backward_elimination,0.99,1662,0.8115234375
20,225,down,tfprod-req000232-1bbbc2b3,diagonal,0.8,215,0.419921875
20,225,down,tfprod-req000232-1bbbc2b3,diagonal,0.9,330,0.64453125
20,225,down,tfprod-req000232-1bbbc2b3,diagonal,0.95,433,0.845703125
20,225,down,tfprod-req000232-1bbbc2b3,diagonal,0.99,642,1.25390625
20,225,down,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.8,186,0.36328125
20,225,down,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.9,299,0.583984375
20,225,down,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.95,411,0.802734375
20,225,down,tfprod-req000232-1bbbc2b3,exact_marginal_omp,0.99,628,1.2265625
20,225,down,tfprod-req000232-1bbbc2b3,backward_elimination,0.8,185,0.361328125
20,225,down,tfprod-req000232-1bbbc2b3,backward_elimination,0.9,298,0.58203125
20,225,down,tfprod-req000232-1bbbc2b3,backward_elimination,0.95,410,0.80078125
20,225,down,tfprod-req000232-1bbbc2b3,backward_elimination,0.99,629,1.228515625
39,235,gate,tfprod-req000098-00e89186,diagonal,0.8,992,0.484375
39,235,gate,tfprod-req000098-00e89186,diagonal,0.9,1578,0.7705078125
39,235,gate,tfprod-req000098-00e89186,diagonal,0.95,1981,0.96728515625
39,235,gate,tfprod-req000098-00e89186,diagonal,0.99,2826,1.3798828125
39,235,gate,tfprod-req000098-00e89186,exact_marginal_omp,0.8,368,0.1796875
39,235,gate,tfprod-req000098-00e89186,exact_marginal_omp,0.9,604,0.294921875
39,235,gate,tfprod-req000098-00e89186,exact_marginal_omp,0.95,862,0.4208984375
39,235,gate,tfprod-req000098-00e89186,exact_marginal_omp,0.99,4021,1.96337890625
39,235,gate,tfprod-req000098-00e89186,backward_elimination,0.8,378,0.1845703125
39,235,gate,tfprod-req000098-00e89186,backward_elimination,0.9,577,0.28173828125
39,235,gate,tfprod-req000098-00e89186,backward_elimination,0.95,815,0.39794921875
39,235,gate,tfprod-req000098-00e89186,backward_elimination,0.99,1657,0.80908203125
39,235,up,tfprod-req000098-00e89186,diagonal,0.8,1022,0.4990234375
39,235,up,tfprod-req000098-00e89186,diagonal,0.9,1536,0.75
39,235,up,tfprod-req000098-00e89186,diagonal,0.95,2035,0.99365234375
39,235,up,tfprod-req000098-00e89186,diagonal,0.99,2865,1.39892578125
39,235,up,tfprod-req000098-00e89186,exact_marginal_omp,0.8,281,0.13720703125
39,235,up,tfprod-req000098-00e89186,exact_marginal_omp,0.9,446,0.2177734375
39,235,up,tfprod-req000098-00e89186,exact_marginal_omp,0.95,641,0.31298828125
39,235,up,tfprod-req000098-00e89186,exact_marginal_omp,0.99,4019,1.96240234375
39,235,up,tfprod-req000098-00e89186,backward_elimination,0.8,319,0.15576171875
39,235,up,tfprod-req000098-00e89186,backward_elimination,0.9,517,0.25244140625
39,235,up,tfprod-req000098-00e89186,backward_elimination,0.95,780,0.380859375
39,235,up,tfprod-req000098-00e89186,backward_elimination,0.99,1525,0.74462890625
39,235,down,tfprod-req000098-00e89186,diagonal,0.8,199,0.388671875
39,235,down,tfprod-req000098-00e89186,diagonal,0.9,333,0.650390625
39,235,down,tfprod-req000098-00e89186,diagonal,0.95,440,0.859375
39,235,down,tfprod-req000098-00e89186,diagonal,0.99,650,1.26953125
39,235,down,tfprod-req000098-00e89186,exact_marginal_omp,0.8,169,0.330078125
39,235,down,tfprod-req000098-00e89186,exact_marginal_omp,0.9,298,0.58203125
39,235,down,tfprod-req000098-00e89186,exact_marginal_omp,0.95,414,0.80859375
39,235,down,tfprod-req000098-00e89186,exact_marginal_omp,0.99,635,1.240234375
39,235,down,tfprod-req000098-00e89186,backward_elimination,0.8,168,0.328125
39,235,down,tfprod-req000098-00e89186,backward_elimination,0.9,287,0.560546875
39,235,down,tfprod-req000098-00e89186,backward_elimination,0.95,410,0.80078125
39,235,down,tfprod-req000098-00e89186,backward_elimination,0.99,633,1.236328125
