factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,overall_average_bpw,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median,continuation_eligible,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,additive_recovery_p10,additive_recovery_median,additive_recovery_p90,additive_recovery_mean,actual_total_bpw_p10,actual_total_bpw_median,actual_total_bpw_p90,actual_total_bpw_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,selector_runtime_ms_mean,actual_correction_pages_p10,actual_correction_pages_median,actual_correction_pages_p90,actual_correction_pages_mean
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,128,0.9987284342447916,33625088,50315264,2436.5,304.0,False,0.995188782810916,0.9986738882500266,0.9999914951265946,0.9980053420910706,0.9952053664072038,0.9984251524140461,0.9999899614155175,0.9978967783700956,0.997052001953125,0.9982401529947916,0.9987284342447916,0.9979985555013021,8.260610507249135e-05,0.0012292605891514596,0.004190743801864848,0.0016472212145438184,53144.29430551827,67932.65270907432,69337.31333333999,64380.01898812945,727.7125,728.625,729.0,728.439453125
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,128,0.9987284342447916,33625088,50315264,2436.5,304.0,True,0.9951385996417649,0.9986476183499895,0.9999914255332703,0.9979740836458397,0.9952524643562203,0.9984401532374585,0.9999900162760779,0.9979147727727249,0.997100830078125,0.9982401529947916,0.9987284342447916,0.9980608622233074,8.221970019716141e-05,0.0011669362383035509,0.004186706938201334,0.0016159627693130077,52955.21283801645,67735.92656478286,69171.60083111376,64237.082008083235,727.75,728.625,729.0,728.4873046875
exact_proxy_rank4_fp32,uniform_per_expert,729,729,128,0.9987284342447916,33625088,50315264,2436.5,304.0,True,0.9927703115852672,0.9968343747509334,0.9998902400831284,0.9963581208765266,0.9920655224223566,0.9964499298451914,0.9998698880976238,0.9962368044527486,0.996612548828125,0.9987284342447916,0.9987284342447916,0.9974479675292967,0.0,0.0,0.0,0.0,52937.8056505695,67715.52482247353,69152.45025176555,64217.085318567115,727.375,729.0,729.0,728.0166015625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,128,0.5234781901041666,51343360,50315264,2447.0,304.0,False,0.9452299777020666,0.9789945502271202,0.9979231399233771,0.9761137333410097,0.9503865570264225,0.9775247881568876,0.9973488681945197,0.9759232562392082,0.5216878255208334,0.5228271484375,0.5234781901041666,0.5227063496907551,-0.0008738038666742608,0.0018343509512423473,0.0070873028005580254,0.001029047774567928,52491.54780935496,68112.55091708153,69287.63396330178,64629.83715857263,382.625,383.5,384.0,383.4072265625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,384,1536,128,0.5234781901041666,51343360,50315264,2447.0,304.0,False,0.9677916550986259,0.9901747010559201,0.9988238600388306,0.9857461812471171,0.96741237175311,0.9888013576951546,0.9983711277833338,0.985287018225345,0.5211507161458333,0.5228271484375,0.5234781901041666,0.5225232442220052,0.001299037035180628,0.007184310486658685,0.025013562449910782,0.010661495680675377,52537.34853900969,68185.84964238107,69349.31340496987,64699.47445829166,382.2125,383.5,384.0,383.2666015625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,768,128,0.5234781901041666,51343360,50315264,2447.0,304.0,True,0.9674414703941856,0.9898850656296365,0.9987809306776827,0.9853897791025849,0.967632881777639,0.988558543410762,0.9983762649032706,0.9852005106051703,0.5211995442708334,0.5228271484375,0.5234781901041666,0.5225931803385416,0.0012839491886259436,0.0068913385577375474,0.02498380535181614,0.010305093536143096,52488.49125429988,68108.58069173992,69284.54783093184,64626.22257383191,382.25,383.5,384.0,383.3203125
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1152,128,0.5234781901041666,51343360,50315264,2447.0,304.0,True,0.9674414703941856,0.990112640620156,0.9988066984774515,0.9855306158556132,0.967632881777639,0.9887242440171435,0.9983762649032706,0.9853620952429393,0.5211995442708334,0.5228271484375,0.5233642578125,0.52252197265625,0.0012839491886259436,0.006927406659308355,0.02440527561063887,0.01044593028917146,52489.93925601244,68110.24952773005,69284.88637525588,64627.681695783394,382.25,383.5,383.9125,383.265625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1536,128,0.5234781901041666,51343360,50315264,2447.0,304.0,True,0.9674414703941856,0.990112640620156,0.9988066984774515,0.985530264835063,0.967632881777639,0.9887242440171435,0.9983762649032706,0.9853620611678169,0.5211995442708334,0.5228271484375,0.5234781901041666,0.5225257873535156,0.0012839491886259436,0.006927406659308355,0.02440527561063887,0.010445579268621337,52489.98540751636,68112.36236710101,69287.31860090047,64629.7699619754,382.25,383.5,384.0,383.2685546875
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,384,384,128,0.5234781901041666,51343360,50315264,2447.0,304.0,True,0.951754168146327,0.9782293770486596,0.9969803352786494,0.9750846855664417,0.9491359581163515,0.9763365698093357,0.9959804716371989,0.9744922170173647,0.5214762369791667,0.5234781901041666,0.5234781901041666,0.5229606628417969,0.0,0.0,0.0,0.0,52477.567921578884,68099.65455252677,69274.84198193997,64616.367990660365,382.4625,384.0,384.0,383.6025390625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,128,0.7734781901041666,51343360,50315264,2447.0,304.0,False,0.9813075434058405,0.9925435514255101,0.9997511836038943,0.9914653812747531,0.9827887404057126,0.99201008212077,0.9997056524403948,0.9913903965018502,0.7721272786458333,0.7729899088541666,0.7734781901041666,0.7728767395019531,-0.00037837255966590707,0.0006280767623361716,0.003358762622616384,0.0004454573202736147,52495.27573361993,68116.33095238358,69295.04348821938,64634.25749979797,574.9625,575.625,576.0,575.5380859375
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,576,1536,128,0.7734781901041666,51343360,50315264,2447.0,304.0,False,0.9883290385528086,0.9966592597052897,0.9998743175372907,0.9950398626548742,0.9880937965014795,0.99614096942927,0.9998377022296246,0.9948261583405791,0.7713134765625,0.7728271484375,0.7734781901041666,0.7726058959960938,0.0003216191618869879,0.0028563236770931533,0.009565789753991326,0.004019938700394696,52609.48018543422,68221.22587170452,69445.23091241717,64741.789637031616,574.3375,575.5,576.0,575.330078125
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,768,128,0.7734781901041666,51343360,50315264,2447.0,304.0,True,0.9877950869548724,0.9955716216800832,0.9998353450776967,0.994445346380946,0.9878407128596122,0.9952056410244283,0.9997775469229491,0.9942873257704845,0.7718505859375,0.7731526692708334,0.7734781901041666,0.7728602091471353,0.00029100339674865695,0.0025762717564035142,0.007821940888535273,0.003425422426466461,52490.32089728862,68110.53344979882,69284.66972522438,64627.675697091036,574.75,575.75,576.0,575.525390625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,128,0.7734781901041666,51343360,50315264,2447.0,304.0,True,0.9882988039018868,0.996582716385286,0.9998734822317376,0.9949706753106715,0.9882097663621024,0.99614096942927,0.9998382397849113,0.9948533364642698,0.7720133463541666,0.7729899088541666,0.7734781901041666,0.7728258768717448,0.0003119130953663785,0.0027266677462865485,0.009523528469078313,0.003950751356191991,52492.988922819495,68114.57148846239,69287.49084491283,64630.44889479352,574.875,575.625,576.0,575.4990234375
