factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,3,32,772.78125,768.0,614.1,922.6,0.9999716877500016,0.9997664035202374
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,4,32,728.53125,733.0,576.0,861.9,0.9999272204070151,0.9998185363005588
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,5,32,701.3125,678.0,576.0,881.8000000000001,0.9998969111489354,0.9995048585954414
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,6,32,709.5625,717.5,516.9,935.8000000000001,0.9998567210219549,0.9993944646079251
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,7,32,659.34375,653.0,479.0,842.2,0.9997715469917144,0.9987181767653391
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,8,32,639.8125,577.5,451.4,904.2,0.9996459626046852,0.9983174506124642
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,1,32,1079.875,1085.0,961.2,1166.3,0.9995087079414648,0.9987512820205142
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,2,32,997.25,991.5,904.6,1106.7,0.9990846355548875,0.9973317071973702
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,3,32,848.21875,874.0,749.0,931.7,0.9974945937401778,0.992208375561202
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,4,32,760.03125,751.0,676.1,857.4,0.9950781360201251,0.9876008194628827
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,5,32,685.53125,711.5,576.0,768.0,0.9898149790236263,0.9747695839495811
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,6,32,576.34375,576.0,453.1,747.0,0.9855768340687678,0.9700497268492395
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,7,32,483.15625,479.0,384.0,584.3000000000001,0.9704472288737617,0.9416549760552969
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,8,32,397.0625,384.0,261.5,541.3000000000001,0.9553165119742163,0.9105889111108021
