policy,projection,budget_bpw,transition,actions,fraction
ordered_a,down,1.25,base_to_a,19412,0.5735559166789777
ordered_a,down,1.25,q3_to_exact_via_b,14433,0.4264440833210223
ordered_a,down,1.5,base_to_a,22674,0.5536861126712412
ordered_a,down,1.5,q3_to_exact_via_b,18277,0.44631388732875876
ordered_a,down,2.0,base_to_a,31803,0.5000628950595931
ordered_a,down,2.0,q3_to_exact_via_b,31795,0.49993710494040694
ordered_a,gate,0.25,base_to_a,21229,0.6584677419354839
ordered_a,gate,0.25,q3_to_exact_via_b,11011,0.34153225806451615
ordered_a,gate,0.5,base_to_a,41142,0.6136841634223833
ordered_a,gate,0.5,q3_to_exact_via_b,25899,0.3863158365776167
ordered_a,gate,0.75,base_to_a,66266,0.5832761200598539
ordered_a,gate,0.75,q3_to_exact_via_b,47344,0.4167238799401461
ordered_a,gate,1.0,base_to_a,93975,0.5598715527461856
ordered_a,gate,1.0,q3_to_exact_via_b,73876,0.4401284472538144
ordered_a,gate,1.25,base_to_a,117183,0.5400860022768019
ordered_a,gate,1.25,q3_to_exact_via_b,99788,0.459913997723198
ordered_a,gate,1.5,base_to_a,129624,0.5244559170412568
ordered_a,gate,1.5,q3_to_exact_via_b,117535,0.4755440829587432
ordered_a,gate,2.0,base_to_a,143274,0.5
ordered_a,gate,2.0,q3_to_exact_via_b,143274,0.5
ordered_a,up,0.25,base_to_a,26308,0.8290945762818694
ordered_a,up,0.25,q3_to_exact_via_b,5423,0.17090542371813053
ordered_a,up,0.5,base_to_a,56161,0.7839116719242902
ordered_a,up,0.5,q3_to_exact_via_b,15481,0.21608832807570977
ordered_a,up,0.75,base_to_a,80611,0.7431366041632096
ordered_a,up,0.75,q3_to_exact_via_b,27863,0.2568633958367904
ordered_a,up,1.0,base_to_a,98571,0.6929517462459929
ordered_a,up,1.0,q3_to_exact_via_b,43677,0.30704825375400707
ordered_a,up,1.25,base_to_a,118438,0.6429684319101001
ordered_a,up,1.25,q3_to_exact_via_b,65767,0.35703156808989983
ordered_a,up,1.5,base_to_a,134310,0.5769007744412898
ordered_a,up,1.5,q3_to_exact_via_b,98503,0.4230992255587102
ordered_a,up,2.0,base_to_a,143274,0.5
ordered_a,up,2.0,q3_to_exact_via_b,143274,0.5
parity_abq,down,0.25,base_to_a,7115,0.6666354352103439
parity_abq,down,0.25,base_to_a+b,440,0.041225522346107
parity_abq,down,0.25,base_to_b,3,0.000281083106905275
parity_abq,down,0.25,q3_to_exact_via_a,3,0.000281083106905275
parity_abq,down,0.25,q3_to_exact_via_b,3112,0.2915768762297386
parity_abq,down,0.5,base_to_a,10703,0.6093367492171933
parity_abq,down,0.5,base_to_a+b,825,0.04696840307429547
parity_abq,down,0.5,base_to_b,8,0.00045545118132650156
parity_abq,down,0.5,q3_to_exact_via_a,8,0.00045545118132650156
parity_abq,down,0.5,q3_to_exact_via_b,6021,0.34278394534585827
parity_abq,down,0.75,base_to_a,14035,0.580078528621616
parity_abq,down,0.75,base_to_a+b,1206,0.049845009299442036
parity_abq,down,0.75,base_to_b,11,0.00045463938830336847
parity_abq,down,0.75,q3_to_exact_via_a,9,0.0003719776813391197
parity_abq,down,0.75,q3_to_exact_via_b,8934,0.3692498450092994
parity_abq,down,1.0,base_to_a,16780,0.5614481212567337
parity_abq,down,1.0,base_to_a+b,1526,0.05105898885803192
parity_abq,down,1.0,base_to_b,19,0.0006357279084551812
parity_abq,down,1.0,q3_to_exact_via_a,17,0.0005688091812493726
parity_abq,down,1.0,q3_to_exact_via_b,11545,0.3862883527955298
parity_abq,down,1.25,base_to_a,17741,0.551991288114499
parity_abq,down,1.25,base_to_a+b,1714,0.05332918481642813
parity_abq,down,1.25,base_to_b,31,0.0009645301804604853
parity_abq,down,1.25,q3_to_exact_via_a,27,0.0008400746733042937
parity_abq,down,1.25,q3_to_exact_via_b,12627,0.392874922215308
parity_abq,down,1.5,base_to_a,20419,0.5290855854688674
parity_abq,down,1.5,base_to_a+b,2169,0.05620190189930817
parity_abq,down,1.5,base_to_b,37,0.0009587230844971886
parity_abq,down,1.5,q3_to_exact_via_a,33,0.0008550773456326276
parity_abq,down,1.5,q3_to_exact_via_b,15935,0.4128987122016946
parity_abq,down,2.0,base_to_a,28044,0.4672131147540984
parity_abq,down,2.0,base_to_a+b,3818,0.06360789017726243
parity_abq,down,2.0,base_to_b,59,0.0009829401572704253
parity_abq,down,2.0,q3_to_exact_via_a,59,0.0009829401572704253
parity_abq,down,2.0,q3_to_exact_via_b,28044,0.4672131147540984
parity_abq,gate,0.25,base_to_a,19893,0.6516953316953317
parity_abq,gate,0.25,base_to_a+b,190,0.0062244062244062245
