comparison,left,right,group,budget_bpw,invocations,p10_difference,median_difference,p90_difference,mean_difference,fraction_improved,fraction_worsened,median_ci_low,median_ci_high
direct AB with A-first,ordered_direct,ordered,layer 0,2.0,16,0.0,1.4649473855266049e-05,0.0003419989233157672,0.0017627321757950135,0.8125,0.0,5.964742866293449e-08,3.228164880431095e-05
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,0.25,54,-0.010369068331720887,0.0,0.007116963051061454,-0.0014723743454981718,0.2222222222222222,0.25925925925925924,0.0,0.0
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,0.5,54,-0.005112780064896049,0.0,0.004071269127923006,-0.0005824207888582495,0.37037037037037035,0.2962962962962963,0.0,0.0
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,0.75,54,-0.004160116520761625,0.0,0.0049659589609881375,0.00021952675989430462,0.42592592592592593,0.35185185185185186,-8.819905752915913e-05,0.0006606511570761107
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,1.0,54,-0.003923547778168134,0.0001915403816806771,0.004675636781091621,0.0012220905488588131,0.5185185185185185,0.35185185185185186,0.0,0.0007400944755021621
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,1.25,54,-0.0025687142942010465,8.894164624928536e-05,0.003432969721853042,0.0006378936498943487,0.5,0.42592592592592593,-3.9605155641608825e-05,0.0008501526217553068
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,1.5,54,-0.0014030332585047156,0.0001747733838989851,0.0019537629733565433,0.0004454170554391424,0.5370370370370371,0.4074074074074074,-3.330923547084641e-05,0.0003643314258234831
direct AB with A-first,ordered_direct,ordered,layers 4/20/39,2.0,54,0.0,8.812224591281392e-05,0.0013872686623007558,0.00046306915270469777,0.8333333333333334,0.0,1.5425671383684225e-05,0.0003018669116086614
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,0.25,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,0.5,70,0.0,0.0,0.0,-2.1739589954851623e-05,0.0,0.014285714285714285,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,0.75,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,1.0,70,0.0,0.0,0.0,-2.3847318610181746e-05,0.0,0.014285714285714285,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,1.25,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,1.5,70,0.0,0.0,0.0,-9.728689723325397e-06,0.0,0.014285714285714285,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,all four layers,2.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,0.5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,0.75,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,1.25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,1.5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layer 0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,0.25,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,0.5,54,0.0,0.0,0.0,-2.8180949941474326e-05,0.0,0.018518518518518517,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,0.75,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,1.0,54,0.0,0.0,0.0,-3.0913190790976334e-05,0.0,0.018518518518518517,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,1.25,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,1.5,54,0.0,0.0,0.0,-1.261126445616255e-05,0.0,0.018518518518518517,0.0,0.0
B-first after enabling direct AB,bidirectional,ordered_direct,layers 4/20/39,2.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,0.25,70,-0.00635441900607444,0.0,0.007440304659951903,0.0002732907333625047,0.2,0.2,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,0.5,70,-0.004438543016460017,0.0,0.004262700091390671,0.0006240603582948581,0.34285714285714286,0.22857142857142856,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,0.75,70,-0.004228626488194586,0.0,0.0059845551780125855,0.0007088725838185936,0.44285714285714284,0.3,0.0,0.0005592636056916955
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,1.0,70,-0.0028344074267144907,0.0001915403816806771,0.004951409535864461,0.0013407354855549559,0.5428571428571428,0.3,0.0,0.000898507615417099
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,1.25,70,-0.002412410980407331,0.0,0.00326722192167791,0.0007865174424682899,0.4714285714285714,0.4,0.0,0.0007924492791713256
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,1.5,70,-0.0012572681991992352,0.0,0.001907963439153471,0.0006805034241962723,0.4714285714285714,0.4,0.0,0.0005012819131665069
