capture_source,evaluation_split,request_id,sequence_id,position,layer,projection,expert_id,expert_stratum,router_rank,router_coefficient,selector,action_count,logical_bpw_projection,jaccard_with_exact
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,1024,0.5,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,1536,0.75,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,2048,1.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,2560,1.25,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,3072,1.5,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,3584,1.75,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,exact_marginal_fixed_greedy,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,512,0.25,0.1623155505107832
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,1024,0.5,0.1623155505107832
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,1536,0.75,0.177462629359908
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,2048,1.0,0.2657601977750309
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,2560,1.25,0.42618384401114207
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,3072,1.5,0.5904737250841315
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,3584,1.75,0.75
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,4,0,gate,62,hot,5,0.0753554031252861,backward_elimination,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,512,0.25,0.1920838183934808
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,1024,0.5,0.17498565691336776
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,1536,0.75,0.1662870159453303
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,2048,1.0,0.17229536348025187
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,2560,1.25,0.2864321608040201
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,3072,1.5,0.5007327796775769
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,3584,1.75,0.75
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,diagonal,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,512,0.25,0.7095158597662772
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,1024,0.5,0.6037588097102584
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,1536,0.75,0.6805251641137856
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,2048,1.0,0.7586947187634178
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,2560,1.25,0.814959234314073
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,3072,1.5,0.8629472407519709
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,3584,1.75,0.9068901303538175
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_16,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,512,0.25,0.7123745819397993
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,1024,0.5,0.5987509758001561
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,1536,0.75,0.686059275521405
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,2048,1.0,0.7624784853700516
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,2560,1.25,0.8181818181818182
