factor_config_id,physical_budget_pages,layer,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,0,0.9467974958011659,0.9943432500992407,0.9978830761348361,0.9983645812163541,0.9999597949214575,1.0010851502939646
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,4,0.8585088454672752,0.8908196649593699,0.9497560239329653,0.9842924629164843,0.9939389595679766,0.9997416459827692
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,20,0.8487065541410669,0.8785094233295332,0.9249276544828515,0.9672013214225484,0.9887147310875277,0.9998242945086049
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,39,0.9137338470028769,0.9536709459548278,0.9834288925929643,0.9900756349994024,0.9967125832075465,0.9999889550512439
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,0,0.9786374965536208,0.9998745396253845,0.9999748730588214,0.9996751450648204,0.9999999917068417,1.0001482062405784
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,4,0.9208910455499207,0.9467459879354544,0.9741034850059171,0.9938339078945017,0.9980163037268739,1.0047855609293894
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,20,0.9105625208109709,0.9372970908666275,0.9585642187042029,0.9914629923033212,0.9980981021117543,1.0051924817706246
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,39,0.9559336493895697,0.9759027796081653,0.9933427948081348,0.9961924676066316,0.9987984904548763,1.0024268014722182
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,0,0.9930722881438409,1.0,1.0,0.9998240978088533,1.0,1.0
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,4,0.9619744275943107,0.9754794686095715,0.9887852307212093,0.9979522859977265,0.9997592597802909,1.001947334359382
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,20,0.9558730457135443,0.969205080680795,0.9785368057214643,0.9989892533439441,1.0009674779222157,1.0046247720464585
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,39,0.9775426225321163,0.9895031120304738,0.9973530406855469,0.9994420174662856,0.9999598863195273,1.0017860914232388
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,0,0.943831334324453,0.9941414260964863,0.9977742685635482,0.9964771262016986,0.9998878689159291,1.0007225998422875
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,4,0.8614054623738278,0.9012563614807049,0.9492968362642566,0.9902733013632881,0.997040670959916,1.0029336782832339
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,20,0.8376819976138555,0.8870184578932774,0.9229051431440155,0.9668508053774147,0.9924011030185261,1.0014927134842446
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,39,0.9179610275191251,0.956695459209384,0.9852548943739755,0.9934511221046702,0.9982948641539747,1.0007088278768759
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,0,0.9779984715357617,0.9998970977899585,0.9999782259382072,0.9999919562232642,1.0000059935587682,1.00057509436423
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,4,0.9256293021178905,0.9509460874646564,0.9756872436766141,0.995750050353467,1.0004035918046676,1.0040440027423565
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,20,0.9159728162598746,0.9384535097862666,0.9588867505077109,0.9971306002067865,1.000392575098817,1.0095772932298699
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,39,0.9562394922011717,0.9774339920477481,0.9936565903380766,0.9979437839870864,0.9999070085108434,1.0024759355024389
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,0,0.993272913093456,1.0,1.0,0.9999893540764397,1.0,1.0000177267699535
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,4,0.9630513904291006,0.9781312513892159,0.9885979075723325,0.998269084236395,1.0002564303320802,1.0031961508600649
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,20,0.957347646186062,0.9711374329891038,0.9797527700129061,0.9998932570789343,1.0022103476721775,1.0051051441818093
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,39,0.9781845539162726,0.9900305709794698,0.9974901009111299,0.9991955829812154,1.0001387311769716,1.0036849630898979
