factor_config_id,physical_budget_pages,solver,factor_family,tail_rank,exact_rank,total_rank,encoding,hadamard_rotated,geometry_ceiling,factor_payload_bytes,combined_metadata_bpw,selector_compute_macs_max,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90,gap_p10,gap_median,gap_p90,geometry_gate_pass,compute_gate_pass,metadata_gate_pass
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,7279304,0.8542988068391354,0.9258280495675683,0.9943967930869809,0.9748770329158299,0.9936002270543469,1.0000154977866662,-0.022182347245639833,-0.005840773380473396,1.5398537354727308e-05,False,False,True
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,7287496,0.9232410094187865,0.9600533911612658,0.9990596020054147,0.9938339078945017,0.9990126792042011,1.0045598381673848,-0.005719119269778548,-0.0009507936152567398,0.004411505571685948,True,False,True
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,7148320,0.961172249354956,0.9788848514729176,0.9998280773645484,0.9985347463117915,1.0,1.0023731296531435,-0.0014120877619314906,0.0,0.0022647851689111768,True,False,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,35978432,0.8530629998262126,0.9273579458567469,0.9943145267401674,0.9754122864914591,0.9962042841803755,1.0008067985237794,-0.020953862740610216,-0.003710224602269774,0.0007867585148064304,True,False,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,35718320,0.9251064608021087,0.9614792969812916,0.9990060357360516,0.9964418836531329,1.0000006720376133,1.0059753724177904,-0.003410543322447701,6.720245070424014e-07,0.005708933027319652,True,False,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,35393400,0.9623698192198475,0.9815408394056168,0.9998965784234388,0.9994414142018438,1.0002194927093706,1.004082677287715,-0.000543199695754337,0.00021739564281320067,0.003976541635039488,True,False,True
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,384,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,64666824,0.8569875157403716,0.9262512532226945,0.9946918119815378,0.9698370620402104,0.9954129250454445,1.0002541204820443,-0.027064022335464167,-0.004344731014054415,0.00025087115170405823,False,False,False
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,576,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,64707784,0.9256291052251332,0.9629025112156052,0.9990478384796114,0.997534933908183,1.0001758032297159,1.0066161809444563,-0.0023332129871198814,0.0001679442990165647,0.00633266159761523,True,False,False
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,768,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,64912584,0.9626682676049125,0.9815955984048443,0.9998374042186912,0.9996928634465191,1.0004329265712393,1.0041785353620765,-0.0003044676669358146,0.0004295422014983785,0.004035847308830621,True,False,False
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,4,4,8,fp32,False,True,32768,0.09117635091145833,14422800,0.8532976788091475,0.9242752500439068,0.9948427882672191,0.9733299098482022,0.9943504526590262,1.0004453611650665,-0.023168412765554168,-0.005324031494118531,0.000438538064013816,False,False,True
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,4,4,8,fp32,False,True,32768,0.09117635091145833,14474080,0.9257260080126292,0.9597810489563426,0.9990383738712594,0.9958434129202628,0.9999926587478742,1.0050399043906486,-0.003831274144146657,-7.189234558446778e-06,0.0048386778202249795,True,False,True
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,768,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,4,4,8,fp32,False,True,32768,0.09117635091145833,14162688,0.9621458677491374,0.9813666209580483,0.9998213079217747,0.9989398617651346,1.0001836772699744,1.0031197879202027,-0.0010411816567179155,0.00018308688447066235,0.0030505430083659587,True,False,True
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,384,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,8,4,12,fp32,False,True,49152,0.132843017578125,21668128,0.8453088333866406,0.925752842125778,0.9944180530024159,0.9727571759491154,0.9946764518405212,1.0001205154932207,-0.02407156610568544,-0.005120553868083855,0.00011732752579880515,False,False,True
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,576,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,8,4,12,fp32,False,True,49152,0.132843017578125,21635176,0.9265983182174936,0.9599324587577093,0.9990318596293127,0.996592608660946,0.999985645958355,1.0055208096048747,-0.0032025890179784074,-1.4326862272318053e-05,0.005176339688737232,True,False,True
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,768,four_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,8,4,12,fp32,False,True,49152,0.132843017578125,21380584,0.96070385750739,0.9803436820102439,0.9998004219979697,0.9985943637843848,1.0,1.0030905754530577,-0.0013679721535940102,0.0,0.0030138128747703844,True,False,True
joint_eigh_tail16_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,fp32,False,True,65536,0.17450968424479166,28888960,0.8441528945759507,0.9257383683519825,0.9951123607880756,0.9674910603890207,0.9957750266616743,1.0002588478053123,-0.029345584444514294,-0.004001759918561443,0.0002530856421367977,False,False,True
joint_eigh_tail16_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,fp32,False,True,65536,0.17450968424479166,28825280,0.9243176207487739,0.9616725718229783,0.9990417167988959,0.9957551948616702,0.9999665758377657,1.0048759491669579,-0.004130636695866152,-3.316123751739841e-05,0.004450151590388196,True,False,True
joint_eigh_tail16_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,fp32,False,True,65536,0.17450968424479166,28516032,0.9617455589947709,0.9803660680930679,0.9998278507487972,0.9991773130033431,1.000148238562325,1.004139227303673,-0.0008024733406279959,0.00014595072841172563,0.004044502868713118,True,False,True
joint_eigh_tail16_exact0_int4_per_row,384,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,False,False,10244,0.033894856770833336,28636256,0.8411619862009648,0.9294114738235129,0.9952955520237654,0.9732113866720264,1.000072633428753,1.0107830891111749,-0.023937612498896275,6.879606583432007e-05,0.00939075080469516,True,False,True
joint_eigh_tail16_exact0_int4_per_row,576,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,False,False,10244,0.033894856770833336,28747680,0.9219166598857021,0.9646586517320516,0.9993003508274735,0.9928929718518167,1.00020988631109,1.0093868247138325,-0.006724175284377898,0.0002096672581592962,0.009028240905107105,True,False,True
joint_eigh_tail16_exact0_int4_per_row,768,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,False,False,10244,0.033894856770833336,28240224,0.9630153133649793,0.9843876941671784,0.9998875939258749,0.9982059349466166,1.0002145512855831,1.0071747095092014,-0.0017420277911296856,0.00021380738112208864,0.007012782224033611,True,False,True
