factor_config_id,physical_budget_pages,solver,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90,selector_compute_macs_max
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,compressed_residual_forward,0.8263566604051835,0.8898515221439556,0.9564707879250314,0.9246667899478421,0.9687007308903682,0.9880049923040489,23442624
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,continuous_relaxation_round,0.11368331964876617,0.41381764159746204,0.7528096568678139,0.11744797783092954,0.44295992745800644,0.7713041456688167,10614784
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,four_seed_coordinate,0.8438261767684,0.9151775725559662,0.9907359969545602,0.967095227041475,0.9838118269690076,0.9970541984001715,34488512
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,four_seed_coordinate_plus_local_repair,0.8530629998262126,0.9273579458567469,0.9943145267401674,0.9754122864914591,0.9962042841803755,1.0008067985237794,35978432
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,two_seed_coordinate_plus_local_repair,0.8614312544491484,0.9273579458567469,0.9943145267401674,0.9858089670918824,0.9964917004860656,1.0012685965288333,1974272
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,compressed_residual_forward,0.874704156406506,0.9231157230847713,0.9618592557705243,0.9191478820642188,0.9636919108569296,0.9914966433346799,23442624
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,continuous_relaxation_round,0.11368331964876617,0.41381764159746204,0.7528096568678139,0.11532698616439677,0.42991011481802016,0.7610548703715972,10614784
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,four_seed_coordinate,0.9110035619014965,0.9542787642992876,0.9986815729114008,0.9819135703050665,0.9935178641700242,0.9996395114194464,34586816
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,four_seed_coordinate_plus_local_repair,0.9251064608021087,0.9614792969812916,0.9990060357360516,0.9964418836531329,1.0000006720376133,1.0059753724177904,35718320
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,two_seed_coordinate_plus_local_repair,0.9256293021178905,0.9617678442182963,0.9990060357360516,0.9971384635376562,1.0000060493126617,1.0063777630532034,1974272
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,compressed_residual_forward,0.899761359262358,0.9356828266636502,0.9694354597087619,0.9155413711987362,0.9569282855849564,0.9890617258935305,23442624
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,continuous_relaxation_round,0.11368331964876617,0.41381764159746204,0.7528096568678139,0.1144540838494452,0.42169955539742665,0.7554806746685367,10614784
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,four_seed_coordinate,0.951011003901879,0.975495596736798,0.9997351076214813,0.9905453933573583,0.9965687932233757,1.0,34488512
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,four_seed_coordinate_plus_local_repair,0.9623698192198475,0.9815408394056168,0.9998965784234388,0.9994414142018438,1.0002194927093706,1.004082677287715,35393400
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,two_seed_coordinate_plus_local_repair,0.9623698192198475,0.9815408394056168,0.9998965784234388,0.9994414142018438,1.0002194927093706,1.004082677287715,1974272
joint_eigh_tail16_exact0_fp32,384,compressed_residual_forward,0.8200929692587862,0.8831748157526726,0.9599479225868545,0.9039796524801623,0.9656269684148046,0.987190312771952,18801536
joint_eigh_tail16_exact0_fp32,384,continuous_relaxation_round,0.1194563624798297,0.41381764159746204,0.7497958674404814,0.13682429921401923,0.4426183454241307,0.7687387259875305,8493056
joint_eigh_tail16_exact0_fp32,384,four_seed_coordinate,0.8340992200864327,0.9146827725206416,0.9915777368552354,0.958177014887149,0.9815910441778138,0.9975358627124081,27697024
joint_eigh_tail16_exact0_fp32,384,four_seed_coordinate_plus_local_repair,0.8441528945759507,0.9257383683519825,0.9951123607880756,0.9674910603890207,0.9957750266616743,1.0002588478053123,28888960
joint_eigh_tail16_exact0_fp32,384,two_seed_coordinate_plus_local_repair,0.8620074628657558,0.9262635684856907,0.9951123607880756,0.9848283085361833,0.9966419260254243,1.0007792713638335,1594368
joint_eigh_tail16_exact0_fp32,576,compressed_residual_forward,0.8633998835966733,0.9201109692203865,0.9657112886412714,0.9041788590057507,0.9610242629759693,0.989682482059683,18801536
joint_eigh_tail16_exact0_fp32,576,continuous_relaxation_round,0.1194563624798297,0.41381764159746204,0.7497958674404814,0.12792535202268007,0.42991011481802016,0.7582746164149404,8493056
joint_eigh_tail16_exact0_fp32,576,four_seed_coordinate,0.9093910540964124,0.9533449479292636,0.9987025609396054,0.9819163028182814,0.9919322860825041,0.9996623548242606,27778944
joint_eigh_tail16_exact0_fp32,576,four_seed_coordinate_plus_local_repair,0.9243176207487739,0.9616725718229783,0.9990417167988959,0.9957551948616702,0.9999665758377657,1.0048759491669579,28825280
joint_eigh_tail16_exact0_fp32,576,two_seed_coordinate_plus_local_repair,0.9243176207487739,0.9620199234104028,0.9990417167988959,0.9963628974351921,0.9999872823107977,1.0048759491669579,1594368
joint_eigh_tail16_exact0_fp32,768,compressed_residual_forward,0.8881314187125704,0.9391224180193475,0.9687163590256371,0.9012348362260385,0.9542553673356523,0.9891704425332667,18801536
joint_eigh_tail16_exact0_fp32,768,continuous_relaxation_round,0.1194563624798297,0.41381764159746204,0.7497958674404814,0.12366320560774412,0.42169955539742665,0.7528277263786002,8493056
joint_eigh_tail16_exact0_fp32,768,four_seed_coordinate,0.9508082283417612,0.9754625920050486,0.9997377477668736,0.9900847423347725,0.9967584684763149,1.0,27656064
joint_eigh_tail16_exact0_fp32,768,four_seed_coordinate_plus_local_repair,0.9617455589947709,0.9803660680930679,0.9998278507487972,0.9991773130033431,1.000148238562325,1.004139227303673,28516032
joint_eigh_tail16_exact0_fp32,768,two_seed_coordinate_plus_local_repair,0.9619419789481469,0.9803660680930679,0.9998278507487972,0.9994493089897463,1.0001616460000498,1.004139227303673,1594368
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,compressed_residual_forward,0.8012797187495545,0.8797805172766695,0.9707128613975473,0.9110892512695061,0.9591496400721807,0.9813918004064554,18795808
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,continuous_relaxation_round,0.009034995209317484,0.4393543156871519,0.7508300555953596,0.010931663077193416,0.4426183454241307,0.7702045799845912,8493056
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,four_seed_coordinate,0.8271151064965081,0.9121954385691686,0.9907663244074153,0.9532377591719943,0.977383207633898,0.9961690993292485,27691296
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,four_seed_coordinate_plus_local_repair,0.8450200125351198,0.9248040888963628,0.9943760934891268,0.964605175934517,0.9921019928401684,1.0002842595416703,28883232
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,two_seed_coordinate_plus_local_repair,0.8554763282169701,0.9248040888963628,0.9943760934891268,0.9796566827444151,0.9939693131897928,1.0002842595416703,1594368
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,compressed_residual_forward,0.8503918302580842,0.9156189791481235,0.9726038624772766,0.9068782591293865,0.9580381958769724,0.9854273902360379,18795808
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,continuous_relaxation_round,0.009034995209317484,0.4393543156871519,0.7508300555953596,0.010063366836458268,0.43940216443688057,0.7599703912414764,8493056
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,four_seed_coordinate,0.9054168434879071,0.9542388207047943,0.998676309026301,0.9769598139073431,0.9896254083725071,0.9995947871984975,27691296
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,four_seed_coordinate_plus_local_repair,0.9187720187283858,0.9605897532589854,0.9990087878680125,0.9923715450788552,0.99922915216018,1.0037881700971452,28783904
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,two_seed_coordinate_plus_local_repair,0.9201846344934064,0.9605897532589854,0.9990087878680125,0.9934573051674783,0.9993906478546195,1.0037881700971452,1594368
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,compressed_residual_forward,0.8789642246012547,0.9297745413246725,0.9726038624772507,0.9091022680411669,0.955972050938837,0.987852681762164,18795808
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,continuous_relaxation_round,0.009034995209317484,0.4393543156871519,0.7508300555953596,0.009480954085599711,0.4393543156871519,0.7544039344107699,8493056
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,four_seed_coordinate,0.9510446820686392,0.9746606566267997,0.9997765178644321,0.9891565698795752,0.9955725733727362,0.9998941032053229,27588896
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,four_seed_coordinate_plus_local_repair,0.9607787419698672,0.9809538633870089,0.9998859768917663,0.9981703368924248,1.00000447290703,1.0029570844966083,28257536
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,two_seed_coordinate_plus_local_repair,0.9607787419698672,0.9809538633870089,0.9998859768917663,0.998245921272685,1.0000234132206707,1.0029570844966083,1594368
