mean_budget_pages_per_expert,charged_bpw,alpha,route_mode,layers,requests,label_layer_tokens,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
384,0.5234781901041666,0.125,frozen_set_live_weights,7,3,287,0.00024671215185597626,0.6608417882811104,0.8571428571428571,0.01136138172208815,-0.0005808552386606413,0.9994193134250855,0.0005745646238889022,1.0
384,0.5234781901041666,0.125,fully_frozen,7,3,287,0.00024671215185597626,0.6608417882811104,0.8571428571428571,0.011531571035156786,0.0022880966321649344,1.0022907163229182,0.000581373779398804,1.0
384,0.5234781901041666,0.125,live,7,3,287,0.00024671215185597626,0.6608417882811104,0.8571428571428571,0.013692211268324605,0.006606451187749513,1.0066283219225178,0.0016743834614591235,0.9965156794425087
384,0.5234781901041666,0.25,frozen_set_live_weights,7,3,287,0.0006494132854734479,0.5356467756947701,0.8571428571428571,0.011738286634669406,-0.002658709370531553,0.9973448218670222,0.0006219705117673891,1.0
384,0.5234781901041666,0.25,fully_frozen,7,3,287,0.0006494132854734479,0.5356467756947701,0.8571428571428571,0.011196170404301105,-0.0011470231196286102,0.9988536344599461,0.0006089918423438998,1.0
384,0.5234781901041666,0.25,live,7,3,287,0.0006494132854734479,0.5356467756947701,0.8571428571428571,0.011915682426251777,0.004687195584673327,1.0046981976688216,0.001878507499477976,0.9930313588850174
384,0.5234781901041666,0.5,frozen_set_live_weights,7,3,287,0.0020130476412358995,0.43505291556647424,0.8571428571428571,0.01089869337530825,0.0003775205100288375,1.000377591779865,0.000610178513852065,1.0
384,0.5234781901041666,0.5,fully_frozen,7,3,287,0.0020130476412358995,0.43505291556647424,0.8571428571428571,0.010667149861172702,-0.0007882162137023211,0.9992120943470958,0.0005760208965200062,1.0
384,0.5234781901041666,0.5,live,7,3,287,0.0020130476412358995,0.43505291556647424,0.8571428571428571,0.014733240663654976,0.002626007482342663,1.0026294584600945,0.0018842674273189496,0.9965156794425087
384,0.5234781901041666,1.0,frozen_set_live_weights,7,3,287,0.007192988205570541,0.3665126691818407,0.8571428571428571,0.012553686044582565,0.0007983622347538678,1.0007986810107101,0.00070606170396296,1.0
384,0.5234781901041666,1.0,fully_frozen,7,3,287,0.007192988205570541,0.3665126691818407,0.8571428571428571,0.011112597580488081,0.0019116017198789745,1.0019134299952392,0.0006304343702762152,1.0
384,0.5234781901041666,1.0,live,7,3,287,0.007192988205570541,0.3665126691818407,0.8571428571428571,0.0116244931082836,0.0030406415914983665,1.003045269031082,0.002251058331019871,0.9930313588850174
384,0.5234781901041666,2.0,frozen_set_live_weights,7,3,287,0.027793180032952728,0.323931656285946,0.8571428571428571,0.012367875053041254,0.0012945294517938556,1.0012953677167251,0.0009008275215945484,1.0
384,0.5234781901041666,2.0,fully_frozen,7,3,287,0.027793180032952728,0.323931656285946,0.8571428571428571,0.011031948021048043,0.001333208215662395,1.0013340973328178,0.0008125067434231592,1.0
384,0.5234781901041666,2.0,live,7,3,287,0.027793180032952728,0.323931656285946,0.8571428571428571,0.012759594099302286,0.006941080215295313,1.0069652253446713,0.0026096136838852217,1.0
384,0.5234781901041666,4.0,frozen_set_live_weights,7,3,287,0.11035454811291591,0.29995660521991985,0.8571428571428571,0.011885432321015877,0.0013583241294482019,1.0013592470695052,0.001602091886303531,0.9930313588850174
384,0.5234781901041666,4.0,fully_frozen,7,3,287,0.11035454811291591,0.29995660521991985,0.8571428571428571,0.01092156559162797,0.0019259732658919793,1.0019278291436682,0.0014737517940413864,0.9930313588850174
384,0.5234781901041666,4.0,live,7,3,287,0.11035454811291591,0.29995660521991985,0.8571428571428571,0.01456347812278162,0.0016845489518763554,1.0016859686015065,0.0035689353548202275,0.9825783972125436
576,0.7734781901041666,0.125,frozen_set_live_weights,7,3,287,0.00011891281440757171,0.7645430429322804,0.8571428571428571,0.011440723651337992,-0.0024799653108822845,0.997523107262606,0.0006213912947680839,1.0
576,0.7734781901041666,0.125,fully_frozen,7,3,287,0.00011891281440757171,0.7645430429322804,0.8571428571428571,0.010941312949719569,3.678600244783407e-05,1.0000367866790612,0.0005363720518752823,1.0
576,0.7734781901041666,0.125,live,7,3,287,0.00011891281440757171,0.7645430429322804,0.8571428571428571,0.011432472295544678,0.003955147380905678,1.0039629792983664,0.001923469189212152,0.9965156794425087
576,0.7734781901041666,0.25,frozen_set_live_weights,7,3,287,0.00029642536464523323,0.6420242951658193,0.8571428571428571,0.010857377969812591,0.0013746395744828005,1.0013755848245391,0.0005784444412648312,1.0
576,0.7734781901041666,0.25,fully_frozen,7,3,287,0.00029642536464523323,0.6420242951658193,0.8571428571428571,0.011527819660563762,0.0009658282669649267,1.00096629482928,0.0005550295477371285,1.0
576,0.7734781901041666,0.25,live,7,3,287,0.00029642536464523323,0.6420242951658193,0.8571428571428571,0.012182547845036746,0.004808526769985366,1.0048201062875346,0.0016261940995192002,1.0
576,0.7734781901041666,0.5,frozen_set_live_weights,7,3,287,0.0008270159190839994,0.5243491121072461,0.8571428571428571,0.011878720609437475,-0.0010840014395441802,0.9989165858777795,0.0006408293531192268,1.0
576,0.7734781901041666,0.5,fully_frozen,7,3,287,0.0008270159190839994,0.5243491121072461,0.8571428571428571,0.010715653514795365,-0.00020533698400154943,0.9997946840961941,0.000605381422351398,1.0
576,0.7734781901041666,0.5,live,7,3,287,0.0008270159190839994,0.5243491121072461,0.8571428571428571,0.011624085212388096,0.005022312894854062,1.0050349458482883,0.0017571047956292333,0.9965156794425087
576,0.7734781901041666,1.0,frozen_set_live_weights,7,3,287,0.002683322484099862,0.4298188725436308,0.8571428571428571,0.010579924711521051,-0.00021295342553161908,0.9997870692474397,0.0006167921427494298,1.0
576,0.7734781901041666,1.0,fully_frozen,7,3,287,0.002683322484099862,0.4298188725436308,0.8571428571428571,0.010560290971936885,4.609505247679833e-05,1.00004609611487,0.0005621448431418523,1.0
576,0.7734781901041666,1.0,live,7,3,287,0.002683322484099862,0.4298188725436308,0.8571428571428571,0.01321851362757771,0.00042462362374325437,1.0004247137891158,0.0017660164072202274,1.0
576,0.7734781901041666,2.0,frozen_set_live_weights,7,3,287,0.009899145877316025,0.36475353706173774,0.8571428571428571,0.011273877494362962,-0.0020044761599416934,0.9979975314607629,0.0006981455088039947,1.0
576,0.7734781901041666,2.0,fully_frozen,7,3,287,0.009899145877316025,0.36475353706173774,0.8571428571428571,0.011806801985124045,0.0008427553888243729,1.0008431106069273,0.0006215327652065472,1.0
576,0.7734781901041666,2.0,live,7,3,287,0.009899145877316025,0.36475353706173774,0.8571428571428571,0.012759648610232299,0.0017508839560371329,1.001752417648326,0.001911488810717483,0.9930313588850174
576,0.7734781901041666,4.0,frozen_set_live_weights,7,3,287,0.03864795693732712,0.3234486060754699,0.8571428571428571,0.013110095513766056,-0.0040513656122280655,0.995956830097759,0.0009321203874728619,1.0
576,0.7734781901041666,4.0,fully_frozen,7,3,287,0.03864795693732712,0.3234486060754699,0.8571428571428571,0.011905070093077464,0.0018162520193154934,1.0018179024040346,0.0008765445760377292,0.9965156794425087
576,0.7734781901041666,4.0,live,7,3,287,0.03864795693732712,0.3234486060754699,0.8571428571428571,0.014177771231992584,-0.002824063475494486,0.9971799204406026,0.0022096804379693317,1.0
749,0.9987386067708334,0.125,frozen_set_live_weights,7,3,287,6.0328489359809886e-05,0.8469112633785486,0.8571428571428571,0.009868281066967846,-0.003154482321121704,0.9968504878307765,0.0006226211953971105,1.0
749,0.9987386067708334,0.125,fully_frozen,7,3,287,6.0328489359809886e-05,0.8469112633785486,0.8571428571428571,0.01096593284738088,-0.0006036302781762631,0.9993965518699283,0.0005522542292767294,1.0
749,0.9987386067708334,0.125,live,7,3,287,6.0328489359809886e-05,0.8469112633785486,0.8571428571428571,0.013393661291689212,0.0030724057838067195,1.003077130459925,0.0017361640242104315,1.0
749,0.9987386067708334,0.25,frozen_set_live_weights,7,3,287,0.00015112885363435016,0.7397736830802106,0.8571428571428571,0.012548245624439345,-0.0012724998903406535,0.9987283093943369,0.000612338299805929,1.0
749,0.9987386067708334,0.25,fully_frozen,7,3,287,0.00015112885363435016,0.7397736830802106,0.8571428571428571,0.010293581538813063,-0.0009841444625104396,0.9990163396488263,0.0005604908828910133,1.0
749,0.9987386067708334,0.25,live,7,3,287,0.00015112885363435016,0.7397736830802106,0.8571428571428571,0.013862746551929829,0.0010460242299545866,1.0010465715041035,0.0017843788047649531,0.9930313588850174
749,0.9987386067708334,0.5,frozen_set_live_weights,7,3,287,0.00037657851095958603,0.6234875272343415,0.8571428571428571,0.01141653289866486,-0.0007297042929285028,0.9992705618765034,0.0006217004396663854,1.0
749,0.9987386067708334,0.5,fully_frozen,7,3,287,0.00037657851095958603,0.6234875272343415,0.8571428571428571,0.010980021437872427,-0.0022000128031389446,0.997802405451306,0.0005653236284735244,1.0
749,0.9987386067708334,0.5,live,7,3,287,0.00037657851095958603,0.6234875272343415,0.8571428571428571,0.01524132890154887,0.0034501006280436906,1.0034560590756596,0.0016777343391376244,1.0
749,0.9987386067708334,1.0,frozen_set_live_weights,7,3,287,0.0010908034939160385,0.5195056989920808,0.8571428571428571,0.011646271050721708,0.0007265138460131267,1.0007267778211206,0.0006643205658900086,1.0
749,0.9987386067708334,1.0,fully_frozen,7,3,287,0.0010908034939160385,0.5195056989920808,0.8571428571428571,0.011775688426999891,0.0001300827522066162,1.0001300912133346,0.0005846130286386243,1.0
749,0.9987386067708334,1.0,live,7,3,287,0.0010908034939160385,0.5195056989920808,0.8571428571428571,0.014926521181303458,0.0008002239451378207,1.0008005442097412,0.0018837113201021136,0.9965156794425087
749,0.9987386067708334,2.0,frozen_set_live_weights,7,3,287,0.0037185354055019795,0.437258568413294,0.8571428571428571,0.011860086980124102,0.00016857885689577166,1.0001685930671098,0.000670964562992795,1.0
749,0.9987386067708334,2.0,fully_frozen,7,3,287,0.0037185354055019795,0.437258568413294,0.8571428571428571,0.010509134863056149,0.00019671974391171046,1.0001967390945095,0.000600705456054344,1.0
749,0.9987386067708334,2.0,live,7,3,287,0.0037185354055019795,0.437258568413294,0.8571428571428571,0.014423988526069161,-0.0004536731472939527,0.9995464297468076,0.0023405689127946527,1.0
749,0.9987386067708334,4.0,frozen_set_live_weights,7,3,287,0.014025492429398266,0.3779865500392963,0.8571428571428571,0.011680488166418588,-0.0011644800979934233,0.9988361976458573,0.000788851854639057,1.0
749,0.9987386067708334,4.0,fully_frozen,7,3,287,0.014025492429398266,0.3779865500392963,0.8571428571428571,0.010437292078773176,-0.0016777453444212947,0.9983236612835346,0.0007120076535010435,1.0
749,0.9987386067708334,4.0,live,7,3,287,0.014025492429398266,0.3779865500392963,0.8571428571428571,0.013632729951902197,0.0018621447397829149,1.0018638796079904,0.0021037040463349798,1.0
768,1.0234781901041665,0.125,frozen_set_live_weights,7,3,287,5.3301303839103905e-05,0.8558951966875225,0.8571428571428571,0.011205651719630163,-0.0016839405855138749,0.9983174764469228,0.0005996698168995625,1.0
768,1.0234781901041665,0.125,fully_frozen,7,3,287,5.3301303839103905e-05,0.8558951966875225,0.8571428571428571,0.009995317942314633,-0.000681179766004661,0.9993190521842625,0.0005710533526628539,1.0
768,1.0234781901041665,0.125,live,7,3,287,5.3301303839103905e-05,0.8558951966875225,0.8571428571428571,0.012699761948917105,-0.0004367054854762748,0.999563389856485,0.00160297137632579,1.0
768,1.0234781901041665,0.25,frozen_set_live_weights,7,3,287,0.0001323445579405441,0.7498762779811811,0.8571428571428571,0.011187679996931318,-0.002708390017572598,0.997295274361735,0.0006484733911349388,1.0
768,1.0234781901041665,0.25,fully_frozen,7,3,287,0.0001323445579405441,0.7498762779811811,0.8571428571428571,0.011346903310268093,-0.0003803194865257504,0.9996197528257627,0.0006189330362418228,1.0
768,1.0234781901041665,0.25,live,7,3,287,0.0001323445579405441,0.7498762779811811,0.8571428571428571,0.013967951221570598,0.0024582681265447387,1.0024612921450775,0.0020165082492111775,1.0
768,1.0234781901041665,0.5,frozen_set_live_weights,7,3,287,0.00034505669855686757,0.635198486568056,0.8571428571428571,0.011239265163972336,-0.0038877755496925016,0.9961197720653574,0.0005827669067081448,1.0
768,1.0234781901041665,0.5,fully_frozen,7,3,287,0.00034505669855686757,0.635198486568056,0.8571428571428571,0.010266162936457969,0.0010808758585371776,1.0010814602153681,0.000576690634173096,1.0
768,1.0234781901041665,0.5,live,7,3,287,0.00034505669855686757,0.635198486568056,0.8571428571428571,0.014364265118469525,0.0038543491008962336,1.003861786656968,0.0020403020537375634,0.9895470383275261
768,1.0234781901041665,1.0,frozen_set_live_weights,7,3,287,0.0009885870711579155,0.530094490470467,0.8571428571428571,0.012462033024280002,-0.0009762989208978862,0.9990241775038367,0.0005899689332029193,1.0
768,1.0234781901041665,1.0,fully_frozen,7,3,287,0.0009885870711579155,0.530094490470467,0.8571428571428571,0.01107571416955539,-0.0008245576367279157,0.999175782217504,0.0005829886947767768,1.0
768,1.0234781901041665,1.0,live,7,3,287,0.0009885870711579155,0.530094490470467,0.8571428571428571,0.013704917429731104,0.002422720504573734,1.002425657663388,0.001980417349867555,0.9930313588850174
768,1.0234781901041665,2.0,frozen_set_live_weights,7,3,287,0.0033055113169908634,0.4473211373825298,0.8571428571428571,0.012088289249860513,-0.0024446999938996725,0.9975582858514694,0.0005904052333310772,1.0
768,1.0234781901041665,2.0,fully_frozen,7,3,287,0.0033055113169908634,0.4473211373825298,0.8571428571428571,0.012471160733775513,-0.0010040399519085645,0.9989964639275515,0.000616523177911257,1.0
768,1.0234781901041665,2.0,live,7,3,287,0.0033055113169908634,0.4473211373825298,0.8571428571428571,0.012805801052406713,-0.0017149375441939609,0.9982865321209483,0.0020498614150983047,0.9895470383275261
768,1.0234781901041665,4.0,frozen_set_live_weights,7,3,287,0.012463990983418197,0.3870583716830204,0.8571428571428571,0.01114978539833997,-0.0011510005825514414,0.9988496615645508,0.0006619121666048114,1.0
768,1.0234781901041665,4.0,fully_frozen,7,3,287,0.012463990983418197,0.3870583716830204,0.8571428571428571,0.01015303603643353,-0.002084003798216901,0.9979181662299879,0.0006585055015568843,1.0
768,1.0234781901041665,4.0,live,7,3,287,0.012463990983418197,0.3870583716830204,0.8571428571428571,0.01342684232323552,0.0025718962659406004,1.0025752064283318,0.002182348901883649,0.9930313588850174
