injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
post_xplus_fp32_once,live,39,576,0.7734781901041666,1.0,3,44,4.876305823986159e-06,4.42603602866609e-05,1.973100875427014e-05,0.0,0.0,0.0
post_xplus_fp32_once,live,39,749,0.9987386067708334,1.0,3,44,1.7759124036943783e-06,1.6210913850585457e-05,7.215969388760992e-06,0.0,0.0,0.0
post_xplus_fp32_once,live,39,768,1.0234781901041665,1.0,3,44,1.5723395905104549e-06,1.4412683624568231e-05,6.389242548512162e-06,0.0,0.0,0.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.125,3,44,2.2918685733553833e-05,0.0002456134184059679,9.341215575195153e-05,0.0001090621964050677,0.1590909090909091,0.016511129901909213
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.25,3,44,2.2903138523650508e-05,0.0002539154982390308,9.321683333357841e-05,0.00011058316337836305,0.09090909090909091,0.013134531829142038
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.5,3,44,1.8639237422038686e-05,0.0001693522840807638,7.523014877495385e-05,0.00010003414964716093,0.13636363636363635,0.014118562933342897
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,1.0,3,44,2.0665746428217734e-05,0.00020136919134328566,8.33305984812445e-05,0.00010339362174371266,0.18181818181818182,0.019379277302204876
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,2.0,3,44,2.0585662187241642e-05,0.000193225613047528,8.300713697825308e-05,0.00010724508067385844,0.13636363636363635,0.014414922865689996
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,4.0,3,44,2.1400118819640696e-05,0.0002012968131311947,8.618514110932497e-05,0.00010213371257573371,0.09090909090909091,0.010149080210587996
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.125,3,44,1.9701980399779792e-05,0.00019177711248497838,7.94517762590021e-05,0.00010346354245911227,0.1590909090909091,0.017761808953825196
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.25,3,44,1.9540786455122955e-05,0.0001816092759936611,7.932347007008118e-05,0.00010061579595318522,0.11363636363636363,0.012300082093258584
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.5,3,44,2.12184073068949e-05,0.00021164113937646769,8.6275157002968e-05,0.00010832521188804237,0.11363636363636363,0.014902918024443197
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,1.0,3,44,1.9164553986105272e-05,0.0001861788602585487,7.742666891463241e-05,0.00010375165472558916,0.06818181818181818,0.009390506643746237
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,2.0,3,44,2.3447296572695368e-05,0.00024688737412089886,9.543690151926758e-05,0.00011212732085151626,0.09090909090909091,0.012293281913967143
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,4.0,3,44,2.0389419375987927e-05,0.00019184557059314736,8.251907839749616e-05,0.00010943992602917577,0.1590909090909091,0.015705424804650155
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,0.125,3,44,2.0272881037251203e-05,0.00019860528538825518,8.225214922782438e-05,0.00010280952246204408,0.09090909090909091,0.010936323264513647
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,0.25,3,44,2.271033306639419e-05,0.0002492867320590061,9.20622902576097e-05,0.00011232301503154016,0.1590909090909091,0.016090315955205544
