injection_mode,mean_budget_pages_per_expert,charged_bpw,layers,requests,label_layer_tokens,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
post_xplus_bf16_delta,384,0.5234781901041666,7,3,287,0.0069790132561891325,0.35631361768550934,0.8571428571428571,0.013966901284434783,0.006032542881859627,1.006050775312873,0.0020337067950102284,0.9965156794425087
post_xplus_bf16_delta,576,0.7734781901041666,7,3,287,0.00245319995307616,0.41629522796142815,0.8571428571428571,0.013882807037542686,0.0004585367236079178,1.0004586418676416,0.0019425433082935735,1.0
post_xplus_bf16_delta,749,0.9987386067708334,7,3,287,0.0008956650220137343,0.5036521615115545,0.8571428571428571,0.012444398583667084,0.0005500300745253673,1.0005501813688042,0.0018460122240554799,0.9895470383275261
post_xplus_bf16_delta,768,1.0234781901041665,7,3,287,0.0007940995643147447,0.5136409822571516,0.8571428571428571,0.01254096398723167,0.0038119233321610817,1.0038191979524007,0.0018622406335868681,0.9965156794425087
post_xplus_fp32_once,384,0.5234781901041666,7,3,287,0.006979410843630046,0.3561899120256173,0.8571428571428571,0.011531812225759787,0.003239507142105675,1.0032447600160768,0.002276224874437696,0.9965156794425087
post_xplus_fp32_once,576,0.7734781901041666,7,3,287,0.002453311446767798,0.41610502653548814,0.8571428571428571,0.013470694964996354,0.0002595722433711314,1.000259605935161,0.002030412827210745,1.0
post_xplus_fp32_once,749,0.9987386067708334,7,3,287,0.0008962933214890898,0.5034649744905437,0.8571428571428571,0.011859209100903738,0.0033207600051653476,1.0033262798369924,0.0020845201176194384,0.9965156794425087
post_xplus_fp32_once,768,1.0234781901041665,7,3,287,0.0007939056395067413,0.513415587326482,0.8571428571428571,0.012857088598920218,0.004888578829572017,1.0049005474262536,0.0019483940820637904,0.9965156794425087
pre_residual_routed_replacement,384,0.5234781901041666,7,3,287,0.007192988205570541,0.3665126691818407,0.8571428571428571,0.0116244931082836,0.0030406415914983665,1.003045269031082,0.002251058331019871,0.9930313588850174
pre_residual_routed_replacement,576,0.7734781901041666,7,3,287,0.002683322484099862,0.4298188725436308,0.8571428571428571,0.01321851362757771,0.00042462362374325437,1.0004247137891158,0.0017660164072202274,1.0
pre_residual_routed_replacement,749,0.9987386067708334,7,3,287,0.0010908034939160385,0.5195056989920808,0.8571428571428571,0.014926521181303458,0.0008002239451378207,1.0008005442097412,0.0018837113201021136,0.9965156794425087
pre_residual_routed_replacement,768,1.0234781901041665,7,3,287,0.0009885870711579155,0.530094490470467,0.8571428571428571,0.013704917429731104,0.002422720504573734,1.002425657663388,0.001980417349867555,0.9930313588850174
