design,accounting_variant,exact_mxfp4,group_weights,families,table_scope,selector_bits_per_group,selector_groups_per_expert,selector_id_loads_per_weight_est,packed_bit_unpack_events_per_weight_est,table_base_selections_per_weight_est,reconstruction_lut_lookups_per_weight_q2_q3_est,q4_lut_lookups_per_weight_preexpanded_est,extra_address_integer_ops_per_selection_est,extra_fp_ops_per_weight_q2_q3_est,selector_payload_bytes_per_expert,modifier_payload_bytes_per_expert,local_table_bytes_per_expert,format_header_bytes_per_expert,alignment_padding_bytes_per_expert,shared_table_bytes_full_model,metadata_bytes_per_expert_amortized,metadata_bytes_full_model,metadata_bpw_full_model,resident_bytes_per_expert_amortized,resident_bytes_full_model,resident_bpw_full_model,runtime_unique_payload_bytes_per_expert_est,runtime_unique_cold_table_bytes_per_expert_est,resident_only_useful_flop_per_byte_est,one_streamed_bpw_useful_flop_per_byte_est,one_bpw_useful_ai_drop_percent_vs_baseline_est,gemv_fusion_assessment,gb10_latency_claim
baseline,PR4 global projection tables,true,32,1,global_projection,0,0,0,0,0.0000009536743164,1,1,0-1,0,0,0,0,0,0,96,0.009375,96,0.0000000238418579,884736.009375,9059696736,2.250000023841858,0,96,7.111111036,9.846153774,0.0000007336,straightforward projection-constant LUT,no
A,independent functional-vector tables,true,2048,512,expert_projection_vector,0,0,0,0,0.00048828125,1,1,1-2 per vector,0,0,0,49152,0,0,0,49152,503316480,0.125,933888,9563013120,2.375,49152,49152,6.736842105,9.481481481,3.703703704,good for gate/up rows; down needs column table-pointer stream,no
B,B16 G32 layer/projection,true,32,16,layer_projection,4,98304,0.03125,0.03125,0.03125,1,1,3-5 per group,0,49152,0,0,64,0,61440,49222,504033280,0.125178019205729,933958,9563729920,2.375178019205729,49152,1536,6.736337180,9.480981394,3.708782722,native-G32 aligned and strongest fusion candidate,no
C,C8 G32 layer/projection plus vector affine,true,32,8,layer_projection,3,98304,0.03125,0.03125,0.03125,1,1,4-7 per group plus vector pointer,2,36864,12288,0,64,0,30720,49219,504002560,0.125170389811198,933955,9563699200,2.375170389811198,49152,768,6.736358818,9.481002825,3.708565061,feasible but 3-bit extraction and affine FMA complicate fusion,no
D,D4 G16 layer/projection,true,16,4,layer_projection,2,196608,0.0625,0.0625,0.0625,1,1,3-5 per group,0,49152,0,0,64,0,15360,49217.5,503987200,0.125166575113932,933953.5,9563683840,2.375166575113932,49152,384,6.736369637,9.481013540,3.708456230,feasible but two codebook choices per native G32 scale block,no
E,E64 G64 layer/projection with 8-bit selector,true,64,64,layer_projection,8,49152,0.015625,0,0.015625,1,1,2-3 per group,0,49152,0,0,64,0,245760,49240,504217600,0.125223795572917,933976,9563914240,2.375223795572917,49152,6144,6.736207354,9.480852808,3.710088668,direct-byte selector and low cadence; one family spans two G32 scales,no
