factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,overall_average_bpw,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median,continuation_eligible,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,additive_recovery_p10,additive_recovery_median,additive_recovery_p90,additive_recovery_mean,actual_total_bpw_p10,actual_total_bpw_median,actual_total_bpw_p90,actual_total_bpw_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,selector_runtime_ms_mean,actual_correction_pages_p10,actual_correction_pages_median,actual_correction_pages_p90,actual_correction_pages_mean
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,128,0.9987386067708334,39694080,50315264,2823.5,392.0,False,0.995719397176639,0.9988468811074227,0.999994834803535,0.9982592432529933,0.9957622562634177,0.9986176189216208,0.9999930746871989,0.9981531202323357,0.9977620442708334,0.9985758463541666,0.9987386067708334,0.9983749389648438,0.00010312990358218865,0.001472641448986678,0.004672996254504946,0.001858776421979476,61718.56479179114,84187.09236755967,86695.47229036689,79656.95590947871,744.25,744.875,745.0,744.720703125
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,128,0.9987386067708334,33747200,50315264,2438.0,304.0,False,0.9955323902463795,0.9987845059042717,0.9999944530409227,0.9981886229163461,0.9955975568680712,0.9985750650858838,0.9999928878890066,0.9980984182561677,0.9967854817708334,0.9981689453125,0.9987386067708334,0.9979438781738282,0.00010066169001695658,0.001365598465535356,0.004482088896076153,0.0017881560853322959,50829.0088314563,65752.40965746343,67537.0469018817,62639.13054011937,743.5,744.5625,745.0,744.3896484375
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,128,0.9987386067708334,39694080,50315264,2823.5,392.0,True,0.9956621892584715,0.9988186585214535,0.9999947112774269,0.9982279779991496,0.9958145044762229,0.9986331382840521,0.9999930840210144,0.9981748398661674,0.9975992838541666,0.9985758463541666,0.9987386067708334,0.9983456929524739,0.00010070523098782981,0.001397007331202904,0.004558546026957155,0.0018275111681358312,61611.89843341708,83871.90453428775,86382.27699138224,79399.39160554786,744.125,744.875,745.0,744.6982421875
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,128,0.9987386067708334,33747200,50315264,2438.0,304.0,True,0.9954449159995352,0.998775551187792,0.9999943809653751,0.9981576052055239,0.9956220091251428,0.9985771853775536,0.9999928878890066,0.9981064768777271,0.9974365234375,0.9984130859375,0.9987386067708334,0.9982083638509116,0.00010043227037510595,0.0013454979388914379,0.0041216472531853884,0.0017571383745100541,50701.38560831547,65579.96327802539,67381.89683239907,62497.21929979569,744.0,744.75,745.0,744.5927734375
exact_proxy_rank4_fp16,uniform_per_expert,745,745,128,0.9987386067708334,33747200,50315264,2438.0,304.0,True,0.9928313618692041,0.9968213235889192,0.999888062644548,0.9964004668310138,0.9921086898352433,0.9964381923216771,0.999870147041187,0.9962697984957074,0.9762776692708334,0.9788818359375,0.9818603515625,0.9783859252929686,0.0,0.0,0.0,0.0,50683.86874459684,65560.17345190048,67362.46463991702,62477.81615371059,727.75,729.75,732.0375,729.369140625
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,128,0.9987284342447916,39845888,50315264,2825.0,392.0,False,0.9953895557819781,0.998716057040183,0.9999922776151613,0.9980801318443093,0.9953385224212521,0.9984721171707311,0.9999904620316736,0.9979627684104208,0.9977518717447916,0.998565673828125,0.9987284342447916,0.998321533203125,9.223836915479567e-05,0.0013252973274103241,0.00422312558992871,0.0017220109677826955,62244.25759129226,83751.30089186132,86283.51499494165,79397.91132922983,728.25,728.875,729.0,728.6875
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,128,0.9987284342447916,33625088,50315264,2436.5,304.0,False,0.995188782810916,0.9986738882500266,0.9999914951265946,0.9980053420910706,0.9952053664072038,0.9984251524140461,0.9999899614155175,0.9978967783700956,0.997052001953125,0.9982401529947916,0.9987284342447916,0.9979985555013021,8.260610507249135e-05,0.0012292605891514596,0.004190743801864848,0.0016472212145438184,51107.814525440335,65713.02009746432,66781.06380086392,62511.98213970929,727.7125,728.625,729.0,728.439453125
exact_proxy_rank4_fp32,pooled_router_square_column_generated,729,1536,128,0.9987284342447916,39845888,50315264,2825.0,392.0,True,0.9953191717312339,0.9986779003159076,0.9999920235343536,0.998044093863473,0.9953682674877579,0.9984950705010756,0.9999905958356463,0.9979831278409781,0.9977518717447916,0.998565673828125,0.9987284342447916,0.9984219868977864,8.473353710786169e-05,0.001283380058286987,0.004188230184376417,0.001685972986946305,61981.15877639502,83512.24397867918,86009.12585891783,79150.58710308222,728.25,728.875,729.0,728.7646484375
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,128,0.9987284342447916,33625088,50315264,2436.5,304.0,True,0.9951385996417649,0.9986476183499895,0.9999914255332703,0.9979740836458397,0.9952524643562203,0.9984401532374585,0.9999900162760779,0.9979147727727249,0.997100830078125,0.9982401529947916,0.9987284342447916,0.9980608622233074,8.221970019716141e-05,0.0011669362383035509,0.004186706938201334,0.0016159627693130077,50908.85530076921,65589.83074687421,66684.95654202998,62375.47266515321,727.75,728.625,729.0,728.4873046875
exact_proxy_rank4_fp32,uniform_per_expert,729,729,128,0.9987284342447916,33625088,50315264,2436.5,304.0,True,0.9927703115852672,0.9968343747509334,0.9998902400831284,0.9963581208765266,0.9920655224223566,0.9964499298451914,0.9998698880976238,0.9962368044527486,0.996612548828125,0.9987284342447916,0.9987284342447916,0.9974479675292967,0.0,0.0,0.0,0.0,50891.433574445546,65569.98079456389,66665.84344804287,62356.41949674755,727.375,729.0,729.0,728.0166015625
