factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,1,32,808.0,748.5,605.1,1120.0000000000002,0.9999982374632299,0.9999635515911814
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,2,32,823.75,769.0,577.7,1138.8000000000002,0.9999943627285666,0.9999030021135039
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,3,32,789.75,800.5,618.9,965.0000000000001,0.9999853904341199,0.9998909554804373
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,4,32,747.6875,766.5,594.2,898.1,0.9999666237460196,0.9998610947952029
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,5,32,715.21875,706.0,563.4,888.4,0.999908852894427,0.9995304513005179
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,6,32,726.09375,726.0,540.2,936.0000000000001,0.9999002483577115,0.9995551677235212
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,7,32,677.21875,671.5,479.0,882.8000000000001,0.9997867481842783,0.9985103401746303
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,8,32,669.84375,646.0,491.4,938.4000000000001,0.9997535797118436,0.998567110219427
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,1,32,1084.78125,1095.5,963.9,1159.6,0.9996919993325324,0.9987348509963708
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,2,32,997.28125,992.5,902.7,1093.8,0.9990708369122054,0.9976523613969631
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,3,32,872.34375,889.0,749.6,1007.7,0.9975320181759877,0.9938423503231497
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,4,32,764.5625,763.0,671.9,861.0,0.9961215974459627,0.9874049151704013
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,5,32,707.03125,729.0,576.0,777.9,0.9930604296581731,0.9748425339931764
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,6,32,598.9375,576.0,451.3,749.0,0.9857166275985554,0.9734399685118128
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,7,32,511.375,507.5,384.6,576.9,0.9714926297893683,0.941225999377953
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,8,32,418.15625,384.0,298.9,576.0,0.9580556859032717,0.9181713625160102
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,1,32,1009.5625,1035.0,841.0,1149.7,0.9990456667677627,0.9970831234968557
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,2,32,829.65625,869.5,698.4,929.6,0.997331736200157,0.9924865266827985
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,3,32,829.65625,830.0,750.3,926.8,0.9972063107157166,0.9905891890562147
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,4,32,754.28125,749.0,695.2,867.3000000000001,0.9933818480811256,0.9865014533468105
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,5,32,711.90625,749.0,576.0,775.2,0.9931162329551568,0.9780033204677101
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,6,32,658.8125,679.5,556.2,766.1,0.9884461008328542,0.9732432415478616
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,7,32,602.25,576.0,506.6,716.9,0.9847900666395903,0.9704905764195001
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,8,32,557.6875,576.0,445.1,663.0000000000001,0.9795138289272867,0.9640348577817935
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,1,32,935.28125,943.0,749.5,1101.8,0.9994732648241614,0.9956537128513232
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,2,32,864.0625,857.0,749.0,1007.5,0.9984732099600082,0.9957295218697971
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,3,32,816.25,791.5,729.0,927.7,0.9975078853947219,0.9937117987357695
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,4,32,770.28125,749.0,682.6,879.8000000000001,0.9950457351510626,0.9922731204483147
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,5,32,709.625,729.0,576.0,768.0,0.994572922099221,0.9819139680557115
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,6,32,689.5625,729.0,576.0,774.9,0.9922855642153235,0.973058419958189
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,7,32,624.9375,634.0,458.4,749.0,0.9908589176549469,0.9730263521348238
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,8,32,544.625,576.0,385.2,627.8000000000001,0.9809885420956077,0.9567081013861853
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,1,32,803.59375,758.5,584.4,1035.9,0.9999977912583449,0.9999417383352895
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,2,32,826.59375,769.5,577.7,1138.8000000000002,0.9999948870037558,0.9999121368688674
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,3,32,788.5,791.5,618.3,941.3000000000001,0.9999784085516361,0.9998495144493568
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,4,32,745.875,748.5,597.6,896.1,0.9999541636000113,0.9998469945368034
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,5,32,716.0,695.5,573.3,898.9,0.9999220262808222,0.9995064790536724
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,6,32,726.53125,729.0,537.4,936.0000000000001,0.9998962222763484,0.999578154976545
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,7,32,680.84375,680.0,479.0,892.7000000000002,0.9997843369631736,0.9989760168599467
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,8,32,671.46875,635.0,484.9,916.8000000000001,0.9997266001844594,0.9986252833848053
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,1,32,1090.65625,1081.0,981.8,1183.8,0.9996877456827398,0.9987850522330634
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,2,32,997.125,986.0,927.2,1100.1000000000001,0.9991695424006747,0.997489869574455
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,3,32,865.09375,871.5,765.1,974.7,0.9977011863578402,0.99347709524446
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,4,32,774.25,769.5,661.2,892.6,0.9951133585729621,0.9893947274412166
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,5,32,701.0625,722.0,576.0,795.0000000000001,0.9916899504297736,0.9786276794037082
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,6,32,593.4375,576.0,451.3,729.0,0.9870854489028785,0.9736049592546802
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,7,32,507.09375,490.5,385.6,591.9,0.9715398892162173,0.9442114627616666
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,8,32,427.84375,397.0,292.4,573.5,0.9627025209931372,0.9195123225416991
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,1,32,1020.21875,1048.0,841.5,1182.6000000000001,0.9994105930424572,0.997111112981671
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,2,32,831.5625,871.5,696.5,934.5,0.9974189413931192,0.993003308560729
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,3,32,834.03125,830.0,720.2,926.8,0.9973836891699474,0.9881888948621222
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,4,32,751.625,749.0,693.8,828.8,0.994105073634505,0.9865731352991074
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,5,32,702.46875,729.0,608.9,768.0,0.9911269114565535,0.9838577557836162
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,6,32,641.03125,655.5,554.9,749.0,0.9880203299275424,0.9736562041370321
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,7,32,605.59375,597.0,506.6,706.2,0.9850652256548391,0.9693327499213406
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,8,32,570.1875,576.0,445.1,669.6,0.9828942355957598,0.9645639343403154
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,1,32,939.09375,938.5,772.1,1111.0,0.9994892376698505,0.9968636392462021
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,2,32,867.75,876.0,750.9,1002.5,0.9985653143531836,0.996546669870019
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,3,32,827.59375,808.5,729.8,927.7,0.9976688017975084,0.9939400754209989
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,4,32,766.78125,763.0,668.1,849.8000000000001,0.9956821813291814,0.9922094056047617
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,5,32,698.8125,708.5,623.0,768.0,0.9942500084931516,0.9817775470425071
