layout_id,wall_ms_p50,wall_ms_p90,wall_ms_p99,coordinate_sweeps_median,local_passes_median,selector_macs_max
q2q4_monolithic_same_solver_reference,161638.63682746887,165682.75821208954,168900.32354928553,2518.5,671.5,156065792
q3_ideal_logical_256_byte_plane_ceiling,47198.24468716979,48203.97821441293,49913.75415958464,2772.0,641.0,166866944
q3_physical_fixed_gate_up_pairing,181918.7004091218,187221.20407037437,195407.47566334903,2978.5,563.0,173293568
q3_physical_training_coselection_replicated2,273262.32945825905,281943.96489299834,286724.1711784154,2929.0,548.5,166547456
q3_physical_training_coselection_single,179394.5339275524,185486.3153528422,188899.2289751768,2927.5,554.5,167374848
