layout_id,mean_budget_quanta_per_expert,layer,recovery_p10,recovery_median,recovery_p90,groups
q2q4_monolithic_same_solver_reference,384,0,0.9517991038990419,0.9715576028759013,0.9891544561042439,32
q2q4_monolithic_same_solver_reference,384,4,0.890924201717368,0.9341945819900321,0.9705005893935367,32
q2q4_monolithic_same_solver_reference,384,20,0.8549109714527172,0.9205424015672254,0.973818624550271,32
q2q4_monolithic_same_solver_reference,384,39,0.8933037932682265,0.9581369146974971,0.9895454509860904,32
q2q4_monolithic_same_solver_reference,416,0,0.953526541291154,0.974823606278457,0.9895374743138412,32
q2q4_monolithic_same_solver_reference,416,4,0.899509470436344,0.938473646166369,0.9728804564038538,32
q2q4_monolithic_same_solver_reference,416,20,0.8643377739997812,0.9258695359725637,0.9764005760267723,32
q2q4_monolithic_same_solver_reference,416,39,0.9021990074387201,0.9612989978889617,0.9903177395842769,32
q2q4_monolithic_same_solver_reference,448,0,0.95462629095979,0.9758284810504352,0.9899983105431286,32
q2q4_monolithic_same_solver_reference,448,4,0.9060636599711994,0.9429158185302002,0.9745532685847361,32
q2q4_monolithic_same_solver_reference,448,20,0.869917550167329,0.9317557700353704,0.9772444470898948,32
q2q4_monolithic_same_solver_reference,448,39,0.9097739880133977,0.9639667036868713,0.9909671549172797,32
q2q4_monolithic_same_solver_reference,480,0,0.9572629736505809,0.9774772078152867,0.9903289729442376,32
q2q4_monolithic_same_solver_reference,480,4,0.9101146673731667,0.9456435817371001,0.9761061305005655,32
q2q4_monolithic_same_solver_reference,480,20,0.8760865541209812,0.9375783534225027,0.978005350352991,32
q2q4_monolithic_same_solver_reference,480,39,0.9165023494482526,0.9663199188814068,0.9914486890894537,32
q2q4_monolithic_same_solver_reference,512,0,0.9594676925684825,0.9784313153810155,0.9905180224815104,32
q2q4_monolithic_same_solver_reference,512,4,0.9146547030588812,0.9497896465140321,0.9783348360709586,32
q2q4_monolithic_same_solver_reference,512,20,0.8849364619582499,0.9413806214037517,0.9789561080737775,32
q2q4_monolithic_same_solver_reference,512,39,0.9193154374045521,0.9684998437698062,0.9919112879382392,32
q2q4_monolithic_same_solver_reference,544,0,0.9608789806724799,0.9789740629552539,0.9908837395068016,32
q2q4_monolithic_same_solver_reference,544,4,0.9173741179982865,0.9518706335245336,0.9798196406517173,32
q2q4_monolithic_same_solver_reference,544,20,0.8886712082423829,0.9447392243979551,0.9795320519085352,32
q2q4_monolithic_same_solver_reference,544,39,0.9236319198374028,0.9707240538738728,0.9923619665822376,32
q2q4_monolithic_same_solver_reference,576,0,0.9610230133680524,0.9796084132430039,0.9912211301533352,32
q2q4_monolithic_same_solver_reference,576,4,0.920042801399943,0.9544396068398078,0.9809578080915237,32
q2q4_monolithic_same_solver_reference,576,20,0.8906153289463329,0.9476210212365157,0.9802206031272426,32
q2q4_monolithic_same_solver_reference,576,39,0.928290699614246,0.972480066382258,0.9925863492473107,32
q2q4_monolithic_same_solver_reference,608,0,0.9619609472853649,0.9798597747346292,0.9916149397657366,32
q2q4_monolithic_same_solver_reference,608,4,0.9226283281708249,0.9560425042483685,0.9816809236381765,32
q2q4_monolithic_same_solver_reference,608,20,0.891862656641298,0.9508577001451205,0.9806769758350877,32
q2q4_monolithic_same_solver_reference,608,39,0.9323901943357761,0.9740200718855656,0.9927716019674452,32
q2q4_monolithic_same_solver_reference,640,0,0.9617303136529836,0.9803801674707884,0.9921514803483046,32
q2q4_monolithic_same_solver_reference,640,4,0.9245625235498758,0.9580768589175243,0.9826662802665416,32
q2q4_monolithic_same_solver_reference,640,20,0.8932893275716958,0.9535217152476886,0.9811083134398093,32
q2q4_monolithic_same_solver_reference,640,39,0.933378622329536,0.9754868982359579,0.9932371345055637,32
q2q4_monolithic_same_solver_reference,672,0,0.9626171920080674,0.9805818353496187,0.9923129262549284,32
q2q4_monolithic_same_solver_reference,672,4,0.9269796926593389,0.9600877220320644,0.9833493941837639,32
q2q4_monolithic_same_solver_reference,672,20,0.8968281223014325,0.9556668126290688,0.9817167450393339,32
q2q4_monolithic_same_solver_reference,672,39,0.9385162657655516,0.9762963844876926,0.9934866317321512,32
q2q4_monolithic_same_solver_reference,704,0,0.9631351302106734,0.9810132948154983,0.9923512766666175,32
q2q4_monolithic_same_solver_reference,704,4,0.9295203511581698,0.9613709641485086,0.9839188354647531,32
