layout_id,allocation_policy,mean_budget_quanta_per_expert,average_allowed_total_bpw,average_actual_total_bpw_mean,groups,recovery_p10,recovery_median,recovery_p90,recovery_mean,remaining_damage_median,baseline_recovery_p10,baseline_recovery_median,p10_remaining_damage_ratio_vs_baseline_same_budget,median_remaining_damage_ratio_vs_baseline_same_budget
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,384,0.2682698567708333,0.26770528157552087,128,0.8867527022702102,0.9528789676777796,0.9834172445233976,0.9413632813956017,0.047121032322220424,0.8867527022702102,0.9528789676777796,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,416,0.2891031901041667,0.28828303019205725,128,0.894631976695651,0.956837945914875,0.9841789815721118,0.9453778734537914,0.04316205408512497,0.894631976695651,0.956837945914875,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,448,0.3099365234375,0.30934270222981775,128,0.9010742679161202,0.9594705817669007,0.9852549364021514,0.9488875857957644,0.0405294182330993,0.9010742679161202,0.9594705817669007,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,480,0.3307698567708333,0.3299814860026042,128,0.9074158876537258,0.9615134953549811,0.9859250773464252,0.9519105451121774,0.038486504645018904,0.9074158876537258,0.9615134953549811,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,512,0.3516031901041667,0.35091908772786456,128,0.911661729372763,0.9626969115237644,0.9866411914790562,0.9544913781578099,0.037303088476235646,0.911661729372763,0.9626969115237644,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,544,0.3724365234375,0.3716341654459635,128,0.9143214688335363,0.9641880493460274,0.9872992649858806,0.9568933509475636,0.03581195065397258,0.9143214688335363,0.9641880493460274,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,576,0.3932698567708333,0.39237085978190106,128,0.9192608071742154,0.9657716928348832,0.9879554355076123,0.9589856550012685,0.03422830716511682,0.9192608071742154,0.9657716928348832,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,608,0.4141031901041667,0.41321055094401044,128,0.9229246492222508,0.966958565272066,0.9884175485219175,0.9608878205996552,0.03304143472793397,0.9229246492222508,0.966958565272066,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,640,0.4349365234375,0.4339955647786458,128,0.9262983174104752,0.9681116243224663,0.988935974776116,0.9625667128475353,0.031888375677533665,0.9262983174104752,0.9681116243224663,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,672,0.4557698567708333,0.4547322591145833,128,0.9300211596669126,0.969275274503871,0.9895782338626633,0.9641443090555408,0.030724725496129035,0.9300211596669126,0.969275274503871,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,704,0.4766031901041667,0.47555414835611975,128,0.9339275684801792,0.9704890881729089,0.9902376493423865,0.9655279835425767,0.02951091182709109,0.9339275684801792,0.9704890881729089,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,736,0.4974365234375,0.49651590983072913,128,0.9366855036565718,0.9715986321583798,0.9907013681295316,0.966785664130434,0.028401367841620173,0.9366855036565718,0.9715986321583798,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,768,0.5182698567708334,0.5172195434570312,128,0.9400536257998698,0.972404368025386,0.9910104259282949,0.9680028924687594,0.02759563197461401,0.9400536257998698,0.972404368025386,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,800,0.5391031901041666,0.537890116373698,128,0.9420433886758837,0.9730808655177952,0.9912307700084361,0.9690929441856031,0.026919134482204843,0.9420433886758837,0.9730808655177952,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,832,0.5599365234375,0.5589256286621094,128,0.9449924719077384,0.9734775077261726,0.9915124966336034,0.9700697887134813,0.026522492273827414,0.9449924719077384,0.9734775077261726,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,864,0.5807698567708334,0.5796279907226562,128,0.9467865586789969,0.9742608781843312,0.9916760495158171,0.9709528101033398,0.02573912181566884,0.9467865586789969,0.9742608781843312,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,896,0.6016031901041666,0.6002858479817708,128,0.949044233721816,0.974757784896535,0.991955789769404,0.9717894535775073,0.025242215103465027,0.949044233721816,0.974757784896535,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,928,0.6224365234375,0.6211115519205729,128,0.9501633270166441,0.9754026064537304,0.9920857332739854,0.9725033966205694,0.024597393546269553,0.9501633270166441,0.9754026064537304,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,960,0.6432698567708334,0.6416765848795574,128,0.9507481224070524,0.975770054494886,0.9922191019845403,0.9731694654688661,0.024229945505114037,0.9507481224070524,0.975770054494886,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,992,0.6641031901041666,0.6626942952473958,128,0.95156274161589,0.9767545140760121,0.9925156822916423,0.9737972910515005,0.023245485923987896,0.95156274161589,0.9767545140760121,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1024,0.6849365234375,0.6832974751790364,128,0.9525316900200068,0.9773872657321647,0.9928233195569224,0.9743309798888147,0.022612734267835277,0.9525316900200068,0.9773872657321647,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1056,0.7057698567708334,0.7028999328613281,128,0.9531568217245389,0.9780582736687222,0.9930598995220977,0.9748326726349319,0.021941726331277778,0.9531568217245389,0.9780582736687222,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1088,0.7266031901041666,0.7231330871582031,128,0.953623525905925,0.9784793578044092,0.9932610718635556,0.9752830318033264,0.0215206421955908,0.953623525905925,0.9784793578044092,1.0,1.0
