factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,overall_average_bpw,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median,continuation_eligible,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,additive_recovery_p10,additive_recovery_median,additive_recovery_p90,additive_recovery_mean,actual_total_bpw_p10,actual_total_bpw_median,actual_total_bpw_p90,actual_total_bpw_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,selector_runtime_ms_mean,actual_correction_pages_p10,actual_correction_pages_median,actual_correction_pages_p90,actual_correction_pages_mean
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1280,0.9987386067708334,39694080,50315264,2838.0,395.0,False,0.9953825641291169,0.9979487308955433,0.9994303374220618,0.9976321789683705,0.9955326361730223,0.9976703003996157,0.9993269844567814,0.9975401826377983,0.9974365234375,0.9984130859375,0.9987386067708334,0.9981984456380208,0.0007798053442736431,0.0023703359891446563,0.005421535336960205,0.002765546000444644,73078.32696083933,77920.90119700879,86538.59065594152,79438.38394764389,744.0,744.75,745.0,744.58515625
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,1280,0.9987386067708334,33747200,50315264,2451.0,304.0,False,0.9952668271380459,0.9978604605177106,0.999408018996062,0.9975412711025491,0.9954117481375483,0.9976113937203792,0.9993129583038555,0.9974708535973578,0.9967854817708334,0.9980875651041666,0.9987386067708334,0.9978795369466145,0.0007300620675058212,0.002248792713282488,0.0052794560704338645,0.0026746381346232735,56832.150133140385,60558.429698459804,67094.64823883027,62014.105883048614,743.5,744.5,745.0,744.340234375
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,1280,0.9987386067708334,39694080,50315264,2838.0,395.0,True,0.9953031161934089,0.9979284803088222,0.9994236550911908,0.9975862542196321,0.995578548239372,0.9977019190569085,0.9993359976684686,0.9975705772806911,0.9977620442708334,0.9985758463541666,0.9987386067708334,0.9983484903971356,0.0007407326803117176,0.002315480253139268,0.005303429890267158,0.002719621251706539,72805.91780506074,77715.87135177106,86283.50155679509,79192.86065922934,744.25,744.875,745.0,744.700390625
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,1280,0.9987386067708334,33747200,50315264,2451.0,304.0,True,0.9951851714758584,0.9978430029084815,0.9993965006621253,0.9975029040163917,0.9954476172578692,0.9976206931667375,0.9993150467153442,0.9974869712575298,0.9971110026041666,0.9982503255208334,0.9987386067708334,0.9980822245279949,0.0007046054700548421,0.002210668813333816,0.005243897761702821,0.0026362710484660527,56705.251596309245,60379.298753105104,66963.85257421061,61877.83543837212,743.75,744.625,745.0,744.4958984375
exact_proxy_rank4_fp16,uniform_per_expert,745,745,1280,0.9987386067708334,33747200,50315264,2451.0,304.0,True,0.9909569569692145,0.9951280386533383,0.9982495020303881,0.9948666329679258,0.9917926425887806,0.9947756275331348,0.997983249406234,0.9948329144799836,0.9770914713541666,0.9785563151041666,0.9813232421875,0.9787157694498699,0.0,0.0,0.0,0.0,56686.482901126146,60359.433884732425,66943.77905065194,61858.71565514754,728.375,729.5,731.625,729.6224609375
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,1280,0.9987284342447916,39845888,50315264,2840.5,396.0,False,0.9949584529336551,0.9977298497741102,0.9993674687685437,0.9973871453266068,0.9950644476342588,0.9974529760419375,0.9992676943131683,0.9972886676734316,0.9974263509114584,0.9984029134114584,0.9987284342447916,0.9981835683186849,0.0006585896387100165,0.002144523678124066,0.005127121337689844,0.002573309639697049,73255.88734131306,78446.1175063625,86708.20651063696,79670.28260558436,728.0,728.75,729.0,728.58154296875
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,1280,0.9987284342447916,33625088,50315264,2452.0,304.0,False,0.9947641618955867,0.9976371952290736,0.9993444380532354,0.9972898170558807,0.9949649127921837,0.9973509222140219,0.999239068952025,0.9972123663177183,0.996612548828125,0.998077392578125,0.9987284342447916,0.9978769938151041,0.0005781979124926285,0.002051621272001647,0.004990866050778167,0.002475981368970965,56974.97024219483,60597.635933198035,67170.24817233905,62128.62875572974,727.375,728.5,729.0,728.34609375
exact_proxy_rank4_fp32,pooled_router_square_column_generated,729,1536,1280,0.9987284342447916,39845888,50315264,2840.5,396.0,True,0.9948362845717267,0.9977028098370246,0.9993568807218814,0.9973386995346518,0.9951329380940674,0.9974708888866386,0.9992785716277921,0.9973211451199827,0.9977518717447916,0.9984029134114584,0.9987284342447916,0.9983208974202474,0.0006108132703238178,0.002096477689826459,0.005076413079916975,0.0025248638477422952,73009.06603299081,78191.47746358067,86465.42616439983,79435.63743421837,728.25,728.75,729.0,728.68701171875
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,1280,0.9987284342447916,33625088,50315264,2452.0,304.0,True,0.9946642625282187,0.9976228759865432,0.9993372767320091,0.9972480513509844,0.9949793264372004,0.9973745169105979,0.9992476137765837,0.9972300893944261,0.997100830078125,0.9982401529947916,0.9987284342447916,0.9980604807535809,0.0005600205934712222,0.0020039348898866494,0.004973253326326721,0.002434215664074725,56824.60173256695,60429.22358121723,67053.5050444305,61997.56525804842,727.75,728.625,729.0,728.48701171875
exact_proxy_rank4_fp32,uniform_per_expert,729,729,1280,0.9987284342447916,33625088,50315264,2452.0,304.0,True,0.9908134610719356,0.9950692244248192,0.9982157462004344,0.9948138356869096,0.9917523087266872,0.9947711797219837,0.9979965722158645,0.9947798821620324,0.9972635904947916,0.9987284342447916,0.9987284342447916,0.9981714884440105,0.0,0.0,0.0,0.0,56806.6398659721,60411.97144705802,67033.36225068197,61978.678199071146,727.875,729.0,729.0,728.572265625
