budget_bpw,ratio_count,ratio_mean,ratio_p10,ratio_median,ratio_p90,median_independent_bpw,median_bundled_bpw
0.25,85,3.083700980392157,2.5281249999999997,3.1614583333333335,3.7583333333333333,0.25,0.7890625
0.5,85,2.4417585784313727,2.2526041666666665,2.4427083333333335,2.634375,0.5,1.2213541666666667
0.75,85,1.9138812295751637,1.807986111111111,1.9131944444444444,2.0274305555555556,0.75,1.43359375
1.0,85,1.5489889705882354,1.4677083333333334,1.5546875,1.6401041666666667,1.0,1.5546875
1.25,85,1.2819975490196076,1.2,1.2666666666666666,1.388125,1.25,1.5833333333333333
1.5,85,1.1209306516724338,1.0555555555555556,1.1111111111111112,1.1666666666666667,1.5,1.6666666666666667
2.0,85,1.0,1.0,1.0,1.0,2.0,2.0
