layer,expert_id,projection,request_id,ranking,threshold,actions_required,logical_bpw_projection
20,251,gate,mxfp4-confirm-009,diagonal,0.8,1129,0.55126953125
20,251,gate,mxfp4-confirm-009,diagonal,0.9,1699,0.82958984375
20,251,gate,mxfp4-confirm-009,diagonal,0.95,2142,1.0458984375
20,251,gate,mxfp4-confirm-009,diagonal,0.99,2912,1.421875
20,251,gate,mxfp4-confirm-009,exact_marginal_omp,0.8,354,0.1728515625
20,251,gate,mxfp4-confirm-009,exact_marginal_omp,0.9,548,0.267578125
20,251,gate,mxfp4-confirm-009,exact_marginal_omp,0.95,787,0.38427734375
20,251,gate,mxfp4-confirm-009,exact_marginal_omp,0.99,4044,1.974609375
20,251,gate,mxfp4-confirm-009,backward_elimination,0.8,377,0.18408203125
20,251,gate,mxfp4-confirm-009,backward_elimination,0.9,617,0.30126953125
20,251,gate,mxfp4-confirm-009,backward_elimination,0.95,895,0.43701171875
20,251,gate,mxfp4-confirm-009,backward_elimination,0.99,1793,0.87548828125
20,251,up,mxfp4-confirm-009,diagonal,0.8,1132,0.552734375
20,251,up,mxfp4-confirm-009,diagonal,0.9,1679,0.81982421875
20,251,up,mxfp4-confirm-009,diagonal,0.95,2068,1.009765625
20,251,up,mxfp4-confirm-009,diagonal,0.99,2892,1.412109375
20,251,up,mxfp4-confirm-009,exact_marginal_omp,0.8,319,0.15576171875
20,251,up,mxfp4-confirm-009,exact_marginal_omp,0.9,510,0.2490234375
20,251,up,mxfp4-confirm-009,exact_marginal_omp,0.95,720,0.3515625
20,251,up,mxfp4-confirm-009,exact_marginal_omp,0.99,4031,1.96826171875
20,251,up,mxfp4-confirm-009,backward_elimination,0.8,360,0.17578125
20,251,up,mxfp4-confirm-009,backward_elimination,0.9,582,0.2841796875
20,251,up,mxfp4-confirm-009,backward_elimination,0.95,837,0.40869140625
20,251,up,mxfp4-confirm-009,backward_elimination,0.99,1627,0.79443359375
20,251,down,mxfp4-confirm-009,diagonal,0.8,181,0.353515625
20,251,down,mxfp4-confirm-009,diagonal,0.9,286,0.55859375
20,251,down,mxfp4-confirm-009,diagonal,0.95,394,0.76953125
20,251,down,mxfp4-confirm-009,diagonal,0.99,604,1.1796875
20,251,down,mxfp4-confirm-009,exact_marginal_omp,0.8,156,0.3046875
20,251,down,mxfp4-confirm-009,exact_marginal_omp,0.9,264,0.515625
20,251,down,mxfp4-confirm-009,exact_marginal_omp,0.95,367,0.716796875
20,251,down,mxfp4-confirm-009,exact_marginal_omp,0.99,588,1.1484375
20,251,down,mxfp4-confirm-009,backward_elimination,0.8,157,0.306640625
20,251,down,mxfp4-confirm-009,backward_elimination,0.9,262,0.51171875
20,251,down,mxfp4-confirm-009,backward_elimination,0.95,363,0.708984375
20,251,down,mxfp4-confirm-009,backward_elimination,0.99,587,1.146484375
39,231,gate,mxfp4-confirm-009,diagonal,0.8,542,0.2646484375
39,231,gate,mxfp4-confirm-009,diagonal,0.9,980,0.478515625
39,231,gate,mxfp4-confirm-009,diagonal,0.95,1635,0.79833984375
39,231,gate,mxfp4-confirm-009,diagonal,0.99,2516,1.228515625
39,231,gate,mxfp4-confirm-009,exact_marginal_omp,0.8,196,0.095703125
39,231,gate,mxfp4-confirm-009,exact_marginal_omp,0.9,377,0.18408203125
39,231,gate,mxfp4-confirm-009,exact_marginal_omp,0.95,608,0.296875
39,231,gate,mxfp4-confirm-009,exact_marginal_omp,0.99,4023,1.96435546875
39,231,gate,mxfp4-confirm-009,backward_elimination,0.8,211,0.10302734375
39,231,gate,mxfp4-confirm-009,backward_elimination,0.9,404,0.197265625
39,231,gate,mxfp4-confirm-009,backward_elimination,0.95,611,0.29833984375
39,231,gate,mxfp4-confirm-009,backward_elimination,0.99,1259,0.61474609375
39,231,up,mxfp4-confirm-009,diagonal,0.8,1018,0.4970703125
39,231,up,mxfp4-confirm-009,diagonal,0.9,1531,0.74755859375
39,231,up,mxfp4-confirm-009,diagonal,0.95,1911,0.93310546875
39,231,up,mxfp4-confirm-009,diagonal,0.99,2727,1.33154296875
39,231,up,mxfp4-confirm-009,exact_marginal_omp,0.8,275,0.13427734375
39,231,up,mxfp4-confirm-009,exact_marginal_omp,0.9,450,0.2197265625
39,231,up,mxfp4-confirm-009,exact_marginal_omp,0.95,656,0.3203125
39,231,up,mxfp4-confirm-009,exact_marginal_omp,0.99,4011,1.95849609375
39,231,up,mxfp4-confirm-009,backward_elimination,0.8,302,0.1474609375
39,231,up,mxfp4-confirm-009,backward_elimination,0.9,514,0.2509765625
39,231,up,mxfp4-confirm-009,backward_elimination,0.95,762,0.3720703125
39,231,up,mxfp4-confirm-009,backward_elimination,0.99,1531,0.74755859375
39,231,down,mxfp4-confirm-009,diagonal,0.8,84,0.1640625
39,231,down,mxfp4-confirm-009,diagonal,0.9,168,0.328125
39,231,down,mxfp4-confirm-009,diagonal,0.95,271,0.529296875
39,231,down,mxfp4-confirm-009,diagonal,0.99,487,0.951171875
39,231,down,mxfp4-confirm-009,exact_marginal_omp,0.8,71,0.138671875
39,231,down,mxfp4-confirm-009,exact_marginal_omp,0.9,153,0.298828125
39,231,down,mxfp4-confirm-009,exact_marginal_omp,0.95,249,0.486328125
39,231,down,mxfp4-confirm-009,exact_marginal_omp,0.99,467,0.912109375
39,231,down,mxfp4-confirm-009,backward_elimination,0.8,71,0.138671875
39,231,down,mxfp4-confirm-009,backward_elimination,0.9,152,0.296875
39,231,down,mxfp4-confirm-009,backward_elimination,0.95,247,0.482421875
39,231,down,mxfp4-confirm-009,backward_elimination,0.99,466,0.91015625
