source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.5,1,0.9235455814391654,0.9235455814391654,0.9235455814391654,479.0,1565.0,100160.0,3.7421875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.75,1,0.9235455814391654,0.9235455814391654,0.9235455814391654,479.0,1565.0,100160.0,2.4947916666666665
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,1.0,1,0.9235455814391654,0.9235455814391654,0.9235455814391654,479.0,1565.0,100160.0,1.87109375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.25,1,0.5581208867739021,0.5581208867739021,0.5581208867739021,59.0,265.0,16960.0,0.921875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.5,1,0.5581208867739021,0.5581208867739021,0.5581208867739021,59.0,265.0,16960.0,0.4609375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.75,1,0.5581208867739021,0.5581208867739021,0.5581208867739021,59.0,265.0,16960.0,0.3072916666666667
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,1.0,1,0.5581208867739021,0.5581208867739021,0.5581208867739021,59.0,265.0,16960.0,0.23046875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.25,1,0.6086133257199379,0.6086133257199379,0.6086133257199379,117.0,460.0,29440.0,1.828125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.5,1,0.6086133257199379,0.6086133257199379,0.6086133257199379,117.0,460.0,29440.0,0.9140625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.75,1,0.6086133257199379,0.6086133257199379,0.6086133257199379,117.0,460.0,29440.0,0.609375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,1.0,1,0.6086133257199379,0.6086133257199379,0.6086133257199379,117.0,460.0,29440.0,0.45703125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.25,1,0.7829391012974598,0.7829391012974598,0.7829391012974598,206.0,1029.0,65856.0,3.21875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.5,1,0.7829391012974598,0.7829391012974598,0.7829391012974598,206.0,1029.0,65856.0,1.609375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.75,1,0.7829391012974598,0.7829391012974598,0.7829391012974598,206.0,1029.0,65856.0,1.0729166666666667
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,1.0,1,0.7829391012974598,0.7829391012974598,0.7829391012974598,206.0,1029.0,65856.0,0.8046875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.25,1,0.8822269599720877,0.8822269599720877,0.8822269599720877,286.0,1269.0,81216.0,4.46875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.5,1,0.8822269599720877,0.8822269599720877,0.8822269599720877,286.0,1269.0,81216.0,2.234375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.75,1,0.8822269599720877,0.8822269599720877,0.8822269599720877,286.0,1269.0,81216.0,1.4895833333333333
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,1.0,1,0.8822269599720877,0.8822269599720877,0.8822269599720877,286.0,1269.0,81216.0,1.1171875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.25,1,0.9144569918902423,0.9144569918902423,0.9144569918902423,350.0,1671.0,106944.0,5.46875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.5,1,0.9144569918902423,0.9144569918902423,0.9144569918902423,350.0,1671.0,106944.0,2.734375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.75,1,0.9144569918902423,0.9144569918902423,0.9144569918902423,350.0,1671.0,106944.0,1.8229166666666667
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,1.0,1,0.9144569918902423,0.9144569918902423,0.9144569918902423,350.0,1671.0,106944.0,1.3671875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.25,1,0.9150702585055275,0.9150702585055275,0.9150702585055275,441.0,1459.0,93376.0,6.890625
