source_run_mode,capture_source,evaluation_split,layer,top_k,n,p10_top_k_energy_fraction,median_top_k_energy_fraction,p90_top_k_energy_fraction,median_exact_zero_fraction,p10_coordinates_for_90pct_energy,median_coordinates_for_90pct_energy,p90_coordinates_for_90pct_energy
pilot,exact_checkpoint,validation,4,2048,16,1.0,1.0,1.0,0.00048828125,745.5,791.5,845.5
pilot,exact_checkpoint,validation,20,64,16,0.2754391702619314,0.3225446346673937,0.3712824357043437,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,128,16,0.39221002171154484,0.43651964204124183,0.47715411124990936,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,256,16,0.5573745432335822,0.5910144582966722,0.6206708375548247,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,384,16,0.6750739304706126,0.6963902506466082,0.7200558099665313,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,512,16,0.7604309177127555,0.7736347154677234,0.793009354473805,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,768,16,0.8717815184928167,0.87937758263793,0.8918520674495423,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,1024,16,0.9368844757409056,0.942648577392415,0.9482181133441415,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,20,2048,16,1.0,1.0,1.0,0.0,797.0,837.5,864.0
pilot,exact_checkpoint,validation,39,64,16,0.3437848553111602,0.41693234039247307,0.48761976688909126,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,128,16,0.45640941961210385,0.5177843789894727,0.5796292106879328,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,256,16,0.6066825449574924,0.6509761841078999,0.6972078967214816,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,384,16,0.7104372114396291,0.7416730902312034,0.7767204789634043,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,512,16,0.7873804466903778,0.8088173139219963,0.8346705355895042,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,768,16,0.886804767205114,0.8990449068636659,0.9129093706657718,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,1024,16,0.9446549239132445,0.9517394261832695,0.958492575194679,0.0009765625,715.5,772.0,816.5
pilot,exact_checkpoint,validation,39,2048,16,1.0,1.0,1.0,0.0009765625,715.5,772.0,816.5
