layout_id,wall_ms_p50,frontier_ms_p50,allocation_ms_p50,wall_ms_p90,wall_ms_p99,coordinate_sweeps_median,local_passes_median,selector_macs_max,diagonal_dp_tables_median,diagonal_dp_state_updates_median
q2q4_monolithic_same_solver_reference,168380.45444246382,133776.20423864573,34422.17854689807,176319.67697106302,185594.54139135778,2401.0,511.5,140709888,8.0,100597760.0
q3_ideal_logical_256_byte_plane_ceiling,285786.7428343743,40382.79414642602,244255.62133267522,350902.644822374,428366.3799967617,2562.5,422.0,142225408,8.0,226344960.0
q3_physical_fixed_gate_up_pairing,258203.6275593564,177815.58568030596,77548.25340770185,277931.29119463265,306563.76792676747,2925.5,395.5,157954048,8.0,226279424.0
q3_physical_training_coselection_replicated2,344231.99637793005,267705.1933510229,74621.24436441809,360528.82201597095,374363.26573230326,2929.5,550.5,165785600,0.0,0.0
q3_physical_training_coselection_single,265005.1225591451,182876.96500401944,77874.63507242501,283562.1003434062,292750.3454834223,2925.5,552.0,165785600,0.0,0.0
