layout_id,allocation_policy,mean_budget_quanta_per_expert,average_allowed_total_bpw,average_actual_total_bpw_mean,groups,recovery_p10,recovery_median,recovery_p90,recovery_mean,remaining_damage_median,baseline_recovery_p10,baseline_recovery_median,p10_remaining_damage_ratio_vs_baseline_same_budget,median_remaining_damage_ratio_vs_baseline_same_budget
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,384,0.2682698567708333,0.2677764892578125,128,0.9039481865242407,0.9689820775865026,0.9917891728008227,0.9564366906101343,0.031017922413497434,0.9039481865242407,0.9689820775865026,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,416,0.2891031901041667,0.2884864807128906,128,0.9122512450379444,0.9722853001105174,0.9930216877350188,0.9608566642073588,0.027714699889482608,0.9122512450379444,0.9722853001105174,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,448,0.3099365234375,0.3093477884928385,128,0.9204389333172104,0.9750015752412626,0.9940400355357571,0.9647393325282558,0.02499842475873737,0.9204389333172104,0.9750015752412626,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,480,0.3307698567708333,0.3301277160644531,128,0.9268942872487169,0.9773517859036728,0.9949764032782397,0.9680607537243096,0.022648214096327224,0.9268942872487169,0.9773517859036728,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,512,0.3516031901041667,0.3509775797526042,128,0.9331582196383733,0.9800196142347563,0.9957432037257475,0.9711088774070491,0.019980385765243747,0.9331582196383733,0.9800196142347563,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,544,0.3724365234375,0.3717689514160156,128,0.9380673742004293,0.9818609013120765,0.9964351658332049,0.9737310866273003,0.018139098687923516,0.9380673742004293,0.9818609013120765,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,576,0.3932698567708333,0.39272562662760413,128,0.9433486407164836,0.9833833693254832,0.996934130872224,0.9759701709524943,0.016616630674516797,0.9433486407164836,0.9833833693254832,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,608,0.4141031901041667,0.41344197591145837,128,0.9481905582210681,0.9847533602706037,0.9974243138555599,0.9780329015600343,0.015246639729396327,0.9481905582210681,0.9847533602706037,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,640,0.4349365234375,0.4343172709147135,128,0.9532101469446367,0.9857869715049685,0.9978256692572266,0.9798592721457566,0.014213028495031477,0.9532101469446367,0.9857869715049685,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,672,0.4557698567708333,0.45516331990559894,128,0.9573641009624643,0.9870103068986693,0.9981121409986016,0.9815227959516127,0.01298969310133069,0.9573641009624643,0.9870103068986693,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,704,0.4766031901041667,0.4760398864746094,128,0.9605630232287011,0.9881419616980788,0.998364829178225,0.9830822792666696,0.011858038301921225,0.9605630232287011,0.9881419616980788,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,736,0.4974365234375,0.49687957763671875,128,0.9637529180283332,0.9891332151567308,0.9985873715121517,0.984516634225566,0.010866784843269195,0.9637529180283332,0.9891332151567308,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,768,0.5182698567708334,0.5176709493001301,128,0.9673530303002326,0.9900397754884372,0.9987942278887234,0.9858596628114702,0.009960224511562754,0.9673530303002326,0.9900397754884372,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,800,0.5391031901041666,0.5385576883951823,128,0.9701547464739667,0.9909305358401468,0.9989551317685461,0.987117121891431,0.009069464159853213,0.9701547464739667,0.9909305358401468,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,832,0.5599365234375,0.559313456217448,128,0.9728437871701043,0.9917629920402173,0.99913786406632,0.9882724796760224,0.00823700795978266,0.9728437871701043,0.9917629920402173,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,864,0.5807698567708334,0.5802599589029948,128,0.9750886105849693,0.9925510112552518,0.99927656995865,0.9893069723856103,0.007448988744748197,0.9750886105849693,0.9925510112552518,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,896,0.6016031901041666,0.6010297139485676,128,0.9773284309924003,0.993177292618044,0.9994037382003162,0.9902407612638782,0.006822707381956006,0.9773284309924003,0.993177292618044,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,928,0.6224365234375,0.6218833923339844,128,0.9792877831388501,0.9938052192998283,0.9994717849035898,0.9910599535170433,0.006194780700171654,0.9792877831388501,0.9938052192998283,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,960,0.6432698567708334,0.6428171793619791,128,0.9812951073068683,0.9943276949973008,0.9995514212078743,0.9918014096953975,0.005672305002699218,0.9812951073068683,0.9943276949973008,1.0,1.0
