layout_id,mean_budget_quanta_per_expert,layer,recovery_p10,recovery_median,recovery_p90,groups
q2q4_monolithic_same_solver_reference,384,0,0.9710159084521716,0.9890544069512583,0.9979140013743706,32
q2q4_monolithic_same_solver_reference,384,4,0.9285723550284327,0.953466009822946,0.9786895807322934,32
q2q4_monolithic_same_solver_reference,384,20,0.8769485811220628,0.9312045326513015,0.9828428063750198,32
q2q4_monolithic_same_solver_reference,384,39,0.907015015530113,0.9665526314811439,0.9907655608497193,32
q2q4_monolithic_same_solver_reference,416,0,0.973909508367323,0.9905410920600495,0.9982085809173413,32
q2q4_monolithic_same_solver_reference,416,4,0.9347650691299163,0.9585398023763135,0.9813574030143396,32
q2q4_monolithic_same_solver_reference,416,20,0.8848113304677176,0.936622593799084,0.984806983339722,32
q2q4_monolithic_same_solver_reference,416,39,0.9117468721084382,0.9695955956646687,0.9917792727595827,32
q2q4_monolithic_same_solver_reference,448,0,0.9768051478605345,0.9920043148821425,0.998446986315211,32
q2q4_monolithic_same_solver_reference,448,4,0.9420001340691285,0.9624350313335293,0.9830987268056239,32
q2q4_monolithic_same_solver_reference,448,20,0.8940477049344097,0.9422706368808609,0.9863891507336977,32
q2q4_monolithic_same_solver_reference,448,39,0.9210755378270407,0.972977936320933,0.9925446996952364,32
q2q4_monolithic_same_solver_reference,480,0,0.9798589471352175,0.9933098418405577,0.9987018882162508,32
q2q4_monolithic_same_solver_reference,480,4,0.9471532780658457,0.9655222774265242,0.9854719315065986,32
q2q4_monolithic_same_solver_reference,480,20,0.9052551688570397,0.947204288159086,0.9878159839025624,32
q2q4_monolithic_same_solver_reference,480,39,0.9279489405779867,0.9757887339336757,0.9934047236703547,32
q2q4_monolithic_same_solver_reference,512,0,0.9831607951649605,0.9942371609208711,0.9988994066746008,32
q2q4_monolithic_same_solver_reference,512,4,0.9512595812617881,0.9687265569332957,0.9870362483822677,32
q2q4_monolithic_same_solver_reference,512,20,0.9138818785892627,0.9518260876666116,0.989035708228652,32
q2q4_monolithic_same_solver_reference,512,39,0.9329047749065457,0.9774147825795642,0.993885823674149,32
q2q4_monolithic_same_solver_reference,544,0,0.9856186367216974,0.9951403974885816,0.9990598952913282,32
q2q4_monolithic_same_solver_reference,544,4,0.9546647628068872,0.9715596497798318,0.9883382788102266,32
q2q4_monolithic_same_solver_reference,544,20,0.9217297081491274,0.9570624704421123,0.9898233380930026,32
q2q4_monolithic_same_solver_reference,544,39,0.9389233318773942,0.9793119427919775,0.994477152275933,32
q2q4_monolithic_same_solver_reference,576,0,0.987866530253659,0.9959842286678713,0.9992010619512,32
q2q4_monolithic_same_solver_reference,576,4,0.9584629960926577,0.9741772550807566,0.9896277548715963,32
q2q4_monolithic_same_solver_reference,576,20,0.9302689664954354,0.9600454279920976,0.9907728990456505,32
q2q4_monolithic_same_solver_reference,576,39,0.9444199756681385,0.9812232427133124,0.9950341438736618,32
q2q4_monolithic_same_solver_reference,608,0,0.9894572001609733,0.9966011152279365,0.9992953514519902,32
q2q4_monolithic_same_solver_reference,608,4,0.9629034744775793,0.9766807849398134,0.9908375183222117,32
q2q4_monolithic_same_solver_reference,608,20,0.9347417558073537,0.9632532166087922,0.9916118950286542,32
q2q4_monolithic_same_solver_reference,608,39,0.9475329904066921,0.9825936879537582,0.9953748633592355,32
q2q4_monolithic_same_solver_reference,640,0,0.9911962961608399,0.9971821072223022,0.9993830998049869,32
q2q4_monolithic_same_solver_reference,640,4,0.9653682544502256,0.9787000999603359,0.9918791864133992,32
q2q4_monolithic_same_solver_reference,640,20,0.9391846716628138,0.9662822717761129,0.9920615746631197,32
q2q4_monolithic_same_solver_reference,640,39,0.9542732869461307,0.9839678742519831,0.9957679260690863,32
q2q4_monolithic_same_solver_reference,672,0,0.9923640495020383,0.9975683629023746,0.9994605196176372,32
q2q4_monolithic_same_solver_reference,672,4,0.9677980597695606,0.981133070431911,0.9928052337425539,32
q2q4_monolithic_same_solver_reference,672,20,0.9435834111865582,0.9694325546140807,0.9928303902420287,32
q2q4_monolithic_same_solver_reference,672,39,0.9560303661244839,0.9851831734981931,0.9962012162409996,32
q2q4_monolithic_same_solver_reference,704,0,0.9933204311691921,0.9979284681093457,0.9995371787704725,32
q2q4_monolithic_same_solver_reference,704,4,0.9696431066699321,0.9829290115446669,0.9933720117409308,32
