candidate,design,level,stratification,stratum,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,summed_damage
A_vector_functional,A,2,layer,0,33,-0.16421559006586386,-0.00279120167003466,0.38477576424383675,0.4751771628856659,0.5069820284843445,0.556215763092041,2.0923294369131327
A_vector_functional,A,2,layer,4,41,-0.1139193813531949,0.07254422059119758,0.2615698041112908,0.5113003253936768,0.5432479977607727,0.5790076851844788,20.366089537739754
A_vector_functional,A,2,layer,20,39,-0.22555089591371788,0.4430422297165124,0.5787734523442433,0.46923747658729553,0.6352753639221191,0.6931262850761414,9.867363341152668
A_vector_functional,A,2,layer,39,39,-0.10572010413670543,0.07724716760257,0.21209861489985465,0.45207401514053347,0.48144644498825073,0.5238755106925964,1160.2694072723389
A_vector_functional,A,3,layer,0,33,0.4931144919300271,0.754822678107379,0.843394769722335,0.24434738159179686,0.2750244736671448,0.2979122638702393,0.5628295540809631
A_vector_functional,A,3,layer,4,41,0.6085405689420698,0.7680295961144425,0.8408472524657492,0.2639642655849457,0.28777655959129333,0.32046183943748474,5.181854467839003
A_vector_functional,A,3,layer,20,39,0.683032729763672,0.821279515256243,0.8967867846164869,0.242080956697464,0.314222514629364,0.35930757522583007,2.806716026738286
A_vector_functional,A,3,layer,39,39,0.4957526182061751,0.739021505996881,0.8550014513622254,0.22421688437461854,0.25421154499053955,0.2811618745326996,272.3683398962021
A_vector_functional,A,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional,A,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional,A,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional,A,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,2,layer,0,33,-0.14882767528194166,0.05324534237553136,0.3263461480795114,0.4795620083808899,0.508854866027832,0.5618854284286499,2.1305053867399693
A_vector_functional_shrunk,A,2,layer,4,41,-0.10699124089326251,0.07208611034941004,0.27280111989505373,0.5058156251907349,0.5423899292945862,0.5742723941802979,20.661012142896652
A_vector_functional_shrunk,A,2,layer,20,39,-0.20867026991824922,0.41742396343696353,0.5683457100382436,0.48956129550933836,0.6500006318092346,0.7052403926849365,10.582384251058102
A_vector_functional_shrunk,A,2,layer,39,39,-0.1322242346630702,0.07891640867411631,0.2310320644537576,0.45285785794258115,0.4842357933521271,0.5244895100593567,1171.1917023658752
A_vector_functional_shrunk,A,3,layer,0,33,0.5335147613083305,0.7463724184957137,0.8417438620514185,0.24430614113807678,0.27463042736053467,0.29808456897735597,0.5693746479228139
A_vector_functional_shrunk,A,3,layer,4,41,0.6007248831082002,0.763053754204672,0.8458345682105362,0.2622050344944,0.28748369216918945,0.31967437267303467,5.226476434618235
A_vector_functional_shrunk,A,3,layer,20,39,0.6811557245097316,0.8209325267136955,0.9044248862731855,0.25127218961715697,0.31425437331199646,0.3582102835178375,2.8515493869781494
A_vector_functional_shrunk,A,3,layer,39,39,0.5021115536130105,0.7243759501256677,0.8496982783727459,0.22855296730995178,0.251335471868515,0.28190417885780333,274.88111090660095
A_vector_functional_shrunk,A,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_cluster_functional,B,2,layer,0,33,-0.0672835513501163,0.3090182789357543,0.5411395794662143,0.42540931701660156,0.46695569157600403,0.5049193322658538,1.6432246193289757
B16_g32_cluster_functional,B,2,layer,4,41,-0.09371475598374879,0.21327245698500807,0.4358765551999456,0.46211621165275574,0.504555344581604,0.5461372137069702,19.07422661036253
B16_g32_cluster_functional,B,2,layer,20,39,0.04400548105421876,0.527195056803653,0.760490177390163,0.35727614164352417,0.5680183172225952,0.6206257581710816,7.471063192933798
B16_g32_cluster_functional,B,2,layer,39,39,-0.15037982087936033,0.2660975233556757,0.5081826354548298,0.37244715094566344,0.43362662196159363,0.4861862421035767,743.1139891147614
B16_g32_cluster_functional,B,3,layer,0,33,0.6214086180819579,0.7707130681483308,0.8686763071253563,0.22626138627529144,0.2574206590652466,0.2802186369895935,0.4723642533645034
B16_g32_cluster_functional,B,3,layer,4,41,0.5887306922466861,0.7806167623394065,0.870790390463591,0.25644487142562866,0.2804892659187317,0.3140121400356293,5.471916921436787
B16_g32_cluster_functional,B,3,layer,20,39,0.7396308197735653,0.8166506716134596,0.888275410160212,0.27201258540153506,0.3019258379936218,0.33477493524551394,2.7388204131275415
B16_g32_cluster_functional,B,3,layer,39,39,0.6144758664099028,0.7661684657577188,0.8975070672758189,0.2130291759967804,0.24052010476589203,0.2734461009502411,213.31465876102448
