candidate,design,packet,statistic,target_recovery,interpolated_physical_bpw
B16_g32_global_functional_eps_0p01,B,separate,p90_common_recovery,0.95,0.7349397798020004
B16_g32_global_functional_eps_0p01,B,separate,p90_common_recovery,0.975,1.1082833869566846
C8_g32_layer_functional,C,paired,p10_common_recovery,0.9,0.9359965512698346
C8_g32_layer_functional,C,paired,p10_common_recovery,0.95,1.30030377466717
C8_g32_layer_functional,C,paired,p10_common_recovery,0.975,1.5937572442596495
C8_g32_layer_functional,C,paired,median_common_recovery,0.9,0.6188929369970115
C8_g32_layer_functional,C,paired,median_common_recovery,0.95,0.9485400259254577
C8_g32_layer_functional,C,paired,median_common_recovery,0.975,1.3402538625333686
C8_g32_layer_functional,C,paired,p90_common_recovery,0.9,0.35623119848478374
C8_g32_layer_functional,C,paired,p90_common_recovery,0.95,0.6200095145828964
C8_g32_layer_functional,C,paired,p90_common_recovery,0.975,0.9302296344283076
C8_g32_layer_functional,C,separate,p10_common_recovery,0.9,1.0621420191068
C8_g32_layer_functional,C,separate,p10_common_recovery,0.95,1.4561231547347464
C8_g32_layer_functional,C,separate,p10_common_recovery,0.975,1.7234242067005303
C8_g32_layer_functional,C,separate,median_common_recovery,0.9,0.751925728274081
C8_g32_layer_functional,C,separate,median_common_recovery,0.95,1.1570914150484033
C8_g32_layer_functional,C,separate,median_common_recovery,0.975,1.4565411708120224
C8_g32_layer_functional,C,separate,p90_common_recovery,0.9,0.436213760162966
C8_g32_layer_functional,C,separate,p90_common_recovery,0.95,0.7128015628929399
C8_g32_layer_functional,C,separate,p90_common_recovery,0.975,1.0923814754847376
D4_g16_layer_functional,D,paired,p10_common_recovery,0.9,0.9339400408575717
D4_g16_layer_functional,D,paired,p10_common_recovery,0.95,1.2875899105586737
D4_g16_layer_functional,D,paired,p10_common_recovery,0.975,1.5649430869829009
D4_g16_layer_functional,D,paired,median_common_recovery,0.9,0.6071580587572067
D4_g16_layer_functional,D,paired,median_common_recovery,0.95,0.9487174703310377
D4_g16_layer_functional,D,paired,median_common_recovery,0.975,1.329952149480766
D4_g16_layer_functional,D,paired,p90_common_recovery,0.9,0.36643797995451227
D4_g16_layer_functional,D,paired,p90_common_recovery,0.95,0.5778851559824763
D4_g16_layer_functional,D,paired,p90_common_recovery,0.975,0.9403818945539466
D4_g16_layer_functional,D,separate,p10_common_recovery,0.9,1.1314138124800532
D4_g16_layer_functional,D,separate,p10_common_recovery,0.95,1.4737521223752965
D4_g16_layer_functional,D,separate,p10_common_recovery,0.975,1.7332479479215788
D4_g16_layer_functional,D,separate,median_common_recovery,0.9,0.729064989069736
D4_g16_layer_functional,D,separate,median_common_recovery,0.95,1.115310178275883
D4_g16_layer_functional,D,separate,median_common_recovery,0.975,1.4366576705842309
D4_g16_layer_functional,D,separate,p90_common_recovery,0.9,0.39137324059048545
D4_g16_layer_functional,D,separate,p90_common_recovery,0.95,0.6792329634019868
D4_g16_layer_functional,D,separate,p90_common_recovery,0.975,1.0587171494334442
E16_g64_layer_functional,E,paired,p10_common_recovery,0.9,1.0141122735979122
E16_g64_layer_functional,E,paired,p10_common_recovery,0.95,1.3920073855961437
E16_g64_layer_functional,E,paired,p10_common_recovery,0.975,1.6792631130143323
E16_g64_layer_functional,E,paired,median_common_recovery,0.9,0.6551031931743632
E16_g64_layer_functional,E,paired,median_common_recovery,0.95,0.9941691581944316
E16_g64_layer_functional,E,paired,median_common_recovery,0.975,1.310218982061034
E16_g64_layer_functional,E,paired,p90_common_recovery,0.9,0.37912472573826383
E16_g64_layer_functional,E,paired,p90_common_recovery,0.95,0.597944287328408
E16_g64_layer_functional,E,paired,p90_common_recovery,0.975,0.9845641753573127
E16_g64_layer_functional,E,separate,p10_common_recovery,0.9,1.1538553510117375
E16_g64_layer_functional,E,separate,p10_common_recovery,0.95,1.4878796443981366
E16_g64_layer_functional,E,separate,p10_common_recovery,0.975,1.7411977631700806
E16_g64_layer_functional,E,separate,median_common_recovery,0.9,0.7762244944452935
E16_g64_layer_functional,E,separate,median_common_recovery,0.95,1.1642506286714691
E16_g64_layer_functional,E,separate,median_common_recovery,0.975,1.4724225088761278
E16_g64_layer_functional,E,separate,p90_common_recovery,0.9,0.44875153725919725
E16_g64_layer_functional,E,separate,p90_common_recovery,0.95,0.7214229742778436
E16_g64_layer_functional,E,separate,p90_common_recovery,0.975,1.132135676468657
E64_g64_layer_functional,E,paired,p10_common_recovery,0.9,0.9476528628001251
E64_g64_layer_functional,E,paired,p10_common_recovery,0.95,1.3133618037495798
E64_g64_layer_functional,E,paired,p10_common_recovery,0.975,1.6291803615465708
E64_g64_layer_functional,E,paired,median_common_recovery,0.9,0.6118897893131816
E64_g64_layer_functional,E,paired,median_common_recovery,0.95,0.9829634631741737
E64_g64_layer_functional,E,paired,median_common_recovery,0.975,1.317283850944933
E64_g64_layer_functional,E,paired,p90_common_recovery,0.9,0.3608763566793886
E64_g64_layer_functional,E,paired,p90_common_recovery,0.95,0.5431438427905112
E64_g64_layer_functional,E,paired,p90_common_recovery,0.975,0.9107785402241417
E64_g64_layer_functional,E,separate,p10_common_recovery,0.9,1.1123593679830877
E64_g64_layer_functional,E,separate,p10_common_recovery,0.95,1.4570643943550738
E64_g64_layer_functional,E,separate,p10_common_recovery,0.975,1.7213351081063988
E64_g64_layer_functional,E,separate,median_common_recovery,0.9,0.7456807865417451
E64_g64_layer_functional,E,separate,median_common_recovery,0.95,1.165928624137793
E64_g64_layer_functional,E,separate,median_common_recovery,0.975,1.4738836887848208
E64_g64_layer_functional,E,separate,p90_common_recovery,0.9,0.43260316785778186
E64_g64_layer_functional,E,separate,p90_common_recovery,0.95,0.7435033098456005
E64_g64_layer_functional,E,separate,p90_common_recovery,0.975,1.0979432606985728
baseline_pr4_2p25,baseline,paired,p10_common_recovery,0.9,1.0303762749718197
baseline_pr4_2p25,baseline,paired,p10_common_recovery,0.95,1.395146468680353
baseline_pr4_2p25,baseline,paired,p10_common_recovery,0.975,1.671044826460549
baseline_pr4_2p25,baseline,paired,median_common_recovery,0.9,0.6922964023850728
baseline_pr4_2p25,baseline,paired,median_common_recovery,0.95,1.0471738738560707
baseline_pr4_2p25,baseline,paired,median_common_recovery,0.975,1.3708638053075235
baseline_pr4_2p25,baseline,paired,p90_common_recovery,0.9,0.43103044707834703
baseline_pr4_2p25,baseline,paired,p90_common_recovery,0.95,0.6839226146688172
baseline_pr4_2p25,baseline,paired,p90_common_recovery,0.975,1.035234895445989
baseline_pr4_2p25,baseline,separate,p10_common_recovery,0.9,1.231811069122219
baseline_pr4_2p25,baseline,separate,p10_common_recovery,0.95,1.5452802766476221
baseline_pr4_2p25,baseline,separate,p10_common_recovery,0.975,1.7726401383284545
baseline_pr4_2p25,baseline,separate,median_common_recovery,0.9,0.9067498758590783
baseline_pr4_2p25,baseline,separate,median_common_recovery,0.95,1.2366354983692447
baseline_pr4_2p25,baseline,separate,median_common_recovery,0.975,1.497410170914883
baseline_pr4_2p25,baseline,separate,p90_common_recovery,0.9,0.5220511945026306
baseline_pr4_2p25,baseline,separate,p90_common_recovery,0.95,0.899131796196317
baseline_pr4_2p25,baseline,separate,p90_common_recovery,0.975,1.229920746873239
