projection,family_id,zero_fraction,half_fraction,sign_imbalance,abs_mean,variance,max_rms_ratio,scale_exponent,activation_weighted_importance,layer,stratum_cold,stratum_median,stratum_hot,leaf_00_fraction,leaf_01_fraction,leaf_02_fraction,leaf_03_fraction,leaf_04_fraction,leaf_05_fraction,leaf_06_fraction,leaf_07_fraction,leaf_08_fraction,leaf_09_fraction,leaf_10_fraction,leaf_11_fraction,leaf_12_fraction,leaf_13_fraction,leaf_14_fraction,leaf_15_fraction
down,0,0.1878795423630004,0.1712070054411193,-0.011570167022787377,1.6882924844539449,5.024548040954139,2.4415438757464436,-7.867761368052856,0.3230977832387172,15.045666537116206,0.276331130975515,0.3672755538282161,0.35639331519626893,0.09402023416245628,0.08506303439564711,0.06490478041197047,0.047855737465993003,0.06892185678196658,0.07144809075009716,0.04876967547609794,0.015054168286047415,0.09385930820054411,0.08614397104547221,0.06461329187718616,0.048705912359113875,0.06190184123591139,0.06922245433346289,0.05891408375437233,0.020601559463661098
down,1,0.18389209591474245,0.1791612583686296,0.016413175386148286,1.443432760623036,3.6398118539396607,2.5845777405987573,-7.63943161634103,0.4517765265140592,16.48763492280366,0.34991119005328597,0.31315753518240197,0.33693127476431206,0.09109424101653231,0.0904537846700369,0.0802619893428064,0.06298674682333652,0.06000222024866785,0.06057009154256046,0.04727848749829212,0.01308238830441317,0.09279785489821014,0.0887074736985927,0.08428832490777428,0.0673418499795054,0.09610260964612652,0.03834198661019265,0.021442478480666757,0.005247472332285831
down,2,0.177844024122807,0.13144873903508772,0.0029900590024352467,1.6805132949561403,4.717553764477111,2.4170496029289144,-7.876535087719298,0.5932204987916313,15.443640350877192,0.3767543859649123,0.3317982456140351,0.2914473684210526,0.08052357456140351,0.053008497807017545,0.060903234649122805,0.08882949561403508,0.0798108552631579,0.06965460526315789,0.0458813048245614,0.013665021929824562,0.09732044956140351,0.07844024122807018,0.07083333333333333,0.057743969298245615,0.07291666666666667,0.06834566885964913,0.04725877192982456,0.014864309210526316
down,3,0.24402409484956655,0.16461626721060682,0.06732477849694746,1.4593957164711882,4.006598146274222,2.5662076805149763,-7.694033656297807,0.8156558942728406,16.71800101988781,0.4528301886792453,0.27536970933197347,0.27180010198878124,0.13629844467108618,0.08640362060173382,0.07150369709331973,0.05510581336053034,0.06598992860785313,0.06243625701172871,0.04589495155532891,0.014071264660887303,0.10772565017848036,0.07821264660887302,0.05567950025497195,0.038883222845486995,0.086116777154513,0.05276325854156043,0.03319416114227435,0.009720805711371749
down,4,0.16150725649488026,0.13189948802572565,0.00995452199339194,1.8163768299906913,5.507074189991115,2.3765938031024776,-7.954810865701955,0.3836506061942006,14.772700346957773,0.2923753913852924,0.37716848607937714,0.33045612253533047,0.08039001015486164,0.06609122450706609,0.07158913006685284,0.06692159600575442,0.058832085131590085,0.06886794448675637,0.06520531860878395,0.02554053482271304,0.08111724634001861,0.06580826351865955,0.07110518744182111,0.0670511762714733,0.06943386646356943,0.0731546712363544,0.05162054667005162,0.017271198273673523
down,5,0.1666934152604549,0.18724206713132796,0.027655640813112236,1.4431401320616288,3.530534773649578,2.548792701058762,-7.620322817314747,0.4562988466742772,18.180117388114454,0.3220836390315481,0.32831988261188555,0.3495964783565664,0.09658726155539252,0.08237802641232575,0.08864292920029347,0.0835186628760088,0.08198826118855466,0.052136830520909755,0.03196074834922964,0.0071533382245047685,0.07010615370506236,0.1048640407190022,0.07426173881144534,0.052136830520909755,0.08436697542186354,0.050984730374174614,0.03159391049156273,0.007319561628760088
down,6,0.28637251795521756,0.12183143219264893,-0.04070853775700008,1.7068876742712293,6.041739176535435,2.6207797984609535,-8.06759611322349,0.4566883849748843,13.108153781157583,0.44148711449091677,0.24503591043514997,0.31347697507393324,0.14323246725813266,0.06059885931558935,0.05680978031263202,0.05036702577101817,0.03690061258977609,0.040570870299957755,0.040623679763413606,0.05737748204478243,0.1431400506970849,0.06123257287705957,0.05743029150823828,0.04985213350232361,0.06055925221799747,0.06131178707224334,0.05294148711449092,0.027051647655259824
down,7,0.19451133489005643,0.181060274372446,-0.058426286049122665,1.474654602062658,3.8563140019945514,2.555557043897106,-7.686904066939094,0.22261884814698646,17.057598754621523,0.3103716676396186,0.33236038139715895,0.3572679509632224,0.11180433936563534,0.09478984238178634,0.06525467016929364,0.04238421871959525,0.0877237789453201,0.051931309593306094,0.030684471687098657,0.00788091068301226,0.0827069955244211,0.08627043199065966,0.08350968087176494,0.07038699163261335,0.06800325938898619,0.06160610040863981,0.04313217552052929,0.011930823117338004
down,8,0.17668653231752274,0.13507618579503564,0.0015331936233430746,1.6509431064143525,4.565904768716208,2.4312455240178386,-7.846153846153846,0.612825229495806,15.652248709756696,0.3914966822315065,0.32735315802408455,0.28115015974440893,0.09714456869009584,0.07918868272302777,0.07169298353403784,0.05917455148685181,0.07567123371835832,0.06792977390022119,0.045857397394937334,0.013470754485131482,0.07954196362742688,0.05588750307200786,0.0624692799213566,0.09210647579257802,0.0796341238633571,0.06396688375522241,0.0429082698451708,0.013355554190218727
down,9,0.2665753934495959,0.12610325393449595,0.0457496382267388,1.7658576137813697,6.290521736096342,2.551777553020868,-8.073160357294768,0.4498856188211082,14.023394300297745,0.4640578477243726,0.23054019566142067,0.3054019566142067,0.13472990216928965,0.0629120586984262,0.05788760102084219,0.05263717566992769,0.061011271799234365,0.06273925988940876,0.05500319013185878,0.029654934070608253,0.13184549128030626,0.06319119523606975,0.05623936622713739,0.05044396001701404,0.038042322415993195,0.042840812420246704,0.0418306039982986,0.05899085495533815
down,10,0.17626972146474484,0.18238094078691078,-0.04384191037242216,1.440820388585898,3.547325666284208,2.539722349353927,-7.623100895987534,0.5713048878838114,18.347876899104012,0.3365796649785742,0.3153486560186989,0.3480716790027269,0.07225116867939228,0.09967861316712115,0.07215986560186989,0.04959583171016751,0.08205711920529801,0.05175667121153097,0.032485634982469806,0.007145987534086482,0.10401855278535255,0.08270232761978964,0.08872224386443318,0.08112582781456953,0.08256232956758862,0.05395403194390339,0.03261345929100117,0.007170335021425789
down,11,0.19431089743589744,0.23024338942307693,0.018306626155892798,1.2150524172008548,2.62233636318109,2.7420081480637064,-7.306356837606837,0.5007179882336265,20.564102564102566,0.4011752136752137,0.2622863247863248,0.33653846153846156,0.08986044337606838,0.11255508814102565,0.0908203125,0.06379373664529915,0.08580395299145299,0.031149839743589744,0.022511017628205128,0.003722622863247863,0.10445045405982906,0.11768830128205128,0.08148871527777778,0.05398637820512821,0.08550347222222222,0.031032986111111112,0.022193843482905984,0.00343883547008547
down,12,0.19117822527351494,0.13689514648652618,-0.009584471239421051,1.8169365867537999,5.850904544690552,2.441722366951471,-7.983552390043322,0.27429480846086624,14.517952859975034,0.30721785740509583,0.3519347969748146,0.34084734562008956,0.09590002937073207,0.06820205227990307,0.06555409721712313,0.059168257581320216,0.07175178060063148,0.06779361553711727,0.050221657243556796,0.018955595124458477,0.09527819590278287,0.0686930942066231,0.06610250385490858,0.0589089690873045,0.04905600631470739,0.05713295763271899,0.06749302445113445,0.0397881635949776
down,13,0.205157900528169,0.14818992077464788,0.005452522960792908,1.7644049845950704,5.684614348075759,2.4740557124916935,-7.955193661971831,0.2531350716673944,14.263204225352112,0.30158450704225354,0.34815140845070425,0.3502640845070423,0.10322678257042253,0.07426001320422536,0.06376540492957747,0.0523712588028169,0.04742242517605634,0.05448393485915493,0.06604038292253521,0.03964568661971831,0.10193111795774648,0.07392990757042253,0.06433208626760563,0.053375330105633806,0.07362731073943662,0.06627420774647887,0.04735090228873239,0.01796324823943662
down,14,0.23162053396152335,0.15626226933647427,0.07502693125177455,1.5009999509226541,4.137980670427218,2.525639735346548,-7.747153513937966,0.6672756571907635,15.876325088339222,0.4193168433451119,0.29250098154691795,0.2881821751079702,0.09799519042010207,0.08137023949744798,0.07792255594817432,0.06610718492343934,0.07365282685512367,0.06062279151943463,0.040280231645072634,0.011741755005889282,0.13362534354142128,0.0748920298390263,0.05288084020416176,0.03856252453867295,0.07337063211621515,0.0637637416568512,0.0414948959560267,0.011717216332940714
down,15,0.18487087326943558,0.1749866879659212,-0.018294942548825514,1.4424587326943556,3.639435979813251,2.5964998547461016,-7.640651148638369,0.5006068555014798,16.605811653734975,0.35204624980982807,0.3255743191845428,0.3223794310056291,0.09067872356610376,0.0872461204929256,0.084811919975658,0.06881370759166286,0.09563745626045946,0.03760174197474517,0.021560740909782442,0.004963486992240986,0.09419214970333181,0.08774056747299559,0.08223984481971702,0.06494370911303819,0.059809067396926825,0.05879640194736041,0.04731001825650388,0.013654343526547999
gate,0,0.6209411335206921,0.07946217005565659,-0.004154802183733186,0.7377131895079077,2.0781797288291455,1.0313839831023517,-17.129332672067008,0.032204254643512085,7.251942469829724,0.3357028709979611,0.26660054003416545,0.39769658896787347,0.5995670772028434,0.04009443709704083,0.034490893811649305,0.026862222405907313,0.04413263900369207,0.025706728384857002,0.01313061387557172,0.003151347330137213,0.02137405631784868,0.03936773295861575,0.034263583512426296,0.027809348652669864,0.02379697746183942,0.02666935306111203,0.027347839863338292,0.012235149060450763
gate,1,0.12927524429967427,0.17999651000465333,-0.05726652287104995,1.7238904723127035,4.813356025876861,2.3627257675501068,-7.694276407631457,0.08655755246925162,15.23220102373197,0.37831549557933924,0.38762214983713356,0.23406235458352723,0.042127152163797116,0.08810784085621219,0.06071137738483015,0.04314506747324337,0.07939739413680781,0.07278094462540717,0.05175372266170312,0.014687063750581666,0.08714809213587715,0.09188866914844114,0.08240751512331317,0.06767682643089809,0.08804967426710097,0.07097778036295951,0.04580618892508143,0.013334690553745929
gate,2,0.11575098907309721,0.2053680764883195,-0.040339126140119516,1.6282027128862095,4.264774647348342,2.373272936440269,-7.599849284099473,0.07105680850022857,16.99095704596835,0.29860587792012055,0.36002260738507913,0.3413715146948003,0.06386586284853052,0.1088039280331575,0.0694764977392615,0.04284805953278071,0.08122762810851544,0.0697944140919367,0.043207187264506404,0.009066503391107763,0.05188512622456669,0.09656414845516202,0.08813347776940467,0.0707246137905049,0.08440679163526751,0.0681989449886963,0.042853946872645064,0.008942869253956293
gate,3,0.06717928446239427,0.1448220681246666,-0.003112861498959652,2.1547176236378878,7.042018512195906,2.205755180814031,-7.955193172292921,0.07236328045248115,16.583479387335213,0.2934542406461937,0.3600548655033148,0.3464908938504915,0.03245018288501105,0.07199192257867866,0.07269679189209784,0.06923435952145089,0.07528766288196297,0.0814767012116132,0.06628867255962813,0.027937590489979427,0.03472910157738322,0.07283014554598796,0.0735326335441591,0.06890335670197363,0.06195229749295131,0.07260153928217633,0.07457326830755162,0.04351377352739465
gate,4,0.11098788141095,0.21219703527375028,0.034111185497554965,1.5060288628002596,3.6207231275190703,2.5091810708075886,-7.4159272884657,0.11894932561618209,20.128543605280242,0.3499242588184376,0.3380220731443411,0.3120536680372214,0.05385062756979009,0.10577391257303614,0.09122754814975113,0.071014120320277,0.06807238692923609,0.06321683618264445,0.04914385414412465,0.011550530188270937,0.057137253841159925,0.10642312270071413,0.08927315516122052,0.06770720623241723,0.1067139147370699,0.03724843107552478,0.017690975979225275,0.003956124215537762
gate,5,0.10788277511961722,0.18742822966507178,0.05356127266784027,1.7327063397129188,4.752491823041268,2.347064081744144,-7.690526315789474,0.07304684564337527,16.09416267942584,0.31923444976076554,0.36229665071770334,0.3184688995215311,0.06580143540669857,0.08827751196172248,0.09009569377990431,0.07575956937799043,0.08293660287081339,0.07473086124401913,0.04608253588516746,0.01194377990430622,0.04208133971291866,0.09915071770334928,0.06409688995215311,0.04050239234449761,0.08056818181818182,0.0753409090909091,0.04930023923444976,0.013331339712918661
gate,6,0.12318722943722944,0.1724702380952381,-0.014135358625525375,2.0678977272727272,6.996160967938311,2.2662635576673402,-7.894805194805195,0.09354338939409942,16.289610389610388,0.354978354978355,0.36796536796536794,0.27705627705627706,0.06364989177489178,0.0849025974025974,0.057278138528138525,0.04063852813852814,0.07284902597402597,0.07786796536796536,0.06818181818181818,0.030451839826839827,0.05953733766233766,0.0875676406926407,0.06189123376623377,0.04695616883116883,0.05693993506493507,0.07041396103896104,0.0770021645021645,0.04387175324675325
gate,7,0.09898121034651049,0.19768027086383602,-0.018506030882576515,1.4834141654465594,3.3424062137780624,2.4418628227425647,-7.371156661786237,0.11850211830262056,21.403367496339676,0.39921913128355296,0.3077110785749146,0.29306979014153245,0.05906082235236701,0.1075677159590044,0.08941861883845778,0.06292703757930698,0.09694515617374329,0.05082509760858955,0.03022816007808687,0.0045143972669594926,0.039920387994143484,0.09011255490483162,0.09728831137140068,0.09278153977550024,0.102923682284041,0.04551000488042948,0.02614842606149341,0.003828086871644705
gate,8,0.07961785460452837,0.16423621687480963,0.008411308091047407,1.8966551172707888,5.543281579189512,2.356167117645685,-7.790537110366535,0.07281733760377593,16.052289572545437,0.30124885775205607,0.36775307137780483,0.3309980708701391,0.03862701797136765,0.08165486343791248,0.07990976241242766,0.07126358005888923,0.06086912376891055,0.07025142146410804,0.06831911869225302,0.031830642704843135,0.04099083663316073,0.08258135343689715,0.08009061833688699,0.07021651944359833,0.09927086506244288,0.07123502386029039,0.04200934104985278,0.010879911666159
gate,9,0.10811091340450771,0.1989620403321471,0.03531415055743857,1.5058867141162515,3.519655318616548,2.4380399092236447,-7.419454329774615,0.10031410013558782,20.36773428232503,0.38434163701067614,0.31506524317912216,0.30059311981020165,0.03612099644128114,0.0884267497034401,0.09753113879003558,0.09111061684460262,0.09512900355871887,0.05368475682087782,0.030345492289442468,0.005360320284697509,0.07198991696322657,0.110535290628707,0.08045670225385528,0.05507858837485172,0.0947879596678529,0.0535364768683274,0.03067170818505338,0.005234282325029656
gate,10,0.062132623071271126,0.1446393583149645,-0.006548526697562683,1.9529145236345824,5.5601002106677075,2.2410996440225976,-7.840313494979182,0.09885784731484772,15.080088170462895,0.3441097232427137,0.38035758021062943,0.27553269654665685,0.03745713935831496,0.08751989958363948,0.07835078373744796,0.0635715160421259,0.08449669360764143,0.08129745285329415,0.0538742958608866,0.016838109233406808,0.02467548371295616,0.057119458731325005,0.07067413666421749,0.10154910604947343,0.08391501347048738,0.08380020818025961,0.056958731325006125,0.01790197158951751
gate,11,0.10405183379266483,0.21005140979436082,-0.03268551933196768,1.4779752755988975,3.4004554772796536,2.481277102834723,-7.362942548229807,0.10405641146502931,21.12995548017808,0.35276658893364427,0.32923468306126774,0.317998728005088,0.05017092431630273,0.10680119779520882,0.09155050879796481,0.07152983888064447,0.10686744753020988,0.03584773160907356,0.017483305066779732,0.003173362306550774,0.05388090947636209,0.103250211999152,0.09433299766800933,0.07580294678821285,0.0775254398982404,0.06212237651049396,0.04178370786516854,0.007877093491626033
gate,12,0.06492882658584109,0.14875378869885256,-0.008945869163459562,1.8696619939380819,5.130053430802121,2.282029047469655,-7.780471963628491,0.08005793959764858,15.412210435159125,0.35029227105434074,0.37085949339683916,0.2788482355488201,0.03798847153063434,0.06191139857111929,0.0748809266074908,0.10188217146568522,0.0913414700151548,0.07328426066248106,0.04659423035289024,0.013409287724615717,0.026940355055206755,0.08684239012773327,0.08416323879627625,0.06965793461788265,0.08381143104568088,0.07822986577181208,0.05356273002814462,0.015499837627192033
gate,13,0.07995650183150182,0.1580651491365777,0.02921203449154328,2.2486917844060703,8.08573871255233,2.2030123450692445,-7.956567242281528,0.10207906660822291,19.75039246467818,0.3762428048142334,0.32234432234432236,0.30141287284144425,0.04001504447933019,0.07850111198325484,0.0708153453689168,0.06383274463631607,0.07636708529565672,0.07794512035583465,0.06796180010465724,0.03785648874934589,0.03994145735217164,0.07956403715332287,0.06922095761381476,0.06309687336473051,0.04384157509157509,0.0535223704866562,0.05984268707482993,0.0776753008895866
