candidate,design,level,stratification,stratum,count,p10_relative_error,median_relative_error,p90_relative_error,summed_damage,median_own_recovery
A_vector_functional,A,2,layer,0,99,0.27469919323921205,0.3270537257194519,0.3574751436710358,133.90173139236867,0.0
A_vector_functional,A,2,layer,4,123,0.2601124107837677,0.3290014863014221,0.3776910722255707,730.7219910882413,0.0
A_vector_functional,A,2,layer,20,117,0.15332829356193542,0.3643842935562134,0.4083171010017395,4765.695126345381,0.0
A_vector_functional,A,2,layer,39,117,0.18984469175338745,0.24184486269950867,0.35858426690101625,4183.0085554122925,0.0
A_vector_functional,A,3,layer,0,99,0.13746674060821534,0.16646002233028412,0.19255370497703553,34.42228262894787,0.7371670007705688
A_vector_functional,A,3,layer,4,123,0.1307027518749237,0.16997654736042023,0.200800359249115,194.3034819867462,0.7342351078987122
A_vector_functional,A,3,layer,20,117,0.054465784877538684,0.19609205424785614,0.214824116230011,692.3434590091929,0.7380610704421997
A_vector_functional,A,3,layer,39,117,0.0858914777636528,0.11682858318090439,0.19028992652893068,990.4639657139778,0.7632770538330078
A_vector_functional,A,4,layer,0,99,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,4,layer,4,123,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,4,layer,20,117,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,4,layer,39,117,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,2,layer,0,99,0.27668827772140503,0.3261345624923706,0.3581915616989136,135.216263204813,0.0
A_vector_functional_shrunk,A,2,layer,4,123,0.2588180661201477,0.3284437954425812,0.377921998500824,729.6755818910897,0.0
A_vector_functional_shrunk,A,2,layer,20,117,0.16823635399341583,0.3657565116882324,0.4057675004005432,5497.878887319937,0.0
A_vector_functional_shrunk,A,2,layer,39,117,0.18994112610816954,0.24325449764728546,0.35855624079704285,4208.105996608734,0.0
A_vector_functional_shrunk,A,3,layer,0,99,0.1368198126554489,0.16620130836963654,0.19256848096847534,34.537591266445816,0.7411625981330872
A_vector_functional_shrunk,A,3,layer,4,123,0.13107804954051971,0.16971151530742645,0.2010056346654892,193.70151739474386,0.7346389293670654
A_vector_functional_shrunk,A,3,layer,20,117,0.05517003014683723,0.19528676569461823,0.2145262897014618,705.2959755915217,0.7433407306671143
A_vector_functional_shrunk,A,3,layer,39,117,0.08690118938684463,0.11738457530736923,0.19057604372501374,993.3841376900673,0.7630083560943604
A_vector_functional_shrunk,A,4,layer,0,99,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,4,layer,4,123,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,4,layer,20,117,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,4,layer,39,117,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,2,layer,0,99,0.2445395976305008,0.2884688675403595,0.33327033519744875,105.594931576401,0.0
B16_g32_cluster_functional,B,2,layer,4,123,0.2338426411151886,0.30179038643836975,0.35008843541145324,622.722168982029,0.0
B16_g32_cluster_functional,B,2,layer,20,117,0.13986609280109405,0.31887543201446533,0.3770075738430024,4229.982537282631,0.0
B16_g32_cluster_functional,B,2,layer,39,117,0.1624513864517212,0.21293580532073975,0.32894947528839114,3097.7306413650513,0.0
B16_g32_cluster_functional,B,3,layer,0,99,0.1266824096441269,0.1564750075340271,0.1843489021062851,30.943327193846926,0.6990848779678345
B16_g32_cluster_functional,B,3,layer,4,123,0.12943992614746094,0.16717377305030823,0.194753235578537,186.4804100226611,0.702039361000061
