source_id,method_id,cohort,budget_bpw,n,recovery_p10,recovery_median,recovery_p90,physical_bytes_min,physical_bytes_median,physical_bytes_max,logical_bytes_min,logical_bytes_median,logical_bytes_max,page_amplification_p10,page_amplification_median,page_amplification_p90,physical_bpw_median,logical_bpw_median,resident_bpw_reported,suffix_storage_bpw,evidence_class
pr6_paired_hybrid,pr6_exact_training_separate,difficult_4_20_39,0.75,72,0.742963761228863,0.831840046080495,0.917603494711411,163840,294912,294912,163840,294912,294912,1,1,1,0.75,0.75,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,difficult_4_20_39,1,72,0.835097845966302,0.892560229360732,0.945116148164453,360448,393216,393216,360448,393216,393216,1,1,1,1,1,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,difficult_4_20_39,1.25,72,0.898479873541992,0.93279911236053,0.974188374849778,458752,491520,491520,458752,491520,491520,1,1,1,1.25,1.25,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,difficult_4_20_39,1.5,72,0.93657017204596,0.962097579422245,0.986297221917659,557056,589824,589824,557056,589824,589824,1,1,1,1.5,1.5,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,difficult_4_20_39,2,72,0.999999999998589,0.999999999999287,0.999999999999639,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,0.5,85,0.722092028136678,0.815859373462937,0.929495550273866,163840,196608,196608,163840,196608,196608,1,1,1,0.5,0.5,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,0.75,85,0.809696506132878,0.880862882019359,0.959006025639513,262144,294912,294912,262144,294912,294912,1,1,1,0.75,0.75,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,1,85,0.855258562372891,0.920027391678661,0.968947554783769,327680,393216,393216,327680,393216,393216,1,1,1,1,1,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,1.25,85,0.899018696516713,0.942083381420157,0.97477966663053,425984,491520,491520,425984,491520,491520,1,1,1,1.25,1.25,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,1.5,85,0.934980197711734,0.966927524173625,0.989422446842726,557056,589824,589824,557056,589824,589824,1,1,1,1.5,1.5,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,all_four,2,85,0.999999999999023,0.999999999999519,0.999999999999754,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,0.5,72,0.708597959277887,0.802880619414096,0.90867886357805,163840,196608,196608,163840,196608,196608,1,1,1,0.5,0.5,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,0.75,72,0.80169187524774,0.873356437577132,0.956385732725916,294912,294912,294912,294912,294912,294912,1,1,1,0.75,0.75,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,1,72,0.852224110820792,0.910014263829781,0.966250389785599,327680,393216,393216,327680,393216,393216,1,1,1,1,1,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,1.25,72,0.896664731946892,0.935961884497344,0.974143513185497,458752,491520,491520,458752,491520,491520,1,1,1,1.25,1.25,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,1.5,72,0.933557188923948,0.962623274967748,0.987673466380605,557056,589824,589824,557056,589824,589824,1,1,1,1.5,1.5,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_paired,difficult_4_20_39,2,72,0.999999999998971,0.999999999999476,0.999999999999757,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,2,H0_full_Gram_selector_fixed_paired_representation
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,0.5,85,0.722092028136678,0.818531223600795,0.931840096167777,196608,196608,196608,196608,196608,196608,1,1,1,0.5,0.5,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
