candidate,design,packet,budget_bpw,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_own_recovery,median_own_recovery,p90_own_recovery,p10_damage,median_damage,p90_damage,median_logical_bpw,median_physical_bpw,median_page_amplification,median_gate_bytes,median_up_bytes,median_down_bytes,median_gate_q2_q3,median_up_q2_q3,median_down_q2_q3,median_gate_q3_q4,median_up_q3_q4,median_down_q3_q4
A_vector_functional,A,paired,0.25,152,0.5387808918998208,0.7333000260028579,0.8441496056158299,0.5107369538157313,0.6726860340974328,0.805795360707844,0.012629583571106199,0.09843341633677483,6.669021987915042,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
A_vector_functional,A,paired,0.5,152,0.7555003818930779,0.8588992367968289,0.929323540812046,0.732685327839051,0.83369047345039,0.9163674999997361,0.005743137141689658,0.059450551867485046,3.614181876182557,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
A_vector_functional,A,paired,0.75,152,0.8476024446084264,0.9196785999010196,0.9624926210193047,0.8373786501327327,0.9067236278966286,0.9487540091222646,0.003323661955073476,0.03389597870409489,2.0258656144142155,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
A_vector_functional,A,paired,1.0,152,0.903723391710125,0.946517291169569,0.9755810755064647,0.888096898719589,0.9377244871176932,0.9712693206086624,0.0021305799251422285,0.020449736155569553,1.28605672121048,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
A_vector_functional,A,paired,1.25,152,0.9375828514529526,0.9691761404188859,0.9860471896543619,0.9286892140965926,0.9634412374671881,0.9837340640652291,0.0012745429994538426,0.012027105782181025,0.8041413486003877,1.25,1.25,1.0,163840.0,196608.0,98304.0,1280.0,1536.0,192.0,1280.0,1536.0,192.0
A_vector_functional,A,paired,1.5,152,0.9663928524461164,0.9839301330458133,0.997708871866304,0.9591760508700471,0.9798759525845069,0.9969563821830798,0.0001720111002214253,0.007464428432285786,0.4149930447340012,1.5,1.5,1.0,262144.0,262144.0,131072.0,2048.0,2048.0,256.0,2048.0,2048.0,256.0
A_vector_functional,A,paired,2.0,152,0.999999999998426,0.9999999999992812,0.9999999999996655,0.9999999999981214,0.9999999999991493,0.9999999999995605,3.9049169239390065e-14,2.772372175580129e-13,1.7064685949030883e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
A_vector_functional,A,separate,0.25,152,0.509720559732971,0.6764680148149814,0.8094338162026564,0.45074668545357327,0.6064461833326971,0.7558006941576113,0.01794331539422274,0.12152297049760818,8.056685161590579,0.25,0.25,1.0,32768.0,32768.0,32768.0,456.0,456.0,95.0,56.0,40.0,36.0
A_vector_functional,A,separate,0.5,152,0.691516835188506,0.8313506201035236,0.9080380395759221,0.6718712240575507,0.7906130855147759,0.8863353143239339,0.007537604169920087,0.06680947542190552,4.8474523067474395,0.5,0.5,1.0,65536.0,65536.0,65536.0,864.0,880.0,176.0,128.0,120.0,84.0
A_vector_functional,A,separate,0.75,152,0.8096852526848427,0.8903721896011638,0.9470175613271087,0.7918794887679693,0.8744151735876796,0.928620743308267,0.004480194672942162,0.04254336096346378,2.879029226303101,0.75,0.75,1.0,98304.0,98304.0,98304.0,1256.0,1240.0,249.0,260.0,256.0,140.0
A_vector_functional,A,separate,1.0,152,0.8751170412233147,0.9315488495540263,0.9658457126531198,0.8553891529027629,0.9201578424041741,0.957599281895555,0.002954747620970011,0.025852837599813938,1.8285532474517827,1.0,1.0,1.0,131072.0,131072.0,131072.0,1576.0,1552.0,305.0,484.0,496.0,181.0
A_vector_functional,A,separate,1.25,152,0.9158162360597886,0.9572717302302602,0.9796874474043913,0.9038829174581322,0.951172498357083,0.9762639412936114,0.0017648721695877612,0.01588901411741972,1.060711741447449,1.25,1.25,1.0,163840.0,196608.0,131072.0,1792.0,1912.0,316.0,768.0,1120.0,204.0
A_vector_functional,A,separate,1.5,152,0.9512151937250202,0.9777951076482679,0.9912207962608811,0.9469287912044575,0.9732735074438332,0.9879029283339568,0.0008363682834897191,0.009311172179877758,0.6818636119365697,1.5,1.5,1.0,229376.0,229376.0,163840.0,2008.0,2032.0,357.0,1560.0,1592.0,258.0
A_vector_functional,A,separate,2.0,152,0.999999999998426,0.9999999999992812,0.9999999999996655,0.9999999999981214,0.9999999999991493,0.9999999999995605,3.9049169239390065e-14,2.772372175580129e-13,1.7064685949030883e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_cluster_functional,B,paired,0.25,152,0.617164517235742,0.7560442930318005,0.8808609402516566,0.4861602747090468,0.6520919000942581,0.7824309320939504,0.011109221167862416,0.08624878525733948,5.842689132690433,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
B16_g32_cluster_functional,B,paired,0.5,152,0.7769692995126194,0.8810506144280532,0.9466818255383388,0.7079040081654994,0.8224144716918256,0.9041646250500103,0.004803390381857753,0.04897824488580227,3.4933426380157484,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
B16_g32_cluster_functional,B,paired,0.75,152,0.8726592609604412,0.9275365377637301,0.9662174073285236,0.8002745218510312,0.8878724503632689,0.949102167823753,0.002891723439097405,0.028955135494470596,2.0102203845977793,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
B16_g32_cluster_functional,B,paired,1.0,152,0.9090999189138643,0.9560629959072133,0.9787525449580572,0.868490812102305,0.9322407246682014,0.9653210248221783,0.0020144659793004394,0.017178301699459553,1.1183540821075444,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
B16_g32_cluster_functional,B,paired,1.25,152,0.9423426463611154,0.9728660902727164,0.9875018126397098,0.9206078495755432,0.9607097055514867,0.9805452369011959,0.001133035763632506,0.011188215110450983,0.6696567773818974,1.25,1.25,1.0,163840.0,196608.0,131072.0,1280.0,1536.0,256.0,1280.0,1536.0,256.0
B16_g32_cluster_functional,B,paired,1.5,152,0.9665914037233794,0.9855990057408406,0.9977515639603546,0.9528528781532629,0.9804031945484852,0.996858978391853,0.0001356270062387921,0.006887444294989109,0.34525277614593514,1.5,1.5,1.0,229376.0,262144.0,131072.0,1792.0,2048.0,256.0,1792.0,2048.0,256.0
B16_g32_cluster_functional,B,paired,2.0,152,0.999999999998794,0.9999999999993906,0.9999999999996906,0.9999999999978261,0.9999999999990693,0.9999999999995532,2.5241962993004415e-14,2.431192725436959e-13,1.5549378624968305e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_cluster_functional,B,separate,0.25,152,0.5534036525623205,0.7169997427780499,0.8488454792272582,0.44173753315041264,0.5796737998222621,0.7199408150628631,0.013738361280411483,0.10070741921663284,6.934038209915166,0.25,0.25,1.0,32768.0,32768.0,32768.0,436.0,464.0,92.0,48.0,40.0,44.0
B16_g32_cluster_functional,B,separate,0.5,152,0.7282453200918557,0.8452966916893889,0.9270639128132199,0.6320208838164534,0.7654403700748156,0.8672011407516939,0.006935247872024775,0.061332818120718,3.90123565196991,0.5,0.5,1.0,65536.0,65536.0,65536.0,840.0,848.0,180.0,128.0,124.0,108.0
B16_g32_cluster_functional,B,separate,0.75,152,0.8206854816148285,0.9027990635182529,0.9586393160783078,0.7532131481043925,0.8566654312336051,0.923306970176463,0.004182335268706083,0.03792126476764679,2.6881073474884043,0.75,0.75,1.0,98304.0,98304.0,98304.0,1172.0,1244.0,243.0,264.0,288.0,149.0
B16_g32_cluster_functional,B,separate,1.0,152,0.8801911611806613,0.9339566869866992,0.9693483880387768,0.8312632846258868,0.907875000437111,0.9517839461476824,0.0025547794764861466,0.025381935760378838,1.4951980471611035,1.0,1.0,1.0,131072.0,131072.0,131072.0,1492.0,1552.0,283.0,488.0,536.0,196.0
B16_g32_cluster_functional,B,separate,1.25,152,0.927368561741659,0.9615020352496513,0.9818604674955425,0.8828128197773422,0.9465662887560939,0.9705977815227363,0.001647379412315786,0.014561779797077179,0.9262456059455871,1.25,1.25,1.0,163840.0,196608.0,131072.0,1736.0,1900.0,309.0,772.0,1108.0,225.0
B16_g32_cluster_functional,B,separate,1.5,152,0.957453224813025,0.9781940337734361,0.9905584411198706,0.9353043647383472,0.9678782729839038,0.9851395961948375,0.0007996731961611659,0.008991228882223368,0.5055213660001757,1.5,1.5,1.0,229376.0,229376.0,131072.0,2008.0,2016.0,316.0,1568.0,1576.0,246.0
B16_g32_cluster_functional,B,separate,2.0,152,0.999999999998794,0.9999999999993906,0.9999999999996906,0.9999999999978261,0.9999999999990693,0.9999999999995532,2.5555277430875172e-14,2.431192725436959e-13,1.5549378624968305e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_expert_functional,B,paired,0.25,152,0.6153203270287567,0.7621534273068483,0.8917698717247333,0.49815562404568103,0.6547363891437794,0.7693167635552589,0.009834688249975444,0.08551931008696556,6.456819057464606,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
B16_g32_expert_functional,B,paired,0.5,152,0.7749666202536689,0.8784400520294221,0.9513125008446512,0.6975180791967117,0.8295586652455686,0.9033443704474956,0.0047296330798417335,0.046393658965826035,3.1241895675659186,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
