mean_budget_pages_per_expert,charged_bpw,injection_layer,observation_layer,layer_distance,requests,sequence_tokens,injected_positions,realized_delta_energy_all_tokens,hidden_error_energy_all_tokens,propagation_coefficient_all_tokens,propagation_coefficient_captured_positions,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_churn,route_top1_agreement,route_ordered_top8_agreement,baseline_capture_hidden_mse,baseline_capture_hidden_max_abs,baseline_capture_route_churn
384,0.5234781901041666,0,0,0,3,44,32,3.333822948142773e-05,3.333822948142773e-05,1.0,1.0,1.6278432363978383e-08,2.9948068442797618e-05,1.7288851866813605e-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0
384,0.5234781901041666,0,1,1,3,44,32,3.333822948142773e-05,0.0001246598110614369,3.739245094910729,3.6198410724373407,6.086904836984224e-08,6.686690938684723e-05,3.890816487138334e-05,7.324319510527965e-05,0.005681818181818199,1.0,0.8863636363636364,2.8418794994035e-08,0.00390625,0.0
384,0.5234781901041666,0,2,2,3,44,32,3.333822948142773e-05,0.00022906861555714966,6.8710492164786565,6.423892083417359,1.1184990994001448e-07,5.946237877481812e-05,3.657407922550376e-05,9.420474430998938e-05,0.014204545454545452,1.0,0.8636363636363636,1.5045807163039837e-07,0.015625,0.005681818181818199
384,0.5234781901041666,0,3,3,3,44,32,3.333822948142773e-05,0.0005647874420240194,16.94113487156403,16.246810604854545,2.757751181757907e-07,0.0001770373561130754,9.982195754705925e-05,0.00010775455727581643,0.005681818181818172,1.0,0.8409090909090909,3.721081785630757e-07,0.015625,0.002840909090909091
384,0.5234781901041666,0,4,4,3,44,32,3.333822948142773e-05,0.0007724990159865476,23.171566936897364,21.84315082170862,3.7719678514968147e-07,0.00020897688942591666,0.00011156243696846333,0.00014114099568876722,0.014204545454545435,0.9772727272727273,0.7727272727272727,5.001006001839866e-07,0.015625,0.011363636363636381
384,0.5234781901041666,0,5,5,3,44,32,3.333822948142773e-05,0.0013817169495847668,41.44542080000087,36.109888136856625,6.746664792894369e-07,0.00027431423470874544,0.00016588103276592286,0.00013766480325917314,0.01704545454545456,0.9772727272727273,0.6136363636363636,9.339925678924549e-07,0.01953125,0.011363636363636381
384,0.5234781901041666,0,6,6,3,44,32,3.333822948142773e-05,0.0020538757963467187,61.60722474752011,48.61320819552009,1.0028690411849213e-06,0.00037107557609320803,6.581893269593595e-05,0.0001536111007857482,0.011363636363636371,1.0,0.6590909090909091,1.5199604018745205e-06,0.0625,0.008522727272727263
384,0.5234781901041666,0,7,7,3,44,32,3.333822948142773e-05,0.0030438126840305235,91.3009698288324,69.07255644468152,1.486236662124279e-06,0.0007083128675213617,0.00020257212692346098,0.00022589941423123845,0.017045454545454537,1.0,0.7045454545454546,2.3756410591642534e-06,0.0625,0.017045454545454555
384,0.5234781901041666,0,8,8,3,44,32,3.333822948142773e-05,0.0036704924064410575,110.09860042165222,81.17187159692502,1.7922326203325476e-06,0.000752284130104739,0.00025464245646638424,0.000244461102575381,0.014204545454545463,0.9772727272727273,0.5909090909090909,2.8689674067247397e-06,0.0625,0.02556818181818182
384,0.5234781901041666,0,9,9,3,44,32,3.333822948142773e-05,0.005353566849723021,160.5834182857677,129.20949829443074,2.6140463133413188e-06,0.0009071168638407876,0.0003285964189575976,0.0002614941532903035,0.02272727272727274,1.0,0.5909090909090909,3.3929577499611985e-06,0.0625,0.01988636363636364
384,0.5234781901041666,0,10,10,3,44,32,3.333822948142773e-05,0.007418554306075914,222.52394387676432,187.77589355637414,3.6223409697636297e-06,0.0008668161546591858,3.282763315883639e-05,0.0003281371583703385,0.03409090909090909,0.9545454545454546,0.5,5.230908264400566e-06,0.25,0.03409090909090909
384,0.5234781901041666,0,11,11,3,44,32,3.333822948142773e-05,0.010501159968787926,314.9885321485947,271.21802798186684,5.1275195160097295e-06,0.0013377812149325083,4.5714685293743196e-05,0.0004458260088914411,0.02840909090909093,1.0,0.5227272727272727,6.347956869167216e-06,0.25,0.022727272727272728
384,0.5234781901041666,0,12,12,3,44,32,3.333822948142773e-05,0.010826342346909067,324.7425707756998,283.4038001122104,5.286299974076693e-06,0.0013846280420336048,4.674068378870209e-05,0.0004666031255011969,0.022727272727272704,1.0,0.5681818181818182,6.338484107745987e-06,0.25,0.02556818181818182
