mean_budget_pages_per_expert,charged_bpw,injection_layer,requests,label_tokens,delta_nll,delta_nll_ci_low,delta_nll_ci_high,ppl_ratio,ppl_ratio_ci_low,ppl_ratio_ci_high,logit_kl,logit_kl_ci_low,logit_kl_ci_high,top1_agreement,realized_delta_energy_all_tokens
384,0.5234781901041666,0,3,41,-0.012245728595108989,-0.025103091523689107,0.016541741059274823,0.9878289452167598,0.9752093710259842,1.0166793131718541,0.0026823925726278154,0.0019216144762205015,0.0032506582320184075,1.0,3.333822948142773e-05
384,0.5234781901041666,1,3,41,0.013044542005256834,-0.018173804975300634,0.03865639644203635,1.013129993196287,0.9819903427181145,1.0394132761849024,0.004551537093504339,0.0018098328720415023,0.007089599159038168,0.975609756097561,0.00033426755891762856
384,0.5234781901041666,2,3,41,-0.002789666064741633,-0.030247372346927395,0.01369421845501672,0.9972142214378499,0.9702055018491355,1.0137884137504172,0.002183331772560124,0.0019303232456524216,0.002487925270165517,1.0,0.0004210683941129952
384,0.5234781901041666,3,3,41,0.01339413545330515,0.008101609293110813,0.01860698160322401,1.013484238721279,1.0081345161357784,1.018781170182696,0.0017768825965463414,0.000977746955381124,0.002509739441596973,0.975609756097561,0.0006332331176576066
384,0.5234781901041666,4,3,41,0.011265902402064433,-0.009081095986361198,0.0372411575325567,1.0113296016656816,0.990960012634573,1.0379432985035728,0.0036370967124664845,0.0018470417693683837,0.0062132294947228025,0.975609756097561,0.0009453739811368807
384,0.5234781901041666,5,3,41,0.0023856700960965516,-0.03697706552197003,0.04026951101266268,1.0023885180713263,0.9636982370116517,1.0410913219617897,0.002951964403504721,0.0012935387000120868,0.004159156884848928,0.975609756097561,0.00116006326906644
384,0.5234781901041666,6,3,41,-0.00042345155397475104,-0.016804386191074272,0.025400997327742186,0.9995766380889809,0.9833360199268886,1.0257263515936224,0.0030735527705365016,0.001588641399886833,0.004328964139918097,0.975609756097561,0.001184207526094383
384,0.5234781901041666,7,3,41,-0.0018685510442772025,-0.02839311560931268,0.013924242320274635,0.9981331936103974,0.9720061808824904,1.0140216361022267,0.0029272929150324653,0.001880889559115375,0.004688072178794205,0.975609756097561,0.001776588336720796
384,0.5234781901041666,8,3,41,-0.018377383361393645,-0.03552836733927554,-0.006675373911046971,0.9817904510564863,0.9650953566542724,0.993346856903541,0.0019123835510122394,0.0013832600087503098,0.0022325179479106487,1.0,0.0018144326923491246
384,0.5234781901041666,9,3,41,0.007202070031380679,0.0035711391318100044,0.011854281501827657,1.0072280673116847,1.0035775232464177,1.0119248219566916,0.001819755005877615,0.0017426695898692505,0.001966274704453865,0.975609756097561,0.0020095863671708066
384,0.5234781901041666,10,3,41,-0.024728783989590934,-0.036345522367414826,-0.013545342233425592,0.9755744675658125,0.9643070462607151,0.9865459831053374,0.002679991426509165,0.0019972072962303345,0.0034585853795616943,1.0,0.001864719050518912
384,0.5234781901041666,11,3,41,0.011395258033641636,-0.000517480489304963,0.024658270822395374,1.0114604313066309,0.9994826533806307,1.024964800292238,0.002051915854569498,0.0017149574237860668,0.0022904931973109543,1.0,0.002038365556884
384,0.5234781901041666,12,3,41,0.02500927313449149,0.007875611188304118,0.03935161357877944,1.0253246284535218,1.0079067053891098,1.040136145353066,0.00206688003143947,0.0015178934624029158,0.0023754010197435597,1.0,0.0018297973206929637
384,0.5234781901041666,13,3,41,0.015281587010355693,-0.017459708209457858,0.035166951237960355,1.015398947517324,0.9826918292807718,1.0357926212256336,0.0018597189068340614,0.001202917462627151,0.0023767822278292824,0.975609756097561,0.0023616047801373404
384,0.5234781901041666,14,3,41,-0.005218290057355451,-0.03024167872190109,0.0106020985211804,0.9947953015662506,0.9702110258511872,1.0106584999158588,0.0020641688263848554,0.0010003746425117069,0.002975861479497698,0.975609756097561,0.0023801829235129512
384,0.5234781901041666,15,3,41,-0.00013584495725100896,-0.02104511162291871,0.016216664956279676,0.9998641642692574,0.979174791409144,1.0163488687354372,0.0015687575477475607,0.0010784588854206869,0.0019079274280484008,1.0,0.002482666994570983
384,0.5234781901041666,16,3,41,0.010517830234934224,-0.006798441519395,0.038755299463811115,1.0105733370444057,0.9932246156037283,1.039516082382628,0.001599996865102823,0.0014911403732643955,0.0016677136490656802,0.975609756097561,0.0023134417543724858
384,0.5234781901041666,17,3,41,3.812023751259011e-05,-0.0179288120237772,0.028973647480688442,1.000038120964098,0.9822309529032407,1.0293974669010666,0.002483478712568164,0.0012779618673981676,0.0037093647685196825,1.0,0.0023050741137314967
384,0.5234781901041666,18,3,41,-0.0001886836889577416,-0.020642059229435954,0.02474067406395471,0.99981133411069,0.9795695296972216,1.0250492641942681,0.001706553445601171,0.001207758259175407,0.001922417166246152,1.0,0.0022403996652674866
384,0.5234781901041666,19,3,41,-0.01758377382910659,-0.029212564129152224,-0.007164043702913807,0.9825699185726685,0.9712099981162388,0.9928615568871128,0.001366745879377607,0.0012046068550828801,0.00147127490651785,1.0,0.0029233712807245574
384,0.5234781901041666,20,3,41,-0.00243181357619037,-0.029884185330139108,0.013468825855497357,0.9975711408870578,0.9705579318861566,1.013559939093695,0.0014605513457097135,0.0010530351215355647,0.0019146940744193396,1.0,0.0027173404705154976
384,0.5234781901041666,21,3,41,-0.01627365733039151,-0.02858965511093577,-2.045395235050762e-05,0.9838580432465802,0.9718151620441137,0.9999795462568302,0.0013240421733107164,0.0010250445219154775,0.0017356678074792143,1.0,0.002368662778765634
384,0.5234781901041666,22,3,41,0.012253898716633784,0.0034926118202087053,0.02278305005458729,1.012329285345519,1.0034987180957524,1.0230445660067644,0.0012620067019311232,0.0008620803767657451,0.0016797293062100396,1.0,0.0029806831526432054
384,0.5234781901041666,23,3,41,0.011160686712085635,0.0005245954357081454,0.017571327845945537,1.0112231995215322,1.0005247330599583,1.0177266118088808,0.0012112977242676494,0.0006322394850648167,0.0019209779417725264,1.0,0.0027157581439522264
384,0.5234781901041666,24,3,41,-0.002416677728666749,-0.004295121470727129,0.0003082665544837937,0.9975862400860095,0.9957140893715495,1.0003083140735007,0.0017612769244342665,0.0009714237600957924,0.0028658457379183585,1.0,0.002333860717013439
384,0.5234781901041666,25,3,41,0.004361484675900324,0.0029146419845660987,0.0062783357686451895,1.004371009793039,1.0029188936832383,1.0062980858295276,0.0014007574608865462,0.0008389903528219896,0.0017597526428249828,1.0,0.0031739175801939593
384,0.5234781901041666,26,3,41,-0.010830826999350122,-0.027133096450435903,0.0013155340207485248,0.9892276152245583,0.9732316992190997,1.0013163997152037,0.0012910367511937719,0.0011239734608291714,0.0014708810637497954,1.0,0.0029582233798415495
384,0.5234781901041666,27,3,41,-0.007589995774087368,-0.01292418320593954,0.0009373995297527434,0.9924387355077822,0.9871589754119162,1.000937839026009,0.0013733501078219339,0.0012734319270306493,0.0014948581301011624,1.0,0.0034212851844792817
384,0.5234781901041666,28,3,41,0.004248777774972229,-0.026107543151417664,0.023558182217405133,1.0042578166280884,0.9742303121768245,1.0238378681711635,0.0013913880804839263,0.0011775088455033135,0.0015962051235451124,1.0,0.0042259229963535335
384,0.5234781901041666,29,3,41,0.0008303061865649587,-0.01562358602589408,0.020574960501530497,1.0008306509861697,0.9844978290588619,1.0207880841620671,0.0013118288910277862,0.0009883230024591426,0.0015872977926039509,1.0,0.004662340071848867
384,0.5234781901041666,30,3,41,0.006620246717573612,0.0025897359585742258,0.010158814135042604,1.006642208989344,1.0025930922213946,1.0102105900661846,0.0008441500661238163,0.0007295858355913328,0.0009349713480909702,1.0,0.005097748950132344
384,0.5234781901041666,31,3,41,-0.010484109871919977,-0.014885163857765045,-0.0019071469653140956,0.98957065684745,0.9852250725536278,0.998094670483895,0.0008155595711647935,0.000641434627315122,0.0010121659303509044,1.0,0.007753328658566261
384,0.5234781901041666,32,3,41,0.00043745454063409006,-0.004475874999568437,0.008162067972849891,1.0004375502378255,0.9955341268011034,1.0081954684601533,0.0011925871312524073,0.0006871612547288032,0.0017592838518352529,1.0,0.008945710548224562
384,0.5234781901041666,33,3,41,0.001866054490331341,-0.018198198469017452,0.015347671889653722,1.0018677966535003,0.9819663888350201,1.0154660522514896,0.0010606775415172508,0.0009235562080147206,0.0011742446298999847,1.0,0.012439538616449268
384,0.5234781901041666,34,3,41,0.002445716308667041,-0.010490569441994271,0.01441815730314128,1.0024487095124766,0.989564264667094,1.0145226002879228,0.0013389822228865983,0.00113538548142122,0.0016898219306710357,1.0,0.015136269230383319
384,0.5234781901041666,35,3,41,-0.0011880593763631102,-0.013460173710249042,0.010838176236932031,0.9988126460867728,0.9866300093479089,1.0108971220314975,0.0007570974201369009,0.0005261394277337008,0.0009222772787560162,1.0,0.016097068906885295
384,0.5234781901041666,36,3,41,0.001773971978152796,-0.008580347290698143,0.017783532665344975,1.0017755463972966,0.9914563588303374,1.017942601216924,0.0007915492686692585,0.0006918029502204311,0.000855284400866435,1.0,0.017964966283614426
384,0.5234781901041666,37,3,41,-0.005260893373039453,-0.014377602889317132,0.0028491397068588498,0.9947529208907621,0.9857252612729895,1.0028532023628354,0.0002951423103056817,0.00020431129380911074,0.0004240349823005051,1.0,0.022483143181349616
384,0.5234781901041666,38,3,41,-0.010405828801253543,-0.01649496187064159,-0.006287281036438941,0.9896481245300551,0.983640335085439,0.9937324425574023,0.0005115219237124444,0.0004313390586296675,0.0005982967840365586,1.0,0.025611615133879117
384,0.5234781901041666,39,3,41,0.0010565920917061735,-0.004670770002995302,0.004889109140693547,1.0010571504817765,0.9953401210800359,1.0049010803363312,0.000702080740029874,0.0004400568634484824,0.0008555768973402759,0.975609756097561,0.02835485322616581
749,0.9987386067708334,0,3,41,0.009555631213068282,-0.009359001381737666,0.02098236268738584,1.0096014320259914,0.9906846577635338,1.0212040401837927,0.0026487030355933404,0.001332687251882519,0.003650110381541714,1.0,3.568193882567475e-07
749,0.9987386067708334,1,3,41,0.025265280570333348,0.01415571883009381,0.031800429572451626,1.0255871527852143,1.0142563854598656,1.0323114659055028,0.0025482694402763706,0.0014898028065540615,0.004122847069555918,1.0,4.228330149948854e-05
749,0.9987386067708334,2,3,41,-0.0030996293088369122,-0.01827486614946367,0.010950543447265204,0.9969051695825473,0.9818911066356046,1.0110107201032639,0.0021798124447336632,0.0014347093406579324,0.003126351863715774,1.0,5.364354463110505e-05
749,0.9987386067708334,3,3,41,-0.002979296234509764,-0.03328464344158836,0.01991044636975185,0.997025137464323,0.9672631952757432,1.0201099813839825,0.0027858863871707104,0.0019759465864844557,0.003421278460038295,1.0,8.620583736776685e-05
