layer,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery,gate_bpw,up_bpw,down_bpw
0,0.0,67,0.0,0.0,0.0,0.0,0.0,0.0
0,0.25,67,0.6546901722109262,0.35672175621264546,0.9134135492725127,0.09375,0.1875,0.46875
0,0.5,67,0.7528569629908028,0.4868814679201222,0.9422600569015532,0.1875,0.28125,0.75
0,0.75,67,0.8282721849574448,0.5460134200259327,0.9683939436719572,0.5,0.5,1.0
0,1.0,67,0.8934995899491928,0.58497568696481,0.9799713984990749,0.75,0.75,1.25
0,1.25,67,0.9308694399878696,0.6404178494165018,0.990012962913975,1.0,1.25,1.5
0,1.5,67,0.9563334892956885,0.6836513606952512,0.9927471288785022,1.0,1.25,2.0
0,2.0,67,0.974453041076192,0.7497423892979629,0.9956589596428025,1.5,1.5,3.0
0,2.5,67,0.9831410631916734,0.8133010401288029,0.9972427064992282,2.0,2.0,3.96875
0,3.0,67,0.9880988506507618,0.8712930346185803,0.9986135636769683,2.5,2.5,4.0
0,4.0,67,0.9915302676462939,0.927055985945887,0.999262563828641,4.0,4.0,4.0
4,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0
4,0.25,17,0.4072291647511673,0.2598032599870385,0.6791205296030713,0.1875,0.15625,0.25
4,0.5,17,0.5067762494021294,0.3373380151786427,0.749810409084539,0.28125,0.28125,0.5
4,0.75,17,0.5867814581686787,0.38648569481482287,0.793217625755735,0.5,0.5,1.0
4,1.0,17,0.6223027204455723,0.4261629246624298,0.826513830358801,0.71875,0.75,1.0
4,1.25,17,0.657864240820971,0.46536731563916145,0.8465358713304796,0.75,1.0,1.25
4,1.5,17,0.7013537887958399,0.5242943832581781,0.8566818789088624,1.0,1.5,1.25
4,2.0,17,0.7484458234531837,0.6143568435877151,0.8990826981676795,1.21875,2.0,1.5
4,2.5,17,0.8052810076066309,0.6665273090607289,0.9177965875502824,2.0,3.0,2.46875
4,3.0,17,0.851549661897052,0.7510189059166,0.9350677423421957,3.0,4.0,2.96875
4,4.0,17,0.8996437295637146,0.8296209793549925,0.955708256663602,4.0,4.0,4.0
10,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0
10,0.25,16,0.3512216686117229,0.23341814492826485,0.46693613798460076,0.09375,0.140625,0.375
10,0.5,16,0.44010345358392855,0.32340648561502555,0.5557495421902784,0.28125,0.28125,0.75
10,0.75,16,0.5032271449085753,0.4019670017302355,0.6109527729047739,0.28125,0.234375,1.21875
10,1.0,16,0.5564979218822257,0.45231079318512096,0.6900584367595503,0.75,1.0,1.484375
10,1.25,16,0.6026447225430952,0.5179452237209465,0.7146324729878618,0.875,1.0,1.75
10,1.5,16,0.6598902956149173,0.5563350747326175,0.7311172344182151,0.75,1.25,2.484375
10,2.0,16,0.7151377212604764,0.6191118798528763,0.7868199927450071,1.375,1.125,2.75
10,2.5,16,0.7542505588431124,0.6864205058376068,0.8249790140924464,2.25,2.25,2.75
10,3.0,16,0.8012426210331257,0.701267230446435,0.8702064252912223,2.75,3.0,3.5
10,4.0,16,0.837339934365533,0.7996531545316788,0.9124888080739986,4.0,4.0,4.0
20,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0
20,0.25,40,0.3263323210218595,0.21964431464682432,0.5140926187877778,0.171875,0.1875,0.46875
20,0.5,40,0.42453332310236525,0.3214545484358712,0.5882995876062171,0.1875,0.375,0.71875
20,0.75,40,0.47593984696903663,0.3570696463779045,0.6315137045698329,0.5,0.5,0.96875
20,1.0,40,0.5228674422634765,0.3934338397805895,0.6791682627953525,0.75,0.75,1.25
20,1.25,40,0.5507731145180139,0.43122248037603506,0.7099466036810298,0.75,0.984375,1.5
20,1.5,40,0.5870649180364925,0.48237873866377673,0.7331238755775038,0.859375,1.0,1.984375
20,2.0,40,0.6637496361361873,0.5289231003202668,0.8074564473728371,1.5,1.25,2.234375
20,2.5,40,0.7265221525210308,0.5871932736082924,0.8530711087246141,2.5,2.5,2.734375
20,3.0,40,0.7549831522665613,0.6560028235110761,0.8738235168362329,3.0,3.0,3.5
20,4.0,40,0.8241872024568143,0.710945470557147,0.9221251102525413,4.0,4.0,4.0
30,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0
30,0.25,17,0.3633036280864972,0.2589155570524771,0.5430477077227089,0.1875,0.1875,0.28125
30,0.5,17,0.4224797051573238,0.33891500262741486,0.6696935399121393,0.09375,0.25,0.96875
30,0.75,17,0.4748713676897858,0.386178756055393,0.7181085567854689,0.5,0.28125,1.21875
30,1.0,17,0.53903863645302,0.41440291118890954,0.7313903943413657,0.75,0.75,1.25
30,1.25,17,0.5824240875464848,0.4378155149537935,0.761585596122462,1.0,1.0,1.5
30,1.5,17,0.615175245473107,0.4801380320932241,0.7997963166501489,0.75,1.5,2.0
30,2.0,17,0.703394629984804,0.5667551377744701,0.824735100865394,1.0,1.5,2.5
30,2.5,17,0.744485534814092,0.6360227999145123,0.8579985700053622,1.5,2.0,3.96875
30,3.0,17,0.7911589274170568,0.6893380371926893,0.8732382235822184,1.0,3.0,4.0
30,4.0,17,0.8412908248639349,0.7838300454887704,0.9301051544277801,4.0,4.0,4.0
39,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0
39,0.25,60,0.5039879580538144,0.29487623417462216,0.7462280883952644,0.1875,0.1875,0.28125
39,0.5,60,0.5746334898427345,0.3831444112490576,0.7986736648822408,0.1875,0.28125,0.96875
39,0.75,60,0.6153349018759521,0.42107632529301947,0.8350732115883406,0.28125,0.5,1.234375
39,1.0,60,0.6701168696455607,0.4736289855480116,0.867651576705603,0.5,0.5,1.5
39,1.25,60,0.703039259699833,0.48209595819865364,0.8794242147090536,0.5,0.5,2.234375
39,1.5,60,0.7261826943706953,0.5399622059776628,0.8863761742004292,0.875,0.859375,2.46875
39,2.0,60,0.7420820913270751,0.5964042931421552,0.9151753244889677,1.5,1.25,2.5
39,2.5,60,0.7924469725668315,0.6323839504828398,0.9263090557005577,2.0,2.0,3.0
39,3.0,60,0.8213955851950947,0.6829562782059628,0.9435791731325701,3.0,2.5,4.0
39,4.0,60,0.8628732423879126,0.738264597303208,0.9527826683033976,4.0,4.0,4.0
