left,right,budget_bpw,paired_invocations,mean_recovery_difference,recovery_difference_ci_low,recovery_difference_ci_high,median_relative_output_error_difference,median_base_damage_ratio_left_over_right
Q2_2.250488bpw,W1_1.250488bpw,0.0,167,0.0,0.0,0.0,-0.3158916234970093,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,0.25,167,0.05803425795716901,0.038627563564823796,0.07475238628234092,-0.2584732174873352,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,0.5,167,0.05991824743053168,0.044154797979067704,0.0767863359615508,-0.2425692081451416,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,0.75,167,0.05490740090694587,0.03926498802238277,0.07129815121646044,-0.23716163635253906,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,1.0,167,0.04967544758983949,0.0339800579249217,0.061621407569114175,-0.21351611614227295,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,1.25,167,0.047036919250051316,0.032094888490608195,0.0602031585224179,-0.19812515377998352,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,1.5,167,0.04216464074512653,0.027499715016881237,0.05529427650298415,-0.18569107353687286,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,2.0,167,0.034964839836142965,0.020821476400148906,0.04576165732853777,-0.1654677838087082,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,2.5,167,0.029260342305808092,0.01876178556391024,0.039175435795390214,-0.15636682510375977,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,3.0,167,0.026086828212170968,0.01430960846732327,0.03549420533294182,-0.13573509454727173,0.3881960541661831
Q2_2.250488bpw,W1_1.250488bpw,4.0,167,0.018312461925769942,0.011322842646880488,0.023496562923258628,-0.10439758002758026,0.3881960541661831
