layer,projection,basis,dimension,entropy_effective_rank,participation_rank,rank_at_0.5,rank_at_0.8,rank_at_0.9,rank_at_0.95,rank_at_0.99,energy_top_8,energy_top_16,energy_top_32,energy_top_64,energy_top_128,energy_top_256,energy_top_512,residual_column_norm_cv,residual_column_norm_gini,train_action_samples,concentration_dimension,concentration_entropy_effective_rank,concentration_participation_rank,concentration_rank_at_0.5,concentration_rank_at_0.8,concentration_rank_at_0.9,concentration_rank_at_0.95,concentration_rank_at_0.99,concentration_energy_top_8,concentration_energy_top_16,concentration_energy_top_32,concentration_energy_top_64,concentration_energy_top_128,concentration_energy_top_256,concentration_energy_top_512,concentration_median_atoms_score_0.8,concentration_p90_atoms_score_0.8,concentration_median_atoms_score_0.9,concentration_p90_atoms_score_0.9,concentration_median_atoms_score_0.95,concentration_p90_atoms_score_0.95,concentration_median_atoms_score_0.99,concentration_p90_atoms_score_0.99,mean_abs_coherence,p95_abs_coherence,max_abs_coherence
0,pre_moe_x,activation_covariance,823,48.858732434364335,6.237504364077917,5,104,199,278,411,0.5403734770789635,0.595176306942752,0.6575618714258621,0.7339398621684076,0.8312489651817273,0.9385939110969236,0.9977308703626081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,swiglu_h,activation_covariance,391,86.88128433740937,50.8094042515815,20,56,86,116,186,0.29995364442859074,0.455979220063653,0.6452156280200836,0.836233875560024,0.9625852674840369,0.9985721878813844,0.9999999999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,gate,native,391,40.93304650517162,13.935700866320726,6,36,68,101,174,0.5730388431850046,0.6740992199623734,0.7818988270106247,0.8922888689512493,0.9723722014317415,0.9987602706928104,1.0000000000000002,0.5249907970428467,0.19918921048094015,391.0,2048.0,383.2007568083619,53.37560716049186,48.0,544.0,1012.0,1411.0,1885.0,0.25455160212665234,0.34958957299217086,0.45047562467051444,0.529932160573204,0.6019914668317081,0.6886422480541725,0.7903523114649244,333.0,499.0,605.0,776.0,863.0,1012.0,1330.0,1429.0,0.05774056911468506,0.1415916383266449,0.4139488935470581
0,gate,pca,391,40.93304650517162,13.935700866320726,6,36,68,101,174,0.5730388431850046,0.6740992199623734,0.7818988270106247,0.8922888689512493,0.9723722014317415,0.9987602706928104,1.0000000000000002,0.5249907970428467,0.19918921048094015,391.0,2048.0,52.272686517671154,6.915210720738955,5.0,101.0,210.0,313.0,464.0,0.5340665242598269,0.5925299052072199,0.6690848019158635,0.7445901356616191,0.8336845701303065,0.9254771749352028,0.9951294885742944,21.0,75.0,74.0,132.0,141.0,194.0,301.0,343.0,0.05781630426645279,0.14166584610939026,0.458405077457428
0,gate,generalized,391,40.93304650517162,13.935700866320726,6,36,68,101,174,0.5730388431850046,0.6740992199623734,0.7818988270106247,0.8922888689512493,0.9723722014317415,0.9987602706928104,1.0000000000000002,0.5249907970428467,0.19918921048094015,391.0,2048.0,27.487806686849275,6.051464671764404,2.0,42.0,122.0,213.0,396.0,0.6599179451911359,0.7203769846534541,0.777821397492246,0.8400112576761407,0.9048748065062877,0.9642571543581548,0.9978845960583868,17.0,71.0,53.0,125.0,116.0,188.0,272.0,337.0,0.05314759910106659,0.13044056296348572,0.8790068626403809
0,up,native,391,77.9942375094429,38.21850257919032,15,57,89,121,192,0.3902004440319661,0.5140465383673076,0.6642335785995299,0.8311574807485369,0.9573679123663369,0.9982150062127706,1.0,0.23382438719272614,0.12968176712651017,391.0,2048.0,1074.848559612458,402.09028918603605,289.0,1080.0,1494.0,1743.0,1977.0,0.09012899228186864,0.15285987155403655,0.23516077032951524,0.3077490195417509,0.3850590305523367,0.4804271758745207,0.6098765080324215,364.0,549.0,638.0,816.0,895.0,1049.0,1352.0,1447.0,0.05674893781542778,0.13932673633098602,0.4562394320964813
0,up,pca,391,77.9942375094429,38.21850257919032,15,57,89,121,192,0.3902004440319661,0.5140465383673076,0.6642335785995299,0.8311574807485369,0.9573679123663369,0.9982150062127706,1.0,0.23382438719272614,0.12968176712651017,391.0,2048.0,86.0084169425968,11.72841080445898,14.0,128.0,242.0,339.0,476.0,0.43107386753347426,0.5230701945928682,0.6173599929405634,0.6994558290189384,0.8009427597727522,0.9087988664024474,0.9943014075218131,33.0,85.0,93.0,147.0,164.0,213.0,323.0,368.0,0.05699824169278145,0.1396295726299286,0.458482027053833
0,up,generalized,391,77.9942375094429,38.21850257919032,15,57,89,121,192,0.3902004440319661,0.5140465383673076,0.6642335785995299,0.8311574807485369,0.9573679123663369,0.9982150062127706,1.0,0.23382438719272614,0.12968176712651017,391.0,2048.0,71.77214799422575,11.118846299037207,11.0,95.0,189.0,284.0,441.0,0.4679723459207248,0.5551647620288557,0.6471494470937265,0.7431731051944411,0.8441128544104606,0.9382443058355966,0.9963881829166873,28.0,81.0,75.0,137.0,140.0,199.0,297.0,348.0,0.05278077349066734,0.12945671379566193,0.32464197278022766
0,down,native,391,99.46162877892488,60.65305539200449,22,63,96,130,207,0.2673595292698771,0.4167386807449565,0.607069748901135,0.8048166920548184,0.9485094708008027,0.9971593724617445,1.0,0.34505295753479004,0.18995559918665675,391.0,512.0,288.55911567122786,170.03250405946244,69.0,217.0,313.0,382.0,469.0,0.13962390784576503,0.22677215506635626,0.34410468458963867,0.48617953192437713,0.6564202800067678,0.8457127582386795,1.0000000000000009,17.0,44.0,35.0,77.0,57.0,115.0,114.0,196.0,0.03943932056427002,0.056695617735385895,1.0000001192092896
0,down,pca,391,99.46162877892488,60.65305539200449,22,63,96,130,207,0.2673595292698771,0.4167386807449565,0.607069748901135,0.8048166920548184,0.9485094708008027,0.9971593724617445,1.0,0.34505295753479004,0.18995559918665675,391.0,512.0,87.82436148298264,53.78160602205139,20.0,56.0,84.0,114.0,183.0,0.28632387076528876,0.4503113354577059,0.6405693995331678,0.8394850789274677,0.9647075490824539,0.9987865594431078,1.0000000000000002,28.0,57.0,50.0,88.0,78.0,121.0,144.0,193.0,0.05651061609387398,0.13997332751750946,0.370418518781662
0,down,generalized,391,99.46162877892488,60.65305539200449,22,63,96,130,207,0.2673595292698771,0.4167386807449565,0.607069748901135,0.8048166920548184,0.9485094708008027,0.9971593724617445,1.0,0.34505295753479004,0.18995559918665675,391.0,512.0,86.62336659151956,53.28696515153454,20.0,55.0,83.0,111.0,178.0,0.28538473484706506,0.45128244582480564,0.6446952611419552,0.844045637690012,0.966949638219032,0.9989468628848402,1.0000000000000016,28.0,58.0,49.0,89.0,75.0,121.0,142.0,188.0,0.04827064275741577,0.12015772610902786,0.386179655790329
20,pre_moe_x,activation_covariance,823,244.63567986229287,36.58835877775697,65,263,407,528,710,0.2604205543855075,0.3162526506064452,0.3943287777303692,0.4999032441876411,0.6343881930282196,0.7944443599926766,0.9449335145168358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,swiglu_h,activation_covariance,943,266.49991421506286,160.80056271607506,66,186,269,339,445,0.14594127553583372,0.22691615841671664,0.3401665203147778,0.4952570984905571,0.6903672831246781,0.8878596220292835,0.9999999556339622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,gate,native,943,110.01519828972788,17.267776642717735,26,144,232,308,428,0.3894083488004017,0.44658936908392954,0.5278444371283485,0.6380054697769235,0.7762935660128286,0.919119172894971,0.9999998651855275,0.09160318970680237,0.04997398282947829,943.0,2048.0,1783.7944414582553,1234.097458799128,745.0,1446.0,1717.0,1868.0,2006.0,0.0440882153428429,0.06706539342213434,0.09374289422708955,0.12466422724381818,0.17072689115986614,0.2489050401609394,0.38629076062872403,603.0,624.0,869.0,893.0,1097.0,1121.0,1482.0,1502.0,0.03880465030670166,0.09560205787420273,0.38103291392326355
20,gate,pca,943,110.01519828972788,17.267776642717735,26,144,232,308,428,0.3894083488004017,0.44658936908392954,0.5278444371283485,0.6380054697769235,0.7762935660128286,0.919119172894971,0.9999998651855275,0.09160318970680237,0.04997398282947829,943.0,2048.0,146.0424517059747,14.776242769116921,38.0,224.0,378.0,507.0,701.0,0.36195765118052503,0.41343404902456016,0.481710638555644,0.579355753038714,0.6955164397542661,0.8256977881489118,0.9516637966610324,107.0,137.80000000000007,202.0,236.0,297.0,332.80000000000007,487.0,519.0,0.03866816312074661,0.09546394646167755,0.4977707862854004
20,gate,generalized,943,110.01519828972788,17.267776642717735,26,144,232,308,428,0.3894083488004017,0.44658936908392954,0.5278444371283485,0.6380054697769235,0.7762935660128286,0.919119172894971,0.9999998651855275,0.09160318970680237,0.04997398282947829,943.0,2048.0,125.11834699609763,12.643188916655939,30.0,198.0,345.0,473.0,679.0,0.3837532630850471,0.43965452805240707,0.511198577719012,0.6055810592636572,0.7218297735543174,0.8474258249106018,0.9608181817507417,100.0,140.0,189.0,239.80000000000007,286.0,337.0,476.0,522.0,0.034064166247844696,0.08367489278316498,0.30853599309921265
20,up,native,943,243.0489785364397,112.65502985300758,62,185,269,338,444,0.19573828999060724,0.2648985558511167,0.36562331174677504,0.5083514453770724,0.6935732826699471,0.8880471243903093,0.9999999362784915,0.08999241143465042,0.04867729934064983,943.0,2048.0,1832.0381668494765,1344.7483271156143,767.0,1456.0,1722.0,1870.0,2007.0,0.04026209691002348,0.05859136578798307,0.07918298029823434,0.10730317148877491,0.15318398548580892,0.23205098327016346,0.3725849840315213,609.0,630.8000000000001,876.0,899.0,1103.0,1126.0,1486.0,1505.0,0.036831848323345184,0.09039340913295746,0.22187012434005737
20,up,pca,943,243.0489785364397,112.65502985300758,62,185,269,338,444,0.19573828999060724,0.2648985558511167,0.36562331174677504,0.5083514453770724,0.6935732826699471,0.8880471243903093,0.9999999362784915,0.08999241143465042,0.04867729934064983,943.0,2048.0,304.6396662998011,72.27716228079393,74.0,279.0,425.0,544.0,718.0,0.2150123178995034,0.27304913640590794,0.3524298743003058,0.47188526913884843,0.6161673656965481,0.7797840667947528,0.938867091335513,139.0,164.0,236.0,267.0,330.0,362.0,511.0,540.0,0.036751631647348404,0.09026589244604111,0.22831588983535767
20,up,generalized,943,243.0489785364397,112.65502985300758,62,185,269,338,444,0.19573828999060724,0.2648985558511167,0.36562331174677504,0.5083514453770724,0.6935732826699471,0.8880471243903093,0.9999999362784915,0.08999241143465042,0.04867729934064983,943.0,2048.0,273.98862854199257,64.06659380645664,65.0,251.0,391.0,512.0,699.0,0.22857083823835342,0.2974747371608014,0.3792974209033164,0.4991261372077511,0.6445493322422965,0.8054399499471977,0.9501008373342431,127.0,158.0,222.0,256.80000000000007,315.0,351.0,499.0,533.0,0.033869482576847076,0.08320751786231995,0.2180348038673401
20,down,native,943,368.8763344894999,190.05107210722,82,259,398,525,748,0.13730653153743763,0.20990559981861356,0.30879152506975355,0.443431274848997,0.6129677182367491,0.7970554898006913,0.9462567408925646,0.04060228541493416,0.02200968283645599,943.0,512.0,443.80149685857356,357.432293143785,158.0,345.0,423.0,466.0,502.0,0.0730383115989455,0.1164585453952948,0.18400159153793522,0.28733195868550165,0.44231484617877065,0.6689624687800658,1.0,103.0,123.0,162.0,184.0,215.0,239.0,316.0,337.0,0.019070511683821678,0.04708084091544151,0.13122832775115967
20,down,pca,943,368.8763344894999,190.05107210722,82,259,398,525,748,0.13730653153743763,0.20990559981861356,0.30879152506975355,0.443431274848997,0.6129677182367491,0.7970554898006913,0.9462567408925646,0.04060228541493416,0.02200968283645599,943.0,512.0,270.11642861830785,164.72213863310373,67.0,188.0,271.0,340.0,445.0,0.14250382609507484,0.221919868949375,0.33422249676987364,0.4898360604985395,0.6860459025407156,0.8861031046968633,0.9999999999999989,113.0,142.0,174.0,207.0,231.0,265.0,338.0,363.0,0.019164100289344788,0.047185350209474564,0.10961444675922394
20,down,generalized,943,368.8763344894999,190.05107210722,82,259,398,525,748,0.13730653153743763,0.20990559981861356,0.30879152506975355,0.443431274848997,0.6129677182367491,0.7970554898006913,0.9462567408925646,0.04060228541493416,0.02200968283645599,943.0,512.0,268.0659919557148,163.7002576108904,66.0,186.0,269.0,338.0,444.0,0.14250625513427573,0.22235582733938644,0.33556628452380205,0.4928122212500139,0.689640165629642,0.8884879290272805,0.9999999999999998,112.0,141.0,173.0,205.0,230.0,263.0,338.0,363.0,0.01817459985613823,0.04468458518385887,0.10513986647129059
39,pre_moe_x,activation_covariance,823,168.11907152820925,19.008554987396618,42,228,374,501,697,0.33603853942391326,0.3923704215379906,0.46566240343008425,0.5625918329316609,0.6842327534462129,0.8247073744111053,0.9535594832272588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,swiglu_h,activation_covariance,614,78.07783682334241,24.896900094474248,12,68,128,191,320,0.4421810413485277,0.5457532265703217,0.6665121374848619,0.7901196860133013,0.9005373046836463,0.9766353726427683,0.9999999885019316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,gate,native,614,47.35881090912345,8.992917263371723,4,80,158,229,356,0.5790373784369309,0.6267374268179933,0.6888222103389935,0.7703847919777611,0.8697560305570018,0.9627468691260854,0.9999999669759648,0.15224960446357727,0.06637698390079594,614.0,2048.0,1698.4508016478433,1094.413014076823,664.0,1428.0,1720.0,1876.0,2010.0,0.047458950981473284,0.07384861674400828,0.10666507388602703,0.14961854032253347,0.20874691335166753,0.29468505712624815,0.43028702574479516,589.0,622.0,857.5,889.0,1086.0,1116.0,1476.5,1498.0,0.03966906666755676,0.09775999933481216,0.5525287389755249
39,gate,pca,614,47.35881090912345,8.992917263371723,4,80,158,229,356,0.5790373784369309,0.6267374268179933,0.6888222103389935,0.7703847919777611,0.8697560305570018,0.9627468691260854,0.9999999669759648,0.15224960446357727,0.06637698390079594,614.0,2048.0,38.80183355806525,4.197493971683108,2.0,119.0,277.0,423.0,661.0,0.5784183777457296,0.6241089886549552,0.6760217540822795,0.7366235162104134,0.8082802228744356,0.890772540564997,0.9694946028761673,60.0,102.0,144.0,195.0,241.0,291.0,442.5,488.0,0.04006935656070709,0.09843146055936813,0.5338032245635986
39,gate,generalized,614,47.35881090912345,8.992917263371723,4,80,158,229,356,0.5790373784369309,0.6267374268179933,0.6888222103389935,0.7703847919777611,0.8697560305570018,0.9627468691260854,0.9999999669759648,0.15224960446357727,0.06637698390079594,614.0,2048.0,37.82481308381896,4.194416365651832,2.0,113.0,260.0,401.0,641.0,0.5820633354311922,0.6275503430243692,0.6784505242043711,0.73975870070438,0.8143431825208408,0.8984530247207492,0.9735626919844917,56.0,107.70000000000005,134.5,200.0,224.0,297.0,429.0,491.70000000000005,0.03456985577940941,0.08508708328008652,0.6238626837730408
