layer,projection,best_basis,held_out_invocations,recovery_at_0.2,recovery_at_0.5,recovery_at_1.0,recovery_at_1.5,recovery_at_2.0,median_bpw_at_0.9,reach_fraction_0.9_by_4,median_bpw_at_0.95,reach_fraction_0.95_by_4,median_bpw_at_0.99,reach_fraction_0.99_by_4
0,gate,generalized,111,0.7914716473691572,0.888745926714426,0.9372625197983141,0.9587607091507887,0.9713409765053044,0.75,0.8738738738738738,1.5,0.8378378378378378,4.0,0.6216216216216216
0,up,generalized,111,0.6974426267611229,0.8280575858940626,0.9027010771182523,0.936356912445959,0.9601794866318911,1.0,0.8738738738738738,2.0,0.8288288288288288,,0.42342342342342343
0,down,native,111,0.5230325771730153,0.6857228934783957,0.7993018400485603,0.8690686590068304,0.8878449943752024,2.5,0.8468468468468469,4.0,0.6666666666666666,,0.1981981981981982
20,gate,generalized,136,0.4819126396502242,0.5504394333106115,0.604970886618307,0.642602327912671,0.6691439984185772,,0.029411764705882353,,0.014705882352941176,,0.0
20,up,generalized,136,0.2982397108432742,0.3888552423394843,0.4714365303864337,0.5253809831305258,0.5548146743061262,,0.014705882352941176,,0.007352941176470588,,0.0
20,down,native,136,0.2447891625829945,0.384835716236477,0.4707153645552745,0.530783229292869,0.5666640250257529,,0.03676470588235294,,0.0,,0.0
39,gate,generalized,153,0.6777259602020581,0.7238872961105978,0.7658274000073166,0.7821991569295831,0.7995387446575691,,0.24183006535947713,,0.0196078431372549,,0.0
39,up,generalized,153,0.4991247888988799,0.5658878291150853,0.623170234198779,0.6620386908026461,0.6885780310460923,,0.1111111111111111,,0.013071895424836602,,0.0
39,down,native,153,0.19938143822943832,0.32506472753851834,0.4713168615826495,0.5293699660568958,0.5863767680376839,,0.10457516339869281,,0.0392156862745098,,0.0
