resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
W1_1.250488bpw,all_generalized,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8363089561462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_1.250488bpw,all_generalized,0.25,167,16,0.4216407733263344,0.35339318631215055,0.48981115881479775,0.37260513203205003,0.29294507725304725,0.46498801631602543,0.16510917537259848,0.7798154722744697,0.8815914740045975,0.9347598606258591,0.7384093999862671,0.23958333333333334,0.1875,0.1875,0.28125,0.0718562874251497,0.005988023952095809,0.0,0.0
W1_1.250488bpw,all_generalized,0.5,167,16,0.5115942225698925,0.4387050318171568,0.5742463115342777,0.4792573753010815,0.38569309780882227,0.5635876098142871,0.2357908436647624,0.8697171946272038,0.7908349173810926,0.8757753857739947,0.6786998510360718,0.4791666666666667,0.1875,0.28125,0.75,0.15568862275449102,0.0658682634730539,0.0,0.0
W1_1.250488bpw,all_generalized,0.75,167,16,0.5672264473268481,0.5015877593246048,0.6325214588083845,0.5583601925262477,0.4652167938557628,0.6282678501748118,0.27894591510694294,0.9153482475836963,0.7513977266458093,0.8396148649726523,0.6528280973434448,0.7291666666666666,0.28125,0.5,1.21875,0.2155688622754491,0.11976047904191617,0.029940119760479042,0.0
W1_1.250488bpw,all_generalized,1.0,167,16,0.6122735286450666,0.5412428355737642,0.6736946370441766,0.6002118979772977,0.5341455889338959,0.6853922587305317,0.334874319110436,0.9351755601567088,0.7142203298999589,0.7969303779314696,0.6005599498748779,0.9791666666666666,0.5,0.5,1.5,0.24550898203592814,0.15568862275449102,0.08383233532934131,0.0
W1_1.250488bpw,all_generalized,1.25,167,16,0.6489702338231049,0.585928729632452,0.7065049991497063,0.6427515366937561,0.548204540227619,0.7322756742030176,0.3740486851777938,0.9567939350773359,0.684935310639033,0.7524695540448457,0.5695343613624573,1.2291666666666667,0.75,0.75,2.0,0.281437125748503,0.18562874251497005,0.11976047904191617,0.005988023952095809
W1_1.250488bpw,all_generalized,1.5,167,16,0.685346081208943,0.6238299204825071,0.741084982286902,0.6941411446540171,0.6163759430542373,0.7673001885061261,0.415810293893868,0.9630241084603641,0.6296695582274756,0.7234867029607911,0.5304389595985413,1.4895833333333333,0.75,0.75,2.5,0.3413173652694611,0.20958083832335328,0.1317365269461078,0.005988023952095809
W1_1.250488bpw,all_generalized,2.0,167,16,0.7428504229652106,0.6871534960397371,0.7944050341670461,0.7461045352811327,0.6674639439429747,0.8284808907074681,0.4951890685714174,0.9785129069258118,0.5706439563842541,0.6160242817620963,0.474670946598053,1.9895833333333333,1.25,1.25,3.0,0.46107784431137727,0.2874251497005988,0.19161676646706588,0.041916167664670656
W1_1.250488bpw,all_generalized,2.5,167,16,0.7824747342071572,0.7276886930977743,0.8312068692279356,0.7891944203244388,0.7237889068537084,0.8737228184657868,0.545265340861261,0.9864385569073028,0.5014749869086702,0.5830349976355828,0.4552951753139496,2.4895833333333335,2.0,2.0,4.0,0.49101796407185627,0.32934131736526945,0.24550898203592814,0.0658682634730539
W1_1.250488bpw,all_generalized,3.0,167,16,0.8183645306580007,0.7705340851695457,0.8601028684579822,0.8368049828407247,0.763759834038622,0.8929502960147713,0.6216044439242455,0.9898738137405048,0.4175132676210278,0.5388808695082813,0.4044419229030609,2.9895833333333335,2.5,2.5,4.0,0.5508982035928144,0.3652694610778443,0.2694610778443114,0.10179640718562874
W1_1.250488bpw,all_generalized,4.0,167,16,0.8566948507020943,0.8223029403522205,0.8889554127713346,0.8790516081595517,0.833059929875684,0.9359572809538182,0.6625784838128832,0.9916887240029927,0.3673009578378801,0.4313944498714698,0.3284381926059723,3.6666666666666665,4.0,4.0,4.0,0.688622754491018,0.4491017964071856,0.31736526946107785,0.12574850299401197
W1_1.250488bpw,all_native,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8363089561462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_1.250488bpw,all_native,0.25,167,16,0.3332412671779026,0.2936851682465829,0.37491887050592454,0.2878590493807338,0.24696773271383732,0.35815457604189804,0.17349909304827743,0.5621361732680696,0.8636719374518148,0.92237943634012,0.7384912371635437,0.23958333333333334,0.09375,0.09375,0.46875,0.029940119760479042,0.0,0.0,0.0
