projection,method,threshold,invocations,requests,reach_fraction_by_4bpw,reach_fraction_ci_low,reach_fraction_ci_high,mean_required_bpw_capped_at_4,mean_capped_ci_low,mean_capped_ci_high,median_required_bpw,median_capped_ci_low,median_capped_ci_high,p75_required_bpw,p90_required_bpw,p95_required_bpw,p99_required_bpw,finite_mean_conditional
down,pca,0.8,400,16,0.28,0.2255378026967529,0.34141339182515495,3.43859375,3.2544348045822105,3.5800927162617096,inf,4.0,4.0,inf,inf,inf,inf,1.9949776785714286
down,pca,0.9,400,16,0.155,0.1132064577977254,0.20106048166392992,3.694453125,3.5616641415385626,3.80734969686365,inf,4.0,4.0,inf,inf,inf,inf,2.0287298387096775
down,pca,0.95,400,16,0.0875,0.04901504787961696,0.1365982902371697,3.857421875,3.77841796875,3.918171379736105,inf,4.0,4.0,inf,inf,inf,inf,2.3705357142857144
down,pca,0.975,400,16,0.04,0.0211262960347839,0.0618359303809003,3.958125,3.9202123903113355,3.984930919725696,inf,4.0,4.0,inf,inf,inf,inf,2.953125
down,pca,0.99,400,16,0.0125,0.002221976401179941,0.027713082893273146,3.995,3.987562189054726,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.6
down,progressive_best,0.8,400,16,0.89,0.8609946229958998,0.9209730196255019,2.492890625,2.245262805249438,2.6743868960833623,2.5,2.0,3.0,4.0,inf,inf,inf,2.306618679775281
down,progressive_best,0.9,400,16,0.6425,0.5811191048926356,0.6935707885304659,3.221015625,3.0021964007009854,3.390241835101739,4.0,4.0,4.0,inf,inf,inf,inf,2.7875729571984436
down,progressive_best,0.95,400,16,0.395,0.3292577392120075,0.4761939983093829,3.5078125,3.3385534007656714,3.642650635275841,inf,4.0,4.0,inf,inf,inf,inf,2.7539556962025316
down,progressive_best,0.975,400,16,0.2275,0.1769718918512673,0.28906670673076923,3.718515625,3.6144867699993544,3.800656233063165,inf,4.0,4.0,inf,inf,inf,inf,2.762706043956044
down,progressive_best,0.99,400,16,0.1275,0.09090352049910874,0.17137752384959795,3.88953125,3.836681665919866,3.9434894293203717,inf,4.0,4.0,inf,inf,inf,inf,3.133578431372549
down,random,0.8,400,16,0.0075,0.0,0.019480971674564987,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,random,0.9,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
down,random,0.95,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
down,random,0.975,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
down,random,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
down,two_view_oracle,0.8,400,16,0.2825,0.22791371158392434,0.3486136757343283,3.39015625,3.1989868347793937,3.5441721936571033,inf,4.0,4.0,inf,inf,inf,inf,1.8412610619469028
down,two_view_oracle,0.9,400,16,0.175,0.1318807043917105,0.21806925862480214,3.6859375,3.5654470338302384,3.78914709139015,inf,4.0,4.0,inf,inf,inf,inf,2.205357142857143
down,two_view_oracle,0.95,400,16,0.11,0.0721125,0.15860645610566987,3.856328125,3.76760500148284,3.9219191726718403,inf,4.0,4.0,inf,inf,inf,inf,2.6938920454545454
down,two_view_oracle,0.975,400,16,0.0475,0.029479146320150505,0.06906692741097314,3.949375,3.91715293281916,3.9764574900995866,inf,4.0,4.0,inf,inf,inf,inf,2.9342105263157894
down,two_view_oracle,0.99,400,16,0.0125,0.002511629931837405,0.025425529360925722,3.995,3.9878618522562728,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.6
gate,generalized,0.8,400,16,0.62,0.524673030615755,0.7196047579464038,2.319609375,1.89611215119623,2.6245798788265304,2.5,1.25,4.0,inf,inf,inf,inf,1.2896925403225807
gate,generalized,0.9,400,16,0.345,0.25887882920423266,0.4688468119596541,3.0828125,2.7675065559440557,3.3250137592766946,inf,4.0,4.0,inf,inf,inf,inf,1.3414855072463767
gate,generalized,0.95,400,16,0.245,0.17692105263157895,0.3366158538572332,3.380625,3.135439914727866,3.5650068058076227,inf,4.0,4.0,inf,inf,inf,inf,1.471938775510204
gate,generalized,0.975,400,16,0.23,0.16225807574491785,0.32501785714285714,3.60375,3.4654618791521674,3.712696820809249,inf,4.0,4.0,inf,inf,inf,inf,2.277173913043478
gate,generalized,0.99,400,16,0.1725,0.11548063071063486,0.24396734303477483,3.9025,3.861963610803835,3.9401913526146655,inf,4.0,4.0,inf,inf,inf,inf,3.4347826086956523
gate,learned_s11,0.8,400,16,0.54,0.44950109296643953,0.6474207693840941,2.533515625,2.1561524506177436,2.8123819550581044,4.0,2.0,4.0,inf,inf,inf,inf,1.2842881944444444
gate,learned_s11,0.9,400,16,0.3,0.22881184382076442,0.39905109489051094,3.23984375,2.982999334620305,3.458004729136104,inf,4.0,4.0,inf,inf,inf,inf,1.4661458333333333
gate,learned_s11,0.95,400,16,0.2325,0.1693111359126984,0.30816353089908527,3.5075,3.3166415662650603,3.64644481981982,inf,4.0,4.0,inf,inf,inf,inf,1.881720430107527
gate,learned_s11,0.975,400,16,0.2025,0.14467605722568852,0.2843049499157135,3.765,3.670813307149514,3.841751924261084,inf,4.0,4.0,inf,inf,inf,inf,2.8395061728395063
gate,learned_s11,0.99,400,16,0.07,0.0391584324822939,0.10141334638849138,3.97125,3.9523076319324786,3.9917410763742716,inf,4.0,4.0,inf,inf,inf,inf,3.5892857142857144
gate,learned_s29,0.8,400,16,0.5475,0.4469109535066982,0.655619514113588,2.5178125,2.11140408099151,2.781234563769592,3.0,1.5,4.0,inf,inf,inf,inf,1.292808219178082
gate,learned_s29,0.9,400,16,0.3125,0.23304140795435474,0.42106143284632985,3.216953125,2.922066385709867,3.42779215629785,inf,4.0,4.0,inf,inf,inf,inf,1.49425
gate,learned_s29,0.95,400,16,0.235,0.16774093368062515,0.31359184231306564,3.51125,3.3337652439024392,3.6499226968583764,inf,4.0,4.0,inf,inf,inf,inf,1.9202127659574468
gate,learned_s29,0.975,400,16,0.205,0.14621397079738313,0.2911588961396336,3.79125,3.7144085809788407,3.854979466880152,inf,4.0,4.0,inf,inf,inf,inf,2.981707317073171
gate,learned_s29,0.99,400,16,0.06,0.034804070948585716,0.09012325909867296,3.98875,3.979268292682927,3.997375840715223,inf,4.0,4.0,inf,inf,inf,inf,3.8125
gate,learned_s47,0.8,400,16,0.55,0.45726972379686004,0.6642901717521701,2.52078125,2.137618112735925,2.8046390369273815,4.0,2.0,4.0,inf,inf,inf,inf,1.3105113636363637
gate,learned_s47,0.9,400,16,0.305,0.22694886465224387,0.4061526439176868,3.234453125,2.949053540975295,3.45555643066606,inf,4.0,4.0,inf,inf,inf,inf,1.4900102459016393
gate,learned_s47,0.95,400,16,0.235,0.1704955086668694,0.32000898203592815,3.510625,3.343118123435803,3.6449888157125,inf,4.0,4.0,inf,inf,inf,inf,1.9175531914893618
gate,learned_s47,0.975,400,16,0.205,0.14831044527673742,0.28322253132392883,3.7775,3.692014424916545,3.8509837962962963,inf,4.0,4.0,inf,inf,inf,inf,2.9146341463414633
gate,learned_s47,0.99,400,16,0.06,0.03402569869478652,0.08718609865470851,3.9825,3.971894542461912,3.9931110269041303,inf,4.0,4.0,inf,inf,inf,inf,3.7083333333333335
gate,native,0.8,400,16,0.095,0.05919674360482211,0.13594487449009424,3.96625,3.9453873617069313,3.9840109167211013,inf,4.0,4.0,inf,inf,inf,inf,3.6447368421052633
gate,native,0.9,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,native,0.95,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,native,0.975,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,native,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,overcomplete_2x,0.8,400,16,0.4525,0.3647035167954581,0.5726329725325884,2.743515625,2.39094366126028,3.0090049460341146,inf,2.5,4.0,inf,inf,inf,inf,1.223238950276243
gate,overcomplete_2x,0.9,400,16,0.255,0.18884565125485223,0.34556776645445525,3.43625,3.2433337841825693,3.5987884702717805,inf,4.0,4.0,inf,inf,inf,inf,1.7892156862745099
gate,overcomplete_2x,0.95,400,16,0.16,0.10990842387470016,0.22347762581330502,3.815,3.750769349845201,3.880121192403107,inf,4.0,4.0,inf,inf,inf,inf,2.84375
gate,overcomplete_2x,0.975,400,16,0.045,0.025378215365311128,0.06085501904714787,3.9825,3.9687481174698793,3.99639482017225,inf,4.0,4.0,inf,inf,inf,inf,3.611111111111111
gate,overcomplete_2x,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,pca,0.8,400,16,0.5575,0.46684089986408484,0.6676427656850191,2.44546875,2.0345659012478867,2.7416323681975765,3.0,1.5,4.0,inf,inf,inf,inf,1.211603139013453
gate,pca,0.9,400,16,0.315,0.2318401689603488,0.416929072613989,3.18078125,2.878160241168478,3.393038040761659,inf,4.0,4.0,inf,inf,inf,inf,1.3993055555555556
gate,pca,0.95,400,16,0.245,0.17816757459018037,0.33252688172043005,3.47375,3.3079735708891715,3.611742877812703,inf,4.0,4.0,inf,inf,inf,inf,1.8520408163265305
gate,pca,0.975,400,16,0.2225,0.1591285447306411,0.3047669706180345,3.705625,3.6148546890263757,3.787751532114076,inf,4.0,4.0,inf,inf,inf,inf,2.6769662921348316
gate,pca,0.99,400,16,0.125,0.08616765243956591,0.1720736186521878,3.96,3.9451449927037023,3.9755361568069176,inf,4.0,4.0,inf,inf,inf,inf,3.68
gate,progressive_best,0.8,400,16,0.885,0.8108990373003002,0.9368844696969697,2.306875,1.9347448918201964,2.608559125705076,2.5,1.25,4.0,4.0,inf,inf,inf,2.086864406779661
gate,progressive_best,0.9,400,16,0.5025,0.4064761420171868,0.6069462518536453,3.105078125,2.815489930768054,3.3381065508923013,4.0,4.0,4.0,inf,inf,inf,inf,2.2190609452736316
gate,progressive_best,0.95,400,16,0.285,0.20844776995305164,0.3903471248246844,3.377734375,3.1574829269808764,3.553546485085272,inf,4.0,4.0,inf,inf,inf,inf,1.816611842105263
