layer,projection,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
0,down,0.0,111,0.0,0.0,0.0
0,down,0.05,111,0.28485496141106437,0.0,0.6881475673443976
0,down,0.1,111,0.4809393387189914,0.16434851799371175,0.8179202956483685
0,down,0.2,111,0.6114239867800962,0.24814489425914632,0.8732264723741832
0,down,0.3,111,0.6623635984464605,0.32685985831666353,0.8958031859293406
0,down,0.5,111,0.7476248898195914,0.471634668316518,0.9307333997836136
0,down,0.75,111,0.8236089456335892,0.5482220031268563,0.9610385856486465
0,down,1.0,111,0.8534637599494393,0.6404443816638778,0.9753642999528073
0,down,1.25,111,0.8820962043289987,0.6990839184749473,0.98173986570301
0,down,1.5,111,0.904614607550101,0.7634811335470343,0.9861259286830932
0,down,2.0,111,0.9351518422580014,0.8250151697887307,0.9905855110175932
0,down,2.5,111,0.960389055826983,0.8834557391680682,0.9966426284721862
0,down,3.0,111,0.9749695266013031,0.9072911113660928,0.998053068679388
0,down,4.0,111,0.988333994826602,0.9608826896414833,0.9996827499718881
0,gate,0.0,111,0.0,0.0,0.0
0,gate,0.05,111,0.4348833253023875,0.1889871302138567,0.5963157492201251
0,gate,0.1,111,0.5972616570465807,0.32791122070897505,0.771817741183221
0,gate,0.2,111,0.7352362830973589,0.3725450773738732,0.8379171142836237
0,gate,0.3,111,0.8155553974634805,0.47520470497260936,0.8905822960558534
0,gate,0.5,111,0.8696078832008554,0.5130876524653529,0.931582673646723
0,gate,0.75,111,0.8992657146647219,0.5557142769646952,0.948376331066267
0,gate,1.0,111,0.9236628768032178,0.584279293381472,0.9650925858739309
0,gate,1.25,111,0.9475404269082167,0.6259020023552029,0.9770412438957626
0,gate,1.5,111,0.9582861318027031,0.6627714994484765,0.9826300990834689
0,gate,2.0,111,0.9727993698833681,0.7358228512050096,0.9885163959702902
0,gate,2.5,111,0.9876048332990977,0.8328809345248861,0.9945767033069236
0,gate,3.0,111,0.9927627132706505,0.8426454218117656,0.9975088378607129
0,gate,4.0,111,0.9960173141653561,0.9152331948176178,0.9989299934831033
0,up,0.0,111,0.0,0.0,0.0
0,up,0.05,111,0.30729995663296983,0.10607706538360095,0.4606729727272012
0,up,0.1,111,0.47298651521812907,0.14102545666763122,0.620549757717805
0,up,0.2,111,0.6392906761769508,0.22177936583807267,0.7886678296682463
0,up,0.3,111,0.7044493979814399,0.2947247432349063,0.8806793429002161
0,up,0.5,111,0.7949137029387536,0.3784350573567047,0.9174031343721332
0,up,0.75,111,0.8529892220068062,0.4314799111580869,0.9374558628873604
0,up,1.0,111,0.9053446262193963,0.4578018490597807,0.9536971509821698
0,up,1.25,111,0.9468142340742512,0.4789078038781326,0.9735116547633296
0,up,1.5,111,0.9598364030576917,0.5087729560352937,0.9799820051812564
0,up,2.0,111,0.9691243346775664,0.6093142190685268,0.9836195392116842
0,up,2.5,111,0.9844415757221092,0.6661611531593989,0.9935336654910456
0,up,3.0,111,0.9907383628966312,0.7289957258387992,0.996052231079818
0,up,4.0,111,0.9945361700011989,0.8877212463533309,0.9977272958445141
4,down,0.0,48,0.0,0.0,0.0
4,down,0.05,48,0.1181775412033702,0.0,0.4806376258663671
4,down,0.1,48,0.2631639798718403,0.0562694419239007,0.656511229094704
4,down,0.2,48,0.31156670964535277,0.08806940236976003,0.673601567219483
4,down,0.3,48,0.3729121659950324,0.13587619950687368,0.6915869145670979
4,down,0.5,48,0.4686508231902658,0.23941416302419613,0.7678127019348311
