layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
0,all_generalized,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,all_generalized,0.25,67,0.4962346649426299,0.18516997845285965,0.6459038257598877,0.23958333333333334,0.1875,0.1875,0.28125
0,all_generalized,0.5,67,0.6608067903554671,0.29319343173237333,0.5524614453315735,0.4895833333333333,0.28125,0.28125,0.75
0,all_generalized,0.75,67,0.7275735048279794,0.37631408658027116,0.46837055683135986,0.7395833333333334,0.5,0.5,1.25
0,all_generalized,1.0,67,0.8005488054762679,0.4426634389440904,0.4069732427597046,1.0,0.5,0.75,1.5
0,all_generalized,1.25,67,0.8604393322208832,0.479039674591376,0.35896697640419006,1.25,0.75,1.0,2.0
0,all_generalized,1.5,67,0.8990063544599168,0.5092078721724954,0.3294057846069336,1.5,0.75,1.0,2.5
0,all_generalized,2.0,67,0.9460952767636359,0.6081748436046589,0.2300640195608139,2.0,1.0,1.25,3.0
0,all_generalized,2.5,67,0.9728885738978515,0.7059517421644026,0.17492082715034485,2.5,2.0,1.5,4.0
0,all_generalized,3.0,67,0.9797798958897018,0.7672611714683498,0.14001235365867615,3.0,2.5,2.5,4.0
0,all_generalized,4.0,67,0.9859246126603396,0.8931797490687982,0.12346122413873672,3.65625,4.0,3.0,4.0
0,all_native,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,all_native,0.25,67,0.43304155956356716,0.23008745381488768,0.6866556406021118,0.23958333333333334,0.03125,0.1875,0.46875
0,all_native,0.5,67,0.5111958387201112,0.3246603436345821,0.635715126991272,0.4895833333333333,0.03125,0.5,0.75
0,all_native,0.75,67,0.579842596846986,0.37613812291571186,0.6060647368431091,0.7395833333333334,0.28125,0.5,1.0
0,all_native,1.0,67,0.6318973815727269,0.43518391490033925,0.5729954838752747,0.9895833333333334,0.75,0.75,1.0
0,all_native,1.25,67,0.6776423312464455,0.4788054092507071,0.5358447432518005,1.25,1.0,1.0,1.25
0,all_native,1.5,67,0.7039955912663833,0.5360741121731962,0.5015614628791809,1.5,1.25,1.5,1.46875
0,all_native,2.0,67,0.7949452988205803,0.642945642047676,0.43651890754699707,2.0,1.5,2.5,1.5
0,all_native,2.5,67,0.8562698216446094,0.7152192022998926,0.37190669775009155,2.5,2.5,3.0,2.0
0,all_native,3.0,67,0.8947365216423346,0.777224756330315,0.31694555282592773,3.0,3.96875,4.0,2.0
0,all_native,4.0,67,0.9379675864222864,0.8433946806412278,0.22089225053787231,4.0,4.0,4.0,4.0
0,all_pca,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,all_pca,0.25,67,0.503246612319882,0.16224963933283254,0.6558481454849243,0.22916666666666666,0.09375,0.09375,0.5
